method,baseline,delta_macro_auroc,lower95,upper95,categories_improved,categories,bootstrap_replicates
gate_exchange,D_z,0.0044220022002200215,-0.00031445062237622697,0.0093372631134786,7,12,2000
gate_exchange,fixed_source_oof,0.003596067106710671,-0.0006420145233549659,0.007928624531433148,6,12,2000
gate_exchange,logistic_source_oof,0.0042880913091309135,-0.0002825267841037264,0.00863015781938754,6,12,2000
gate_exchange,gate_dm,0.003601815181518151,-0.000665858162274652,0.00790580356232655,6,12,2000
gate_exchange,gate_geometry,-0.0013774477447744775,-0.0034447647018558147,0.0003201471604055735,2,12,2000
gate_exchange,gate_reference,-0.0007718921892189219,-0.0018995413191874274,0.0003463222011930928,4,12,2000
gate_exchange,logistic_reference,-0.005494086908690869,-0.012009498252860112,0.0008397951914452865,5,12,2000
gate_exchange,gate_remove,-0.0005330858085808581,-0.001328996108204523,0.00018960603050215932,4,12,2000
gate_exchange,gate_uncalibrated,0.0004472222222222221,-0.00034100589028406746,0.001334652731534249,6,12,2000
gate_exchange,gate_budget_pool,-0.0005411716171617163,-0.0016672867881383586,0.0006274140333385376,4,12,2000
gate_exchange,gate_shuffled,0.0005636138613861387,-0.0008544237580959545,0.001946960203971678,8,12,2000
logistic_exchange,logistic_reference,-0.0011934543454345436,-0.0033194264531488807,0.0009599594018873509,4,12,2000
gate_reference,fixed_source_oof,0.004367959295929593,0.0002225337091286542,0.00864250659703035,6,12,2000
