category,original_gt_pixels,gt_pixels_256,gt_vanished_256,gt_pixels_512,gt_vanished_512,tight_hit,tight_gt_fraction,tight_image_fraction,context15_hit,context15_gt_fraction,context15_image_fraction,context30_hit,context30_gt_fraction,context30_image_fraction
candle,4052.91,177.18,0.0,707.73,0.0,0.95,0.9063249871990933,0.036732806032091496,0.96,0.9193351827977417,0.08248281003285964,0.96,0.9274135110682076,0.28454902674646865
capsules,8163.44,356.8,0.0,1426.78,0.0,0.5,0.46871178032721794,0.03100592,0.5,0.49601133030321315,0.06894085999999999,0.6,0.595424981081323,0.24031549333333335
cashew,25302.12,1106.3,0.0,4426.81,0.0,0.93,0.8088935139644035,0.038987688089364474,0.95,0.8546420191841735,0.08797975469622699,0.97,0.9331924098654132,0.342585100759299
chewinggum,12714.11,555.63,0.0,2221.79,0.0,0.96,0.8856662729997451,0.03848072724073487,0.97,0.9162298612493908,0.08678482973374319,0.99,0.9549268694069553,0.3364297873304736
fryum,51861.01,2266.61,0.0,9062.6,0.0,0.66,0.4522232932652013,0.03725101333333333,0.69,0.5277676085577204,0.08291183333333332,0.77,0.6844553686296674,0.29171800000000003
macaroni1,1087.14,47.06,0.0,190.02,0.0,0.44,0.408062360721705,0.024929686666666666,0.45,0.4249819697632815,0.054722660000000006,0.52,0.4648065203992164,0.17861227333333332
macaroni2,873.52,37.86,0.0,152.51,0.0,0.62,0.583962440036678,0.023239293333333334,0.63,0.6223856010978635,0.052034406666666665,0.72,0.6950937411724574,0.18719644666666668
pcb1,13989.14,610.45,0.0,2440.09,0.0,0.84,0.7515650937941569,0.029637311286843996,0.84,0.7952777833829136,0.06698733924434859,0.92,0.8784471961655264,0.2521020848310568
pcb2,6205.16,270.79,0.0,1082.35,0.0,0.81,0.7473165098702519,0.035102311153713026,0.83,0.7747552787355645,0.07941732566498921,0.9,0.8515689885565376,0.2956666666666667
pcb3,7599.72,332.08,0.0,1328.02,0.0,0.67,0.6129497851238879,0.030843563273580878,0.69,0.6474962062748638,0.06907505735168587,0.75,0.7159449143561235,0.24673918987409305
pcb4,19832.65,866.06,0.0,3468.11,0.0,0.95,0.6360126331208512,0.035863201959403214,0.95,0.6873980519181925,0.0809286621416832,0.97,0.7917467414958373,0.31663376982348296
pipe_fryum,28102.75,1228.56,0.0,4910.09,0.0,0.98,0.8724333141443468,0.04053037594987335,0.98,0.9182241227500383,0.09141733768830823,0.98,0.9650342044970129,0.3609070390614585
