category,method,auroc,ap
candle,identity,0.9734,0.9737000804531304
candle,brightness08,0.9732000000000001,0.9692271805002758
candle,brightness12,0.9656,0.9680345335134259
candle,contrast08,0.9724999999999999,0.9705366973179375
candle,contrast12,0.943,0.9493763702724858
candle,view_mean,0.9719,0.9709113133945226
candle,view_median,0.9719000000000001,0.9710233715264786
candle,view_min,0.9732999999999999,0.9734823469775281
capsules,identity,0.9468333333333334,0.9725918821848262
capsules,brightness08,0.9526666666666667,0.974270966521604
capsules,brightness12,0.948,0.9731314793496877
capsules,contrast08,0.95,0.9732333337113392
capsules,contrast12,0.9456666666666667,0.9714620759923487
capsules,view_mean,0.9500000000000001,0.9738866008519371
capsules,view_median,0.9506666666666667,0.9736478040554757
capsules,view_min,0.9478333333333333,0.9727026052875578
cashew,identity,0.976,0.9890793622967358
cashew,brightness08,0.9682,0.9857806316866232
cashew,brightness12,0.9816,0.9911305548096865
cashew,contrast08,0.9674,0.9852120421765777
cashew,contrast12,0.9129999999999999,0.9588976010800655
cashew,view_mean,0.9736000000000001,0.9878609189542467
cashew,view_median,0.9710000000000001,0.9869182648755834
cashew,view_min,0.9780000000000001,0.9899860970017046
chewinggum,identity,0.9909999999999999,0.9960316881939906
chewinggum,brightness08,0.9896,0.9956986526580782
chewinggum,brightness12,0.9774,0.990279441309256
chewinggum,contrast08,0.9896,0.9957181565194132
chewinggum,contrast12,0.9762,0.9898632937248533
chewinggum,view_mean,0.9934000000000001,0.9970137594599107
chewinggum,view_median,0.99,0.995793956199607
chewinggum,view_min,0.9894000000000001,0.995504619976175
fryum,identity,0.984,0.9919779086885728
fryum,brightness08,0.9716,0.9868584363534668
fryum,brightness12,0.952,0.9770438818059387
fryum,contrast08,0.9832000000000001,0.9915768478713441
fryum,contrast12,0.9727999999999999,0.9865294233831774
fryum,view_mean,0.9832000000000001,0.9914003225724927
fryum,view_median,0.9783999999999999,0.9893645653630632
fryum,view_min,0.9848,0.9923161128210533
macaroni1,identity,0.9563999999999999,0.9504056665793419
macaroni1,brightness08,0.9527,0.9476758912466481
macaroni1,brightness12,0.9607,0.9573211223123129
macaroni1,contrast08,0.9503,0.9466762893301026
macaroni1,contrast12,0.9532999999999999,0.950917717422298
macaroni1,view_mean,0.9571000000000001,0.9525387510794536
macaroni1,view_median,0.9575,0.9520399849418173
macaroni1,view_min,0.9536,0.9491552786145622
macaroni2,identity,0.8292,0.8272645759779061
macaroni2,brightness08,0.8449,0.8404153322769256
macaroni2,brightness12,0.757,0.7820818903141721
macaroni2,contrast08,0.8260000000000001,0.8248219552529401
macaroni2,contrast12,0.7928000000000001,0.7964015137202065
macaroni2,view_mean,0.8220000000000001,0.8157182888234358
macaroni2,view_median,0.8360000000000001,0.8296496232169424
macaroni2,view_min,0.7705,0.7826130438760663
pcb1,identity,0.9847999999999999,0.9849984935421512
pcb1,brightness08,0.9858,0.9871968645573085
pcb1,brightness12,0.9753999999999999,0.9784550351460239
pcb1,contrast08,0.9872,0.9878049757845941
pcb1,contrast12,0.9816,0.98162003348118
pcb1,view_mean,0.9851,0.9856367602301295
pcb1,view_median,0.9845,0.9850919065071772
pcb1,view_min,0.9858,0.9858347864731535
pcb2,identity,0.9624999999999999,0.9688283370282473
pcb2,brightness08,0.9818,0.9824260103399372
pcb2,brightness12,0.9778,0.9789268199116066
pcb2,contrast08,0.9772000000000001,0.9786929889187608
pcb2,contrast12,0.9696,0.9732096493357395
pcb2,view_mean,0.976,0.9777192926107114
pcb2,view_median,0.9768,0.9782257893109002
pcb2,view_min,0.9644999999999999,0.9696452796915908
pcb3,identity,0.985049504950495,0.9864242081134261
pcb3,brightness08,0.9826732673267327,0.9843628636702757
pcb3,brightness12,0.9838613861386138,0.9854377963044074
pcb3,contrast08,0.9848514851485148,0.9860291064291686
pcb3,contrast12,0.9771287128712871,0.9813115851346319
pcb3,view_mean,0.984059405940594,0.9856791409775331
pcb3,view_median,0.9828712871287129,0.9844801844773587
pcb3,view_min,0.9851485148514851,0.9863207231167895
pcb4,identity,0.9969306930693069,0.9966010519532534
pcb4,brightness08,0.9975247524752475,0.9973257413715082
pcb4,brightness12,0.9961386138613861,0.9955976326930248
pcb4,contrast08,0.9976237623762376,0.9973917356751564
pcb4,contrast12,0.9966336633663366,0.9962419078050474
pcb4,view_mean,0.9967326732673267,0.9963752411383807
pcb4,view_median,0.9972277227722772,0.9969507023029037
pcb4,view_min,0.9977227722772277,0.9975151924652799
pipe_fryum,identity,0.999,0.9995153846153846
pipe_fryum,brightness08,0.9992,0.9996087378640777
pipe_fryum,brightness12,0.9984,0.9992457943925234
pipe_fryum,contrast08,0.999,0.9995153846153846
pipe_fryum,contrast12,0.9985999999999999,0.9993339622641509
pipe_fryum,view_mean,0.999,0.9995153846153846
pipe_fryum,view_median,0.999,0.9995153846153846
pipe_fryum,view_min,0.999,0.9995153846153846
