category,within_anomaly_pixel_auc,peak_inside_gt,defect_peak_beats_background,defect_peak_above_normal_q95,top1pct_gt_recall,top1pct_precision
candle,0.9924503946066602,0.54,0.54,0.74,0.848496143380972,0.19389397406559877
capsules,0.9967423162224566,0.77,0.77,0.79,0.8282163018721519,0.3668688024408848
cashew,0.9808686771201914,0.68,0.68,0.72,0.8215316082498254,0.20127002288329518
chewinggum,0.9910093992540903,0.82,0.82,0.96,0.7393712926333523,0.5065446224256293
fryum,0.9659586352662329,0.49,0.49,0.82,0.5665838028601309,0.279908466819222
macaroni1,0.9919347712831152,0.53,0.53,0.38,0.8480769974852413,0.06480549199084668
macaroni2,0.9926121102718478,0.48,0.48,0.52,0.8971567262441763,0.052890922959572845
pcb1,0.9816908643561892,0.77,0.77,0.93,0.7779349737412684,0.27842105263157896
pcb2,0.9841067498810339,0.68,0.68,0.84,0.7753702674298236,0.251067887109077
pcb3,0.9823098596016834,0.73,0.73,0.87,0.7308954592162255,0.2827040427154844
pcb4,0.9835193504941283,0.87,0.87,1.0,0.5804088259788217,0.4863577421815408
pipe_fryum,0.9946572898322407,0.68,0.68,1.0,0.833447152520272,0.2310793287566743
