category,method,auroc,ap
candle,D_z,0.9734,0.9737000804531304
candle,contrast_z,0.962,0.9647531120646828
candle,standardized_contrast_z,0.4811,0.4905591054832764
candle,linear_D,0.9734,0.9737000804531304
candle,linear_contrast,0.9708,0.9717557770463418
candle,linear_standardized,0.9706,0.9721732401786546
capsules,D_z,0.9468333333333334,0.9725918821848262
capsules,contrast_z,0.9523333333333333,0.9709213513930636
capsules,standardized_contrast_z,0.5718333333333334,0.6900130818488073
capsules,linear_D,0.9468333333333334,0.9725918821848262
capsules,linear_contrast,0.9523333333333334,0.9743679603617336
capsules,linear_standardized,0.9503333333333333,0.9741341478422466
cashew,D_z,0.976,0.9890793622967358
cashew,contrast_z,0.9464,0.9755886955332105
cashew,standardized_contrast_z,0.517,0.6657634582977073
cashew,linear_D,0.976,0.9890793622967358
cashew,linear_contrast,0.9703999999999999,0.9864700849789725
cashew,linear_standardized,0.9788,0.990375996771946
chewinggum,D_z,0.9909999999999999,0.9960316881939906
chewinggum,contrast_z,0.982,0.992330360320859
chewinggum,standardized_contrast_z,0.5746,0.7248779302923518
chewinggum,linear_D,0.9909999999999999,0.9960316881939906
chewinggum,linear_contrast,0.9892,0.9954075714354534
chewinggum,linear_standardized,0.9924,0.9965607353106146
fryum,D_z,0.984,0.9919779086885728
fryum,contrast_z,0.962,0.9817492652438722
fryum,standardized_contrast_z,0.475,0.6844413103927702
fryum,linear_D,0.984,0.9919779086885728
fryum,linear_contrast,0.9796,0.990147070126554
fryum,linear_standardized,0.9810000000000001,0.9907074872469301
macaroni1,D_z,0.9563999999999999,0.9504056665793419
macaroni1,contrast_z,0.979,0.9777745668777607
macaroni1,standardized_contrast_z,0.5510999999999999,0.5734586871325644
macaroni1,linear_D,0.9563999999999999,0.9504056665793419
macaroni1,linear_contrast,0.9714999999999999,0.969943621133519
macaroni1,linear_standardized,0.9579000000000001,0.9550321668144202
macaroni2,D_z,0.8292,0.8272645759779061
macaroni2,contrast_z,0.8921,0.8933685558106428
macaroni2,standardized_contrast_z,0.5763,0.5880568561957569
macaroni2,linear_D,0.8292,0.8272645759779061
macaroni2,linear_contrast,0.8634000000000001,0.8646162818189463
macaroni2,linear_standardized,0.8401,0.8363844987806288
pcb1,D_z,0.9847999999999999,0.9849984935421512
pcb1,contrast_z,0.9763000000000001,0.9771502705546903
pcb1,standardized_contrast_z,0.41450000000000004,0.43904065159670724
pcb1,linear_D,0.9847999999999999,0.9849984935421512
pcb1,linear_contrast,0.9842000000000001,0.9847425066468788
pcb1,linear_standardized,0.9845999999999999,0.9847709934310293
pcb2,D_z,0.9624999999999999,0.9688283370282473
pcb2,contrast_z,0.9557,0.964200327499061
pcb2,standardized_contrast_z,0.4612,0.49218133078303056
pcb2,linear_D,0.9624999999999999,0.9688283370282473
pcb2,linear_contrast,0.9615,0.9684581551367153
pcb2,linear_standardized,0.9645,0.9695398919449345
pcb3,D_z,0.985049504950495,0.9864242081134261
pcb3,contrast_z,0.9835643564356435,0.9854813107935456
pcb3,standardized_contrast_z,0.389009900990099,0.44968823808664576
pcb3,linear_D,0.985049504950495,0.9864242081134261
pcb3,linear_contrast,0.9868316831683168,0.9882892006750553
pcb3,linear_standardized,0.985049504950495,0.9861406816610373
pcb4,D_z,0.9969306930693069,0.9966010519532534
pcb4,contrast_z,0.9871287128712871,0.9783808855107569
pcb4,standardized_contrast_z,0.35514851485148513,0.414416242848833
pcb4,linear_D,0.9969306930693069,0.9966010519532534
pcb4,linear_contrast,0.9943564356435644,0.992333908524927
pcb4,linear_standardized,0.9975247524752475,0.9973823675596518
pipe_fryum,D_z,0.999,0.9995153846153846
pipe_fryum,contrast_z,0.9926,0.9963426615604452
pipe_fryum,standardized_contrast_z,0.4368,0.636421759112535
pipe_fryum,linear_D,0.999,0.9995153846153846
pipe_fryum,linear_contrast,0.997,0.9985178881129655
pipe_fryum,linear_standardized,0.9988,0.9994238095238095
