category,method,auroc,ap
candle,D_z,0.9734,0.9737000804531304
candle,linear,0.9328,0.9507976574608259
candle,linear_contrast,0.9708,0.9717557770463418
candle,linear_convex,0.9351,0.9537808937761568
candle,response_42,0.9755999999999999,0.9755310961170723
candle,response_123,0.9755999999999999,0.9755310961170723
candle,response_2026,0.9755999999999999,0.9755310961170723
candle,map_42,0.9742,0.9740740833132864
candle,map_123,0.9748,0.9747501537511362
candle,map_2026,0.9746999999999999,0.9748787800781783
candle,full_42,0.9805,0.9826603980165953
candle,full_123,0.9698,0.9748682630308667
candle,full_2026,0.9739,0.9775523478952975
capsules,D_z,0.9468333333333334,0.9725918821848262
capsules,linear,0.949,0.9727864925679877
capsules,linear_contrast,0.9523333333333334,0.9743679603617336
capsules,linear_convex,0.9395,0.9674584627266121
capsules,response_42,0.9483333333333334,0.9730742810699053
capsules,response_123,0.9483333333333334,0.9730742810699053
capsules,response_2026,0.9483333333333334,0.9730742810699053
capsules,map_42,0.9491666666666667,0.9733019516928658
capsules,map_123,0.9478333333333333,0.9722599765700987
capsules,map_2026,0.9494999999999999,0.9736483617851801
capsules,full_42,0.9503333333333333,0.9737752655969791
capsules,full_123,0.948,0.972704747745005
capsules,full_2026,0.9518333333333333,0.9748454351701735
cashew,D_z,0.976,0.9890793622967358
cashew,linear,0.9526,0.9787380237059774
cashew,linear_contrast,0.9703999999999999,0.9864700849789725
cashew,linear_convex,0.9498,0.977385430777999
cashew,response_42,0.9776,0.9899213386596349
cashew,response_123,0.9776,0.9899213386596349
cashew,response_2026,0.9776,0.9899213386596349
cashew,map_42,0.9764,0.9894261268448691
cashew,map_123,0.9762,0.9893040865657023
cashew,map_2026,0.9763999999999999,0.9893732809778725
cashew,full_42,0.9734,0.9874491061362296
cashew,full_123,0.9736,0.9875192982159796
cashew,full_2026,0.9692,0.9856579865328513
chewinggum,D_z,0.9909999999999999,0.9960316881939906
chewinggum,linear,0.9944,0.9974236625263805
chewinggum,linear_contrast,0.9892,0.9954075714354534
chewinggum,linear_convex,0.9918,0.9964740879427945
chewinggum,response_42,0.9895999999999999,0.9955927517205713
chewinggum,response_123,0.9895999999999999,0.9955927517205713
chewinggum,response_2026,0.9895999999999999,0.9955927517205713
chewinggum,map_42,0.9889999999999999,0.9950927358089872
chewinggum,map_123,0.9893999999999998,0.9952508320321125
