method,auroc,ap
D_z,0.9654261276127613,0.9697848866355806
full_123,0.9831654290429043,0.98748502786672
full_2026,0.9831514576457646,0.9879336588203215
full_42,0.9844265401540154,0.9886819527321989
linear,0.9777600660066006,0.9842501347700803
linear_contrast,0.9684267876787679,0.9737541688331719
linear_convex,0.976511303630363,0.9844410119296412
map_123,0.9665966721672167,0.9716526343833158
map_2026,0.9666604785478548,0.9719260541841584
map_42,0.9665582783278328,0.971616439694754
response_123,0.9649254675467547,0.9691947249013718
response_2026,0.9649254675467547,0.9691947249013718
response_42,0.9649254675467547,0.9691947249013718
