dataset,category,stratum,feature,fit_images,check_images,median,q01,q99,fraction_outside_source_scaler_3sd,fraction_outside_source_scaler_5sd
AD2,can,high_response,response,8,8,-1.279179573059082,-1.9891372919082642,0.7844663858413696,0.0,0.0
AD2,can,high_response,center_surround,8,8,0.5679547786712646,0.3942027688026428,1.355183482170105,0.0,0.0
AD2,can,high_response,surround,8,8,-2.14979887008667,-2.59363055229187,-0.5081670880317688,0.0,0.0
AD2,can,high_response,response_std,8,8,0.46126067638397217,0.3581709563732147,1.0340945720672607,0.0,0.0
AD2,can,high_response,intensity_mean,8,8,0.48516392707824707,0.3046061396598816,0.7436596751213074,0.0,0.0
AD2,can,high_response,intensity_std,8,8,0.18060308694839478,0.052906155586242676,0.32468000054359436,0.0,0.0
AD2,can,high_response,image_gradient,8,8,0.39325204491615295,0.08603453636169434,1.0777941942214966,0.09375,0.0
AD2,can,uniform,response,8,8,-3.2073659896850586,-5.279984474182129,-0.6188884973526001,0.0,0.0
AD2,can,uniform,center_surround,8,8,0.017953108996152878,-0.7680826783180237,0.559486985206604,0.0,0.0
AD2,can,uniform,surround,8,8,-3.2550501823425293,-4.4792256355285645,-0.8817048072814941,0.0,0.0
AD2,can,uniform,response_std,8,8,0.3702220916748047,0.2069578319787979,0.941872775554657,0.0,0.0
AD2,can,uniform,intensity_mean,8,8,0.47149497270584106,0.22308102250099182,1.0,0.0,0.0
AD2,can,uniform,intensity_std,8,8,0.11995483189821243,0.0,0.3520810604095459,0.0,0.0
AD2,can,uniform,image_gradient,8,8,0.09078118205070496,0.0,0.9221566319465637,0.0130615234375,0.0
AD2,fabric,high_response,response,8,8,-0.3778069317340851,-1.9394010305404663,1.2687064409255981,0.0,0.0
AD2,fabric,high_response,center_surround,8,8,1.4376888275146484,0.7998396754264832,2.3614392280578613,0.0,0.0
AD2,fabric,high_response,surround,8,8,-2.2549057006835938,-3.911071300506592,-0.7996836304664612,0.0,0.0
AD2,fabric,high_response,response_std,8,8,1.189504623413086,0.7136760354042053,1.5980876684188843,0.0,0.0
AD2,fabric,high_response,intensity_mean,8,8,0.41666150093078613,0.2892858684062958,0.5176770091056824,0.0,0.0
