image_id,dataset,category,role
06504dd948014062cb4498bc,AD2,can,fit
066444816f199c3ea326106b,AD2,can,check
16b9fda34eb2e6ec272d3bf3,AD2,can,fit
22823938e949cd1afea7cbff,AD2,can,check
2578d62fca64e618e509036f,AD2,can,fit
27335fb5d905587af2757bca,AD2,can,check
28cfe0fddfdfce1dda857e0d,AD2,can,fit
2e6ea799da9435a75118dde4,AD2,can,check
320ee915e443c9a5b698523c,AD2,can,fit
3bdb65bcb25a3ea6abb7afae,AD2,can,check
3ea1e059264398dadfb8c41b,AD2,can,fit
3ef6bbd319c7a2c38ccdc7f1,AD2,can,check
41a9319fbf795867482aa2e8,AD2,can,fit
42109a8d38323c1b426cf7a2,AD2,can,check
4288f7f5fc06f744d502749e,AD2,can,fit
433c07a9b5e8b04d4daf0c7b,AD2,can,check
0139c15787cbf521c8079514,AD2,fabric,fit
0b338bc2bd224a33f0c10743,AD2,fabric,check
33e1815a7d05fc4c21e6d432,AD2,fabric,fit
349507c17c6497481439705c,AD2,fabric,check
4928eb79113f0c0b3fe9a3ef,AD2,fabric,fit
497c6b35144c5abb10f60c63,AD2,fabric,check
4c71650a8c91e729733c67ca,AD2,fabric,fit
4cad352ef89c185231c90a98,AD2,fabric,check
5bdb4e438da721202698ac2d,AD2,fabric,fit
66c9c09682e65c835591ff21,AD2,fabric,check
69e1a9073ca4b448fd9521f3,AD2,fabric,fit
6b5a654d1365d3c880ce8377,AD2,fabric,check
6f2b05b088278d108d68a6e8,AD2,fabric,fit
6fa58fdca0e6249dfd93cb97,AD2,fabric,check
700b8141de6e7b1577c37494,AD2,fabric,fit
70aeea986862dbcf5d095166,AD2,fabric,check
0214943e668218e5db643468,AD2,fruit_jelly,fit
0b6ffed6c9d30b4bdb2c4c3e,AD2,fruit_jelly,check
1a65529a7aa486c4d9bb249f,AD2,fruit_jelly,fit
2794b09190befcfea425058a,AD2,fruit_jelly,check
2bf6b4f5e6ea5d890fde983a,AD2,fruit_jelly,fit
2d62dddacb5cbc0af959586f,AD2,fruit_jelly,check
36b4a2826060403fa2510e88,AD2,fruit_jelly,fit
3f94cca8218b01d5fcf99fec,AD2,fruit_jelly,check
43c6a62165e1a3a556a12621,AD2,fruit_jelly,fit
483a62df02cde9949c47e4e4,AD2,fruit_jelly,check
4a9135a0da246c7295035530,AD2,fruit_jelly,fit
539cac3665db703a8aa4c4af,AD2,fruit_jelly,check
667e895b0bbbf64693503ca5,AD2,fruit_jelly,fit
6ff72617a5ba4940ecb06f80,AD2,fruit_jelly,check
718749d92cecd5974dd08131,AD2,fruit_jelly,fit
7d40264550c44ad052fd65e1,AD2,fruit_jelly,check
01c25d3f149aa673a2af5b36,AD2,rice,fit
170cfd4e52fcd42b8215c0b5,AD2,rice,check
19074e2b7ec7ce27fa51322a,AD2,rice,fit
194eec6db69114fed9fea314,AD2,rice,check
1f0cfdac84600119fdf93c6f,AD2,rice,fit
26b70a3e61e4bb1ff048665c,AD2,rice,check
294e06f56812ddd9a07d2196,AD2,rice,fit
2eebe66194350aabb0c87531,AD2,rice,check
3c1e17dba7b7d7725e29639c,AD2,rice,fit
43823312dc0d0a4f3af1df16,AD2,rice,check
