category,method,auroc,ap
candle,D_z,0.9734,0.9737000804531304
candle,full_42,0.9805,0.9826603980165953
candle,full_123,0.9698,0.9748682630308667
candle,full_2026,0.9739,0.9775523478952975
candle,percentile_42,0.9773000000000001,0.980200164189174
candle,percentile_123,0.9673999999999999,0.9734499206535074
candle,percentile_2026,0.9723,0.9759858119211265
candle,robust_42,0.9547,0.9589752461283256
candle,robust_123,0.9512999999999999,0.9579754955611822
candle,robust_2026,0.9484,0.9526813247906123
capsules,D_z,0.9468333333333334,0.9725918821848262
capsules,full_42,0.9503333333333333,0.9737752655969791
capsules,full_123,0.948,0.972704747745005
capsules,full_2026,0.9518333333333333,0.9748454351701735
capsules,percentile_42,0.9281666666666666,0.9609317912716472
capsules,percentile_123,0.9268333333333333,0.961545749187869
capsules,percentile_2026,0.9325,0.9636186630968785
capsules,robust_42,0.9375,0.9649759092805086
capsules,robust_123,0.9398333333333333,0.966781260428969
capsules,robust_2026,0.9301666666666667,0.9602390102836045
cashew,D_z,0.976,0.9890793622967358
cashew,full_42,0.9734,0.9874491061362296
cashew,full_123,0.9736,0.9875192982159796
cashew,full_2026,0.9692,0.9856579865328513
cashew,percentile_42,0.9339999999999999,0.9697836781571647
cashew,percentile_123,0.9376,0.9708117559868127
cashew,percentile_2026,0.9226,0.9632842941205142
cashew,robust_42,0.9792000000000001,0.9902944408249141
cashew,robust_123,0.9748,0.9885738589794759
cashew,robust_2026,0.9768,0.9889937173232873
chewinggum,D_z,0.9909999999999999,0.9960316881939906
chewinggum,full_42,0.9962,0.9981868881115643
chewinggum,full_123,0.996,0.9981046842216971
chewinggum,full_2026,0.9948,0.9976967773374469
chewinggum,percentile_42,0.9926,0.9964974898320235
chewinggum,percentile_123,0.9942,0.9972560539612443
chewinggum,percentile_2026,0.995,0.9976428432778782
chewinggum,robust_42,0.9922,0.9963064371789723
chewinggum,robust_123,0.9934000000000001,0.9968430900235997
chewinggum,robust_2026,0.9932000000000001,0.9967661736527174
fryum,D_z,0.984,0.9919779086885728
fryum,full_42,0.9804,0.9908695189694905
fryum,full_123,0.9794,0.990348915288605
fryum,full_2026,0.9803999999999999,0.990837836475875
fryum,percentile_42,0.9793999999999999,0.9905489859685461
fryum,percentile_123,0.9798,0.9909956768224286
fryum,percentile_2026,0.9777999999999999,0.9901300179164604
fryum,robust_42,0.9802,0.9905694685195037
fryum,robust_123,0.9826,0.9917019167569456
fryum,robust_2026,0.9823999999999999,0.9916441544865604
macaroni1,D_z,0.9563999999999999,0.9504056665793419
macaroni1,full_42,0.9998,0.9998009900990099
macaroni1,full_123,0.9997,0.9997039215686274
macaroni1,full_2026,0.9998,0.9998009900990099
macaroni1,percentile_42,0.999,0.9989913383422542
macaroni1,percentile_123,0.999,0.999015549697722
macaroni1,percentile_2026,0.9984999999999999,0.998505067905982
macaroni1,robust_42,1.0,1.0
macaroni1,robust_123,0.9999,0.9999009900990099
macaroni1,robust_2026,1.0,1.0
macaroni2,D_z,0.8292,0.8272645759779061
macaroni2,full_42,0.9801,0.9783457663085996
macaroni2,full_123,0.9805999999999999,0.9758419031501553
macaroni2,full_2026,0.9790000000000001,0.9773366128795394
macaroni2,percentile_42,0.9664,0.9645332247961051
macaroni2,percentile_123,0.9632000000000001,0.9598582786668506
macaroni2,percentile_2026,0.9625,0.9604516871775834
macaroni2,robust_42,0.969,0.9510192540036148
macaroni2,robust_123,0.9624,0.9440327125350814
macaroni2,robust_2026,0.9566,0.9289779343281344
pcb1,D_z,0.9847999999999999,0.9849984935421512
pcb1,full_42,0.9831,0.986019708287644
pcb1,full_123,0.9827,0.985257116699054
pcb1,full_2026,0.9837,0.986144001329767
pcb1,percentile_42,0.9814,0.983800151243959
pcb1,percentile_123,0.9806,0.9830318280238638
pcb1,percentile_2026,0.9818,0.9837264596818206
pcb1,robust_42,0.9824999999999999,0.9851216222200672
pcb1,robust_123,0.9831,0.9852200799295356
pcb1,robust_2026,0.9833999999999999,0.9856749966158933
pcb2,D_z,0.9624999999999999,0.9688283370282473
pcb2,full_42,0.9906,0.9905653219766096
pcb2,full_123,0.9905,0.9904539165080365
pcb2,full_2026,0.9878,0.9881167448375903
pcb2,percentile_42,0.9853999999999999,0.9858476586865341
pcb2,percentile_123,0.9867999999999999,0.987171567500118
pcb2,percentile_2026,0.9886,0.9888120989336127
pcb2,robust_42,0.9877,0.9880418432639018
pcb2,robust_123,0.9865,0.9869307045121558
pcb2,robust_2026,0.9857,0.9864328230236658
pcb3,D_z,0.985049504950495,0.9864242081134261
pcb3,full_42,0.9903960396039604,0.9904620629185629
pcb3,full_123,0.9900990099009902,0.9902124956318162
pcb3,full_2026,0.9894059405940594,0.9894971889466877
pcb3,percentile_42,0.990990099009901,0.991087896986659
pcb3,percentile_123,0.9915841584158416,0.9917495230721062
pcb3,percentile_2026,0.9907920792079208,0.9909002283682641
pcb3,robust_42,0.9948514851485148,0.994727957279216
pcb3,robust_123,0.9922772277227723,0.9926633886846201
pcb3,robust_2026,0.9877227722772277,0.9888785309809611
pcb4,D_z,0.9969306930693069,0.9966010519532534
pcb4,full_42,0.9910891089108911,0.9874104996718929
pcb4,full_123,0.9913861386138614,0.9866052609593252
pcb4,full_2026,0.9921782178217822,0.9897274235000593
pcb4,percentile_42,0.9908910891089109,0.9839948276258688
pcb4,percentile_123,0.9901980198019802,0.9832857914751306
pcb4,percentile_2026,0.9899009900990099,0.9833047733727944
pcb4,robust_42,0.991980198019802,0.9850845245498568
pcb4,robust_123,0.9924752475247525,0.9877257118787905
pcb4,robust_2026,0.9926732673267327,0.9887305091240289
pipe_fryum,D_z,0.999,0.9995153846153846
pipe_fryum,full_42,0.9972000000000001,0.9986379066932086
pipe_fryum,full_123,0.9962,0.9981998113814718
pipe_fryum,full_2026,0.9958,0.9979905608395603
pipe_fryum,percentile_42,0.9992000000000001,0.9996153846153846
pipe_fryum,percentile_123,0.998,0.9990430402930404
pipe_fryum,percentile_2026,0.9982,0.9991354600092464
pipe_fryum,robust_42,0.989,0.9944525565476745
pipe_fryum,robust_123,0.9673999999999999,0.9856433125361737
pipe_fryum,robust_2026,0.9957999999999999,0.9978482192917802
