category,permuted,seed,original_sample_auc,permuted_sample_auc,drop
candle,appearance,0,0.9592865266068089,0.7928933789972912,0.16639314760951773
candle,appearance,1,0.9592865266068089,0.7900958781082574,0.16919064849855148
candle,appearance,2,0.9592865266068089,0.7914876263563353,0.16779890025047361
candle,appearance,3,0.9592865266068089,0.7855836472972703,0.17370287930953865
candle,appearance,4,0.9592865266068089,0.794202528466249,0.16508399814055996
candle,appearance,5,0.9592865266068089,0.788787877147892,0.1704986494589169
candle,appearance,6,0.9592865266068089,0.7823577775092924,0.17692874909751655
candle,appearance,7,0.9592865266068089,0.7844311669221564,0.1748553596846525
candle,appearance,8,0.9592865266068089,0.7820222970057558,0.17726422960105315
candle,appearance,9,0.9592865266068089,0.7870809934642418,0.17220553314256715
candle,map,0,0.9592865266068089,0.8030032505656087,0.15628327604120018
candle,map,1,0.9592865266068089,0.8000803147460512,0.15920621186075767
candle,map,2,0.9592865266068089,0.8074039049873982,0.15188262161941068
candle,map,3,0.9592865266068089,0.7994823450461032,0.15980418156070575
candle,map,4,0.9592865266068089,0.7994045617680134,0.15988196483879547
candle,map,5,0.9592865266068089,0.8031021764689201,0.15618435013788878
candle,map,6,0.9592865266068089,0.7971279433057078,0.1621585833011011
candle,map,7,0.9592865266068089,0.7950674499633938,0.16421907664341506
candle,map,8,0.9592865266068089,0.7980931355162517,0.1611933910905572
candle,map,9,0.9592865266068089,0.798787885130286,0.16049864147652293
capsules,appearance,0,0.9442998492205621,0.9103243228053836,0.033975526415178536
capsules,appearance,1,0.9442998492205621,0.9114210427395699,0.03287880648099217
capsules,appearance,2,0.9442998492205621,0.911390415532914,0.03290943368764809
capsules,appearance,3,0.9442998492205621,0.9126927875573198,0.03160706166324234
capsules,appearance,4,0.9442998492205621,0.9131548142305526,0.031145034990009535
capsules,appearance,5,0.9442998492205621,0.911082348119845,0.033217501100717084
capsules,appearance,6,0.9442998492205621,0.9121051303787511,0.03219471884181102
capsules,appearance,7,0.9442998492205621,0.9092630035139617,0.03503684570660037
capsules,appearance,8,0.9442998492205621,0.9098708485312671,0.034429000689295
capsules,appearance,9,0.9442998492205621,0.911317703290549,0.03298214593001314
capsules,map,0,0.9442998492205621,0.6627637116608871,0.281536137559675
capsules,map,1,0.9442998492205621,0.6639692137802489,0.2803306354403132
capsules,map,2,0.9442998492205621,0.6693092899159552,0.2749905593046069
capsules,map,3,0.9442998492205621,0.6651803606169252,0.2791194886036369
capsules,map,4,0.9442998492205621,0.6620982524121997,0.28220159680836243
capsules,map,5,0.9442998492205621,0.667253535170168,0.27704631405039404
capsules,map,6,0.9442998492205621,0.6639321625712322,0.2803676866493299
capsules,map,7,0.9442998492205621,0.6585846791237577,0.28571517009680436
capsules,map,8,0.9442998492205621,0.6557756782640498,0.2885241709565123
capsules,map,9,0.9442998492205621,0.6590794773199684,0.2852203719005937
cashew,appearance,0,0.9582370293715154,0.8464361878789413,0.11180084149257419
cashew,appearance,1,0.9582370293715154,0.8549371417107311,0.10329988766078435
cashew,appearance,2,0.9582370293715154,0.8512609383575414,0.1069760910139741
cashew,appearance,3,0.9582370293715154,0.845094899412217,0.1131421299592984
cashew,appearance,4,0.9582370293715154,0.8483881713081614,0.1098488580633541
cashew,appearance,5,0.9582370293715154,0.8460825719077597,0.11215445746375574
cashew,appearance,6,0.9582370293715154,0.8488611472219609,0.10937588214955452
cashew,appearance,7,0.9582370293715154,0.8487207876635281,0.10951624170798735
cashew,appearance,8,0.9582370293715154,0.8508664267957218,0.10737060257579367
cashew,appearance,9,0.9582370293715154,0.8448882255790461,0.11334880379246937
cashew,map,0,0.9582370293715154,0.7889897369455153,0.16924729242600012
cashew,map,1,0.9582370293715154,0.7963349168499794,0.16190211252153608
cashew,map,2,0.9582370293715154,0.793464836187985,0.16477219318353042
cashew,map,3,0.9582370293715154,0.7935176456206161,0.16471938375089934
cashew,map,4,0.9582370293715154,0.7921314047027425,0.166105624668773
cashew,map,5,0.9582370293715154,0.7896788882867124,0.16855814108480305
cashew,map,6,0.9582370293715154,0.7924598692746907,0.16577716009682475
cashew,map,7,0.9582370293715154,0.7897046371194307,0.16853239225208472
cashew,map,8,0.9582370293715154,0.7880336175130154,0.17020341185850008
cashew,map,9,0.9582370293715154,0.7906410146802025,0.1675960146913129
chewinggum,appearance,0,0.9742834635416672,0.9431025065104163,0.0311809570312509
chewinggum,appearance,1,0.9742834635416672,0.944380305989583,0.02990315755208417
chewinggum,appearance,2,0.9742834635416672,0.9455196777343748,0.02876378580729233
chewinggum,appearance,3,0.9742834635416672,0.9451381184895832,0.029145345052083993
chewinggum,appearance,4,0.9742834635416672,0.9433548828124997,0.030928580729167487
chewinggum,appearance,5,0.9742834635416672,0.9450916341145832,0.029191829427083982
chewinggum,appearance,6,0.9742834635416672,0.9451692057291664,0.029114257812500766
chewinggum,appearance,7,0.9742834635416672,0.9458319986979166,0.028451464843750607
chewinggum,appearance,8,0.9742834635416672,0.9430977213541663,0.03118574218750092
chewinggum,appearance,9,0.9742834635416672,0.9443303385416664,0.029953125000000802
chewinggum,map,0,0.9742834635416672,0.6917905273437552,0.28249293619791194
chewinggum,map,1,0.9742834635416672,0.6941966959635476,0.28008676757811957
chewinggum,map,2,0.9742834635416672,0.7017943847656308,0.27248907877603634
chewinggum,map,3,0.9742834635416672,0.6942160807291721,0.2800673828124951
chewinggum,map,4,0.9742834635416672,0.6941845052083394,0.28009895833332776
chewinggum,map,5,0.9742834635416672,0.6989213216145893,0.27536214192707786
chewinggum,map,6,0.9742834635416672,0.6936661132812557,0.28061735026041146
chewinggum,map,7,0.9742834635416672,0.6989791015625055,0.27530436197916164
chewinggum,map,8,0.9742834635416672,0.6807351725260488,0.2935482910156184
chewinggum,map,9,0.9742834635416672,0.6994712076822982,0.27481225585936897
fryum,appearance,0,0.9078843344978698,0.7585410376893024,0.1493432968085674
fryum,appearance,1,0.9078843344978698,0.7586921437222233,0.1491921907756465
fryum,appearance,2,0.9078843344978698,0.7569602689776728,0.150924065520197
fryum,appearance,3,0.9078843344978698,0.7568716781570354,0.15101265634083438
fryum,appearance,4,0.9078843344978698,0.7586266562614039,0.14925767823646585
fryum,appearance,5,0.9078843344978698,0.7560053994592736,0.15187893503859617
fryum,appearance,6,0.9078843344978698,0.7578882972773349,0.1499960372205349
fryum,appearance,7,0.9078843344978698,0.7531212815086582,0.15476305298921156
fryum,appearance,8,0.9078843344978698,0.7527508799805949,0.1551334545172749
fryum,appearance,9,0.9078843344978698,0.7526987624222445,0.15518557207562522
fryum,map,0,0.9078843344978698,0.7648683469969864,0.1430159875008834
fryum,map,1,0.9078843344978698,0.7627236241848393,0.14516071031303046
fryum,map,2,0.9078843344978698,0.7715975457963669,0.1362867887015029
fryum,map,3,0.9078843344978698,0.7637690683146033,0.14411526618326642
