category,caliper,images,images_with_matches,coverage,median_nearest_distance,reuse_fraction,response_pair_accuracy,MLP_pair_accuracy
candle,0.01,100,61,0.07341633728590251,0.4176506996154785,0.05388368462138954,0.4887457748905557,0.8029404148215153
candle,0.05,100,81,0.22871753246753246,0.4176506996154785,0.24470390667818914,0.5156434658500884,0.8317817015412413
candle,0.1,100,84,0.3209388528138528,0.4176506996154785,0.33613530439211914,0.530977922536078,0.8341392516380265
capsules,0.01,100,42,0.04313301282051282,1.672744631767273,0.10691124934822413,0.557106481776351,0.7326330549660183
capsules,0.05,100,66,0.12822916666666667,1.672744631767273,0.2123315049942645,0.5414983664046634,0.6933413030523242
capsules,0.1,100,70,0.18754042022792025,1.672744631767273,0.2876316010087019,0.5140428372791835,0.6922466318522181
cashew,0.01,100,57,0.06368421052631579,0.8436110317707062,0.06324355898659305,0.5718098763833966,0.8781815667947134
cashew,0.05,100,71,0.18442733253588517,0.8436110317707062,0.18231386111015144,0.5120069006798973,0.8352537033423572
cashew,0.1,100,79,0.264299853372434,0.8436110317707062,0.2822994096075102,0.5015968635112424,0.8428707930106151
chewinggum,0.01,100,26,0.0153125,5.059928894042969,0.032051282051282055,0.6230769231915474,0.8012820528103755
chewinggum,0.05,100,45,0.0646875,5.059928894042969,0.0718390251723585,0.5578050388230218,0.7499863740470675
chewinggum,0.1,100,59,0.1109375,5.059928894042969,0.13336655110367548,0.5344120218592175,0.7627445388648469
fryum,0.01,100,64,0.06041334704379836,0.2832163870334625,0.04940476190476191,0.4757812530733645,0.7930803583003581
fryum,0.05,100,86,0.19354793430782272,0.2832163870334625,0.186740735553332,0.4910282056865304,0.8339674391372259
fryum,0.1,100,87,0.29542427449907166,0.2832163870334625,0.2838118071506563,0.5065629752888077,0.8221504898934529
macaroni1,0.01,100,56,0.09856355218855219,0.5913620889186859,0.12341220287648859,0.5150936908487763,0.9879599575485501
macaroni1,0.05,100,72,0.25153472222222223,0.5913620889186859,0.29073030665172095,0.5538797111560901,0.9513921952909894
macaroni1,0.1,100,74,0.3234886363636364,0.5913620889186859,0.39801504114358,0.5548454229090665,0.9632841815819612
macaroni2,0.01,100,56,0.07628604497354498,0.4725063592195511,0.08680233457019172,0.575179733602064,0.8944515309163502
macaroni2,0.05,100,69,0.22009821428571427,0.4725063592195511,0.272559566670406,0.5572586344636005,0.9300780071728472
macaroni2,0.1,100,71,0.28774305555555557,0.4725063592195511,0.3735479862959945,0.5922316656985753,0.9353560284829475
pcb1,0.01,100,37,0.0259375,2.9479576349258423,0.009459459459459458,0.5513513539288495,0.5734234258935258
pcb1,0.05,100,65,0.1084375,2.9479576349258423,0.12169007892692103,0.5297089512531574,0.7149081656566033
pcb1,0.1,100,73,0.1596875,2.9479576349258423,0.1746226183872515,0.5478173555576638,0.7087822070676987
pcb2,0.01,100,57,0.055625,1.0509368777275085,0.05941938178780284,0.6085839642767321,0.812552214191671
pcb2,0.05,100,83,0.1834375,1.0509368777275085,0.1576608720315125,0.5547711298049215,0.8471149705260633
pcb2,0.1,100,89,0.256875,1.0509368777275085,0.24142734176500433,0.5235386169358586,0.8109493824035934
pcb3,0.01,100,55,0.0484375,1.271092176437378,0.036812278630460445,0.3419519898566333,0.7776623398065567
pcb3,0.05,100,78,0.151875,1.271092176437378,0.13858883849208928,0.4354859326894467,0.832044932895746
pcb3,0.1,100,84,0.228125,1.271092176437378,0.20660299821069392,0.47161703485818135,0.7920638819535574
pcb4,0.01,100,66,0.05625,0.36757320165634155,0.026377410468319557,0.4065935363372167,0.6837547579498002
pcb4,0.05,100,82,0.1909375,0.36757320165634155,0.15192457515982005,0.46549655769656345,0.6693864280312527
pcb4,0.1,100,86,0.2765625,0.36757320165634155,0.22530424024663587,0.4984154087859531,0.6825408536161102
pipe_fryum,0.01,100,42,0.025,1.9043304920196533,0.034523809523809526,0.4761904776096344,0.8535714291390919
pipe_fryum,0.05,100,62,0.094375,1.9043304920196533,0.10571614765163152,0.47442629572845274,0.8085413483842727
pipe_fryum,0.1,100,68,0.1509375,1.9043304920196533,0.18139790972835956,0.49336253172334504,0.8243587847579928
