dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,candle,generic_binary,full_all,200,200,100,100,200,0,1.0,0.43990000000000007,0.45267190653545475,0.6736111111111112,0.53,-0.005718842148780823
VisA,candle,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.8141,0.8501708339504639,0.7454545454545455,0.72,-0.0005828142166137695
VisA,candle,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.8277000000000001,0.8600893345029246,0.7567567567567568,0.73,-0.0005828142166137695
VisA,candle,category_binary,full_all,200,200,100,100,200,0,1.0,0.4214,0.4595767992544066,0.6666666666666666,0.5,-0.0035934150218963623
VisA,candle,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.11120000000000001,0.3374832482338191,0.6666666666666666,0.5,-0.009200453758239746
VisA,candle,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.11380000000000001,0.3385802855036202,0.6666666666666666,0.5,-0.009200453758239746
VisA,candle,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.8175,0.8339928724459613,0.7536231884057971,0.745,-0.002624005079269409
VisA,candle,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9606,0.9757140676509559,0.9441624365482234,0.945,-0.0004951953887939453
VisA,candle,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9606,0.9757140676509559,0.9441624365482234,0.945,-0.0004951953887939453
VisA,MEAN,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9606,0.9757140676509559,0.9441624365482234,0.945,
VisA,MEAN,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9606,0.9757140676509559,0.9441624365482234,0.945,
VisA,MEAN,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.8277000000000001,0.8600893345029246,0.7567567567567568,0.73,
VisA,MEAN,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.8175,0.8339928724459613,0.7536231884057971,0.745,
VisA,MEAN,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.8141,0.8501708339504639,0.7454545454545455,0.72,
VisA,MEAN,generic_binary,full_all,200,200,100,100,200,0,1.0,0.43990000000000007,0.45267190653545475,0.6736111111111112,0.53,
VisA,MEAN,category_binary,full_all,200,200,100,100,200,0,1.0,0.4214,0.4595767992544066,0.6666666666666666,0.5,
VisA,MEAN,category_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.11380000000000001,0.3385802855036202,0.6666666666666666,0.5,
VisA,MEAN,category_binary,crop_or_full,200,200,100,100,100,100,0.5,0.11120000000000001,0.3374832482338191,0.6666666666666666,0.5,
