dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_000.JPG,1,0.7645455199129437,41,63,49,71,45.04,67.18,55,0.858095,1.000000,0.017699,0.034783
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_001.JPG,1,0.7645455199129437,151,193,189,227,166.54,211.55,653,0.874483,1.000000,0.218989,0.359296
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_001.JPG,2,0.7645455199129437,215,49,222,56,219.82,52.68,38,0.810177,0.868937,0.000000,0.000000
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_002.JPG,1,0.7645455199129437,43,186,65,218,52.54,201.60,419,0.864550,1.000000,0.259009,0.411449
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_003.JPG,1,0.7645455199129437,44,37,64,46,55.70,42.77,115,0.834523,0.929872,0.000000,0.000000
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_003.JPG,2,0.7645455199129437,98,66,107,87,102.24,77.14,111,0.823638,0.882822,0.000000,0.000000
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_003.JPG,3,0.7645455199129437,23,65,32,77,27.37,70.50,92,0.865512,1.000000,0.000000,0.000000
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_004.JPG,1,0.7645455199129437,177,41,227,84,206.72,65.49,1064,0.856524,1.000000,0.206767,0.342679
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_004.JPG,2,0.7645455199129437,226,37,236,54,231.59,46.13,85,0.797437,0.851206,0.000000,0.000000
VisA,candle,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/candle/test/anomaly/candle_test_anomaly_004.JPG,3,0.7645455199129437,147,221,150,229,148.62,225.24,29,0.798947,0.842287,0.000000,0.000000
