dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_000.JPG,1,0.7576353211028903,50,134,78,152,63.68,141.28,330,0.858646,1.000000,0.148970,0.259310
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_000.JPG,2,0.7576353211028903,145,152,167,170,155.38,162.07,198,0.812295,0.914314,0.056906,0.107685
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_000.JPG,3,0.7576353211028903,145,65,154,72,150.70,68.02,46,0.792531,0.847547,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_001.JPG,1,0.7576353211028903,63,98,93,119,76.25,107.84,477,0.851619,1.000000,0.296586,0.457488
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_002.JPG,1,0.7576353211028903,59,96,80,128,70.29,111.23,476,0.829359,0.991155,0.254891,0.406236
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_002.JPG,2,0.7576353211028903,97,133,123,168,108.74,153.54,387,0.826873,0.946042,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_002.JPG,3,0.7576353211028903,83,25,104,53,96.05,40.56,312,0.853375,0.998368,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_003.JPG,1,0.7576353211028903,137,68,161,95,148.37,81.50,409,0.841090,1.000000,0.132275,0.233645
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_003.JPG,2,0.7576353211028903,96,133,103,142,99.86,137.66,56,0.841543,0.968306,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_003.JPG,3,0.7576353211028903,111,131,117,136,113.94,133.68,31,0.810255,0.887493,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_004.JPG,1,0.7576353211028903,63,95,89,135,76.82,116.16,622,0.860846,1.000000,0.303708,0.465914
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_005.JPG,1,0.7576353211028903,68,113,79,123,73.01,117.45,100,0.867789,1.000000,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_005.JPG,2,0.7576353211028903,41,128,45,135,43.07,131.31,29,0.790293,0.834231,0.000000,0.000000
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_006.JPG,1,0.7576353211028903,55,107,97,141,75.03,122.30,822,0.839189,1.000000,0.556086,0.714724
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_007.JPG,1,0.7576353211028903,153,126,182,147,168.11,137.91,381,0.865795,1.000000,0.256125,0.407801
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_007.JPG,2,0.7576353211028903,156,120,160,125,157.91,122.57,23,0.846109,0.981478,0.004878,0.009709
VisA,pcb4,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_008.JPG,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_008.JPG,1,0.7576353211028903,126,139,152,170,141.97,154.80,532,0.866030,1.000000,0.497258,0.664225
