dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,1,0.9366164228495429,69,42,92,61,81.34,51.44,262,0.964461,1.000000,0.145038,0.253333
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,2,0.9366164228495429,175,153,187,170,181.03,160.96,156,0.956606,0.983091,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,3,0.9366164228495429,56,137,66,151,59.75,144.40,73,0.945637,0.958840,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_001.JPG,1,0.9366164228495429,61,162,82,194,68.96,179.36,335,0.955405,1.000000,0.116618,0.208877
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,1,0.9366164228495429,21,62,37,83,29.38,72.57,248,0.965051,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,2,0.9366164228495429,82,55,93,67,87.48,61.11,123,0.949628,0.962978,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,3,0.9366164228495429,191,116,196,124,193.71,120.00,38,0.942029,0.947243,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,1,0.9366164228495429,128,49,187,79,159.88,61.24,886,0.961911,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,2,0.9366164228495429,103,26,127,55,113.70,40.92,391,0.955220,0.981894,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,3,0.9366164228495429,195,167,204,184,199.61,175.19,133,0.957825,0.981060,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,1,0.9366164228495429,188,108,204,136,195.04,121.94,290,0.964695,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,2,0.9366164228495429,187,159,200,173,193.82,165.92,157,0.958943,0.988259,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,3,0.9366164228495429,140,179,150,184,144.45,181.07,44,0.941396,0.945738,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,1,0.9366164228495429,187,105,202,118,194.43,112.27,172,0.966025,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,2,0.9366164228495429,70,26,91,43,81.92,34.72,130,0.946396,0.962784,0.000000,0.000000
