dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_000.JPG,1,0.9103863578216704,43,47,54,58,48.36,52.82,115,0.953506,1.000000,0.341667,0.509317
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_001.JPG,1,0.9103863578216704,125,163,135,174,130.13,168.39,102,0.955160,1.000000,0.223214,0.364964
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_002.JPG,1,0.9103863578216704,32,155,45,167,38.34,160.89,147,0.953461,1.000000,0.184524,0.311558
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_003.JPG,1,0.9103863578216704,138,68,152,81,145.05,74.52,160,0.955004,1.000000,0.087500,0.160920
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_003.JPG,2,0.9103863578216704,48,10,54,14,51.00,12.00,31,0.926812,0.944451,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_004.JPG,1,0.9103863578216704,130,136,141,148,135.18,142.14,122,0.954397,1.000000,0.255034,0.406417
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_005.JPG,1,0.9103863578216704,146,165,157,175,151.57,169.78,108,0.953715,1.000000,0.169355,0.289655
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_006.JPG,1,0.9103863578216704,147,41,157,51,151.88,46.11,104,0.956188,1.000000,0.215517,0.354610
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_007.JPG,1,0.9103863578216704,184,140,194,152,188.85,146.04,118,0.953774,1.000000,0.092308,0.169014
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_008.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_008.JPG,1,0.9103863578216704,98,152,109,163,103.66,157.56,114,0.954052,1.000000,0.215517,0.354610
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_009.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_009.JPG,1,0.9103863578216704,49,151,61,161,55.29,156.12,113,0.954111,1.000000,0.207407,0.343558
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_010.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_010.JPG,1,0.9103863578216704,203,178,212,190,207.71,183.98,101,0.939211,0.967467,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_010.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_010.JPG,2,0.9103863578216704,109,77,118,88,113.61,82.61,96,0.953430,1.000000,0.234694,0.380165
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_011.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_011.JPG,1,0.9103863578216704,15,63,24,74,19.45,68.85,97,0.953804,1.000000,0.381443,0.552239
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_012.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_012.JPG,1,0.9103863578216704,127,74,136,84,131.24,78.63,79,0.954001,1.000000,0.202532,0.336842
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_013.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_013.JPG,1,0.9103863578216704,125,20,142,36,133.54,27.72,209,0.952881,1.000000,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_013.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_013.JPG,2,0.9103863578216704,127,40,132,47,129.68,43.39,31,0.918714,0.927945,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_014.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_014.JPG,1,0.9103863578216704,162,107,175,126,168.19,115.94,214,0.954221,1.000000,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_014.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_014.JPG,2,0.9103863578216704,147,138,155,146,151.02,141.70,61,0.933050,0.955351,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_015.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_015.JPG,1,0.9103863578216704,24,33,35,44,29.00,38.21,112,0.953655,1.000000,0.187500,0.315789
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_016.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_016.JPG,1,0.9103863578216704,98,70,113,91,105.04,80.45,262,0.953287,1.000000,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_017.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_017.JPG,1,0.9103863578216704,210,68,220,80,214.14,73.93,103,0.947545,0.990965,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_017.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_017.JPG,2,0.9103863578216704,116,78,126,88,121.15,83.14,95,0.952990,1.000000,0.252525,0.403226
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_018.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_018.JPG,1,0.9103863578216704,152,41,164,55,157.80,48.37,124,0.950644,1.000000,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_018.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_018.JPG,2,0.9103863578216704,193,171,201,180,197.02,175.59,56,0.919647,0.928975,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_019.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_019.JPG,1,0.9103863578216704,62,122,85,145,71.85,132.89,227,0.943702,1.000000,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_020.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_020.JPG,1,0.9103863578216704,204,145,215,161,209.50,152.78,165,0.952157,1.000000,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_021.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_021.JPG,1,0.9103863578216704,214,42,223,55,218.85,48.49,110,0.935084,0.965610,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_021.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_021.JPG,2,0.9103863578216704,119,22,129,33,123.57,27.49,105,0.953152,1.000000,0.200000,0.333333
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_021.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_021.JPG,3,0.9103863578216704,209,22,214,33,211.50,27.36,58,0.938621,0.969070,0.000000,0.000000
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_022.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_022.JPG,1,0.9103863578216704,204,141,213,150,208.12,145.33,82,0.952939,1.000000,0.275862,0.432432
VisA,macaroni2,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_023.JPG,datasets/VisA_anomalib_1cls/macaroni2/test/anomaly/macaroni2_test_anomaly_023.JPG,1,0.9103863578216704,190,157,201,170,195.42,162.83,119,0.950901,1.000000,0.158333,0.273381
