backbone,strategy,eval_mode,fusion_method,num_categories,macro_auroc,macro_ap,macro_best_f1,median_auroc,min_auroc,max_auroc,num_categories_delta_positive,num_categories_delta_negative,mean_delta_auroc_vs_vlm,median_delta_auroc_vs_vlm
FastFlow,inspection_binary,crop_or_full,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,9,3,0.12462706270627062,0.034450000000000036
FastFlow,inspection_binary,crop_or_full,qcr_u_detector_aware,12,0.9746915841584158,0.9812827841667624,0.9507479915178706,0.9933000000000001,0.8863,1.0,11,0,0.10431864686468646,0.03275000000000006
FastFlow,inspection_binary,crop_or_full,qcr_u_fixed,12,0.9566768151815181,0.9700802843979983,0.9334107589967306,0.98945,0.8292,1.0,11,0,0.08630387788778877,0.028900000000000092
FastFlow,inspection_binary,crop_or_full,vlm_detector_avg,12,0.9332399614961496,0.9482986101004952,0.9070448314114131,0.9777499999999999,0.7686,1.0,11,1,0.06286702420242023,0.022299999999999986
FastFlow,inspection_binary,crop_or_full,detector_only,12,0.8933886826182619,0.9157962221388183,0.8630355979712183,0.8929,0.7208,0.9898,5,7,0.02301574532453245,-0.0237
FastFlow,inspection_binary,crop_or_full,vlm_only,12,0.8703729372937294,0.904652046331397,0.8671811592792308,0.96055,0.5733,1.0,0,0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,8,4,0.07281427392739274,0.01905000000000001
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_detector_aware,12,0.987139521452145,0.9899310788698662,0.9697809717927869,0.99805,0.9406,1.0,9,0,0.06495379537953795,0.022850000000000037
FastFlow,inspection_binary,crop_topk_ensemble,qcr_u_fixed,12,0.975800412541254,0.982837244720844,0.9574001877484627,0.9951,0.9025,1.0,9,0,0.05361468646864686,0.019600000000000006
FastFlow,inspection_binary,crop_topk_ensemble,vlm_detector_avg,12,0.9635899339933993,0.9703938127751836,0.9398381326341663,0.99135,0.8562,1.0,8,1,0.04140420792079207,0.018000000000000016
FastFlow,inspection_binary,crop_topk_ensemble,vlm_only,12,0.9221857260726072,0.9398195768083911,0.9042398243985746,0.97595,0.7175,1.0,0,0,0.0,0.0
FastFlow,inspection_binary,crop_topk_ensemble,detector_only,12,0.8933886826182619,0.9157962221388183,0.8630355979712183,0.8929,0.7208,0.9898,4,8,-0.028797043454345434,-0.029200000000000004
FastFlow,inspection_binary,full_all,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,12,0,0.4000028602860286,0.42389108910891093
FastFlow,inspection_binary,full_all,detector_only,12,0.8933886826182619,0.9157962221388183,0.8630355979712183,0.8929,0.7208,0.9898,12,0,0.29839154290429043,0.3111069306930694
FastFlow,inspection_binary,full_all,qcr_u_detector_aware,12,0.8848979372937293,0.9113610999182246,0.8571150026369181,0.89815,0.7152,0.9886,12,0,0.289900797579758,0.31981666666666664
FastFlow,inspection_binary,full_all,qcr_u_fixed,12,0.8250444169416942,0.8656177185353028,0.8140337321556411,0.8284333333333334,0.6359,0.9694,12,0,0.2300472772277228,0.25470000000000004
FastFlow,inspection_binary,full_all,vlm_detector_avg,12,0.7765627337733774,0.8191571984941769,0.7877657538754378,0.7714,0.5251,0.9594,12,0,0.18156559405940595,0.1709722772277228
FastFlow,inspection_binary,full_all,vlm_only,12,0.5949971397139714,0.6796229348660319,0.7394776790909408,0.5711089108910891,0.3715,0.8288,0,0,0.0,0.0
PatchCore,category_binary,crop_or_full,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,9,3,0.22152043454345435,0.16006683168316832
PatchCore,category_binary,crop_or_full,qcr_u_detector_aware,12,0.9214203245324534,0.9410857232950406,0.9093078102841612,0.9450000000000001,0.5783,1.0,11,0,0.14794075907590762,0.10967524752475244
PatchCore,category_binary,crop_or_full,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,9,3,0.1402715484048405,0.09682648514851488
PatchCore,category_binary,crop_or_full,vlm_detector_avg,12,0.8775895214521453,0.9010306887713105,0.8841061450498401,0.94345,0.4549,1.0,11,0,0.10410995599559958,0.08492178217821783
PatchCore,category_binary,crop_or_full,qcr_u_fixed,12,0.8765695544554455,0.9100009553144716,0.8846011687896005,0.9123881188118812,0.3738,1.0,11,0,0.10308998899889989,0.07235000000000003
PatchCore,category_binary,crop_or_full,vlm_only,12,0.7734795654565457,0.8342625875397428,0.8395732074981748,0.8349331683168317,0.1112,1.0,0,0,0.0,0.0
PatchCore,category_binary,crop_topk_ensemble,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,9,3,0.20611256875687567,0.12945049504950495
PatchCore,category_binary,crop_topk_ensemble,qcr_u_detector_aware,12,0.9300486798679867,0.9470429949974003,0.9175362611410027,0.9646118811881188,0.5898,1.0,11,0,0.14116124862486248,0.09906237623762376
PatchCore,category_binary,crop_topk_ensemble,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,8,4,0.12486368261826182,0.06621014851485152
PatchCore,category_binary,crop_topk_ensemble,vlm_detector_avg,12,0.8905210946094609,0.9091868480850982,0.8959212078632427,0.95995,0.4622,1.0,11,0,0.10163366336633663,0.080430198019802
PatchCore,category_binary,crop_topk_ensemble,qcr_u_fixed,12,0.8865517876787679,0.9169891046376725,0.8935416017439032,0.9331148514851486,0.3837,1.0,11,0,0.09766435643564357,0.06669999999999998
PatchCore,category_binary,crop_topk_ensemble,vlm_only,12,0.7888874312431242,0.844015590715106,0.8483062323514313,0.8655495049504951,0.1138,1.0,0,0,0.0,0.0
PatchCore,category_binary,full_all,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,12,0,0.42756900440044004,0.40139009900990097
PatchCore,category_binary,full_all,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,12,0,0.34632011826182624,0.3337623762376238
PatchCore,category_binary,full_all,qcr_u_detector_aware,12,0.8386824807480749,0.8724645430499769,0.8074884753583397,0.8657166666666667,0.6907,0.954,12,0,0.2712514851485148,0.271929702970297
PatchCore,category_binary,full_all,vlm_detector_avg,12,0.7632044279427942,0.8017364142182634,0.773051164040392,0.7825666666666666,0.4892,0.9214,12,0,0.1957734323432343,0.19
PatchCore,category_binary,full_all,qcr_u_fixed,12,0.7595771727172718,0.8070675637919159,0.7681339036954533,0.7900425742574257,0.5852,0.9092,12,0,0.19214617711771176,0.19842772277227722
PatchCore,category_binary,full_all,vlm_only,12,0.5674309955995601,0.6394967990616381,0.7265884568321566,0.593609900990099,0.3049,0.702,0,0,0.0,0.0
PatchCore,generic_binary,crop_or_full,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,7,5,0.12845602310231022,0.04335
PatchCore,generic_binary,crop_or_full,qcr_u_detector_aware,12,0.959155198019802,0.9727558279227079,0.9411125737475731,0.99525,0.8157,1.0,9,0,0.09261122112211222,0.04360000000000003
PatchCore,generic_binary,crop_or_full,vlm_detector_avg,12,0.9442727997799779,0.9603415187233324,0.9219476534479644,0.9896861386138613,0.7938,1.0,8,1,0.07772882288228823,0.011249999999999982
PatchCore,generic_binary,crop_or_full,qcr_u_fixed,12,0.929441089108911,0.9537930499068178,0.9154471433446703,0.9934499999999999,0.7034,1.0,9,0,0.06289711221122112,0.041800000000000004
PatchCore,generic_binary,crop_or_full,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,5,7,0.04720713696369636,-0.007299999999999973
PatchCore,generic_binary,crop_or_full,vlm_only,12,0.8665439768976898,0.9049261459950443,0.8560338256552957,0.95165,0.5357,1.0,0,0,0.0,0.0
PatchCore,generic_binary,crop_topk_ensemble,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,6,6,0.11580090759075908,0.03404999999999997
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_detector_aware,12,0.9655951320132014,0.97726320485169,0.9498457921524567,0.99715,0.8383,1.0,9,0,0.0863960396039604,0.036199999999999954
PatchCore,generic_binary,crop_topk_ensemble,vlm_detector_avg,12,0.9565388338833882,0.9684025209517942,0.9342427563433188,0.990730693069307,0.8223,1.0,8,1,0.07733974147414742,0.01304999999999995
PatchCore,generic_binary,crop_topk_ensemble,qcr_u_fixed,12,0.9374915016501649,0.9594131978862825,0.9247494604883645,0.9948999999999999,0.7286,1.0,9,0,0.05829240924092408,0.033949999999999925
PatchCore,generic_binary,crop_topk_ensemble,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,5,7,0.03455202145214522,-0.007299999999999973
PatchCore,generic_binary,crop_topk_ensemble,vlm_only,12,0.879199092409241,0.9144068774393763,0.8665031171145992,0.96095,0.5616,1.0,0,0,0.0,0.0
PatchCore,generic_binary,full_all,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,12,0,0.4075600660066006,0.44205891089108906
PatchCore,generic_binary,full_all,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,12,0,0.3263111798679868,0.37274356435643563
PatchCore,generic_binary,full_all,qcr_u_detector_aware,12,0.8431267601760176,0.8763692459942746,0.8129303333720665,0.8348663366336633,0.713,0.9914,12,0,0.25568682618261823,0.3024678217821782
PatchCore,generic_binary,full_all,qcr_u_fixed,12,0.7717503575357535,0.8179911163714421,0.7722297021580342,0.7532343234323433,0.6094,0.9784,12,0,0.18431042354235425,0.19051930693069308
PatchCore,generic_binary,full_all,vlm_detector_avg,12,0.7679241474147415,0.8103871056938652,0.7694229274835193,0.7453188118811882,0.6359,0.9666,12,0,0.18048421342134213,0.18872772277227723
PatchCore,generic_binary,full_all,vlm_only,12,0.5874399339933993,0.6538215920954913,0.732223105997289,0.5529410891089109,0.4145,0.8862,0,0,0.0,0.0
PatchCore,inspection_binary,crop_or_full,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,9,3,0.12778195819581958,0.04959999999999998
PatchCore,inspection_binary,crop_or_full,qcr_u_detector_aware,12,0.9571757700770078,0.9704607727054587,0.941833334674896,0.9941,0.763,1.0,10,1,0.08995772827282726,0.048699999999999966
PatchCore,inspection_binary,crop_or_full,vlm_detector_avg,12,0.9354514026402642,0.9515340190763998,0.9142801937139967,0.98975,0.7002,1.0,10,1,0.06823336083608363,0.039600000000000024
PatchCore,inspection_binary,crop_or_full,qcr_u_fixed,12,0.9334797029702973,0.9537001712794025,0.9141827916471796,0.98185,0.676,1.0,11,0,0.06626166116611662,0.0343
PatchCore,inspection_binary,crop_or_full,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,6,6,0.04653307205720572,0.008199999999999985
PatchCore,inspection_binary,crop_or_full,vlm_only,12,0.8672180418041804,0.9050029361395072,0.8700258314085976,0.9454,0.4706,1.0,0,0,0.0,0.0
PatchCore,inspection_binary,crop_topk_ensemble,candidate_quality_only,12,0.9949999999999998,1.0,0.9949748743718593,0.995,0.995,0.995,9,3,0.1105629812981298,0.0489
PatchCore,inspection_binary,crop_topk_ensemble,qcr_u_detector_aware,12,0.9667142739273927,0.9771184978851596,0.9516432431149401,0.9944999999999999,0.8232,1.0,11,0,0.08227725522552255,0.04799999999999999
PatchCore,inspection_binary,crop_topk_ensemble,vlm_detector_avg,12,0.9495060781078107,0.9616099822526993,0.9277313641642349,0.9907,0.7681,1.0,11,0,0.0650690594059406,0.03839999999999999
PatchCore,inspection_binary,crop_topk_ensemble,qcr_u_fixed,12,0.9447516501650166,0.9619075527909126,0.9246691685977938,0.9822,0.7496,1.0,11,0,0.06031463146314633,0.03360000000000002
PatchCore,inspection_binary,crop_topk_ensemble,detector_only,12,0.9137511138613864,0.9286819566459044,0.8842918468986579,0.9490000000000001,0.6995,0.9936,5,7,0.02931409515951595,-0.007450000000000012
