category,image_path,component_rank,x1,y1,x2,y2,area,mean_score,max_score,clip_max_normal,clip_max_defect,clip_semantic_score,gt_iou,gt_f1,clip_semantic_score_norm,mean_score_norm,max_score_norm,area_norm,combined_score
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,1,63.0,172.0,83.0,193.0,367.0,0.897634,1.0,0.26569822430610657,0.26991021633148193,0.004211992025375366,0.117925,0.21097,0.5432961,0.8855512,1.0,0.5611459,0.71054083
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,2,49.0,61.0,59.0,71.0,87.0,0.823784,0.847728,0.2518136501312256,0.2521413564682007,0.00032770633697509766,0.200557,0.334107,0.39590642,0.1487309,0.16649619,0.24088505,0.27095184
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,3,178.0,93.0,183.0,98.0,29.0,0.808877,0.817311,0.25422531366348267,0.24411936104297638,-0.010105952620506287,0.081159,0.150134,0.0,0.0,0.0,0.0,0.0
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,1,89.0,43.0,111.0,63.0,373.0,0.895014,1.0,0.2638266384601593,0.2650105059146881,0.0011838674545288086,0.20332,0.337931,0.42839357,0.8594104,1.0,0.5647661,0.65004736
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,1,111.0,17.0,138.0,43.0,596.0,0.89757,1.0,0.2629746198654175,0.25652551651000977,-0.006449103355407715,0.137405,0.241611,0.13875958,0.88491255,1.0,0.66944826,0.539106
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,1,154.0,174.0,174.0,199.0,441.0,0.893074,0.996977,0.2565528452396393,0.2580326795578003,0.0014798343181610107,0.277778,0.434783,0.43962407,0.84005445,0.9834526,0.6021598,0.6504111
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,2,20.0,102.0,43.0,123.0,423.0,0.895135,1.0,0.24752241373062134,0.2525178790092468,0.004995465278625488,0.21375,0.352214,0.5730251,0.86061764,1.0,0.59285325,0.7183628
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/007.png,1,11.0,39.0,41.0,63.0,623.0,0.898434,1.0,0.2881614565849304,0.28376466035842896,-0.004396796226501465,0.430512,0.601899,0.21663462,0.8935326,1.0,0.67934954,0.5781569
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/009.png,1,54.0,31.0,96.0,77.0,1237.0,0.906224,1.0,0.2978704273700714,0.2895472049713135,-0.008323222398757935,0.204622,0.339729,0.06764591,0.97125566,1.0,0.83270407,0.55365056
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/011.png,1,128.0,38.0,153.0,66.0,569.0,0.896705,1.0,0.2575291693210602,0.2663092315196991,0.008780062198638916,0.253942,0.40503,0.71663207,0.8762818,1.0,0.6590887,0.7950919
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/011.png,2,140.0,125.0,154.0,136.0,146.0,0.819318,0.838996,0.24914400279521942,0.24959291517734528,0.0004489123821258545,0.065622,0.123162,0.4005056,0.10417253,0.11869901,0.3557374,0.26413155
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/002.png,1,73.0,115.0,100.0,143.0,654.0,0.892062,1.0,0.2563101649284363,0.25987139344215393,0.0035612285137176514,0.136086,0.239569,0.5186028,0.8299578,1.0,0.6902025,0.69287676
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,1,32.0,80.0,60.0,111.0,730.0,0.893556,1.0,0.2458212971687317,0.25399333238601685,0.008172035217285156,0.24322,0.391275,0.6935604,0.8448637,1.0,0.7147754,0.77928203
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,2,193.0,149.0,212.0,170.0,343.0,0.865594,0.936583,0.25284188985824585,0.24977904558181763,-0.0030628442764282227,0.18551,0.312963,0.26725158,0.5658801,0.652869,0.5460497,0.43821314
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/004.png,1,93.0,136.0,118.0,162.0,537.0,0.894031,1.0,0.24860268831253052,0.26128894090652466,0.01268625259399414,0.175214,0.298182,0.8648529,0.84960276,1.0,0.6461556,0.85116035
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/001.png,1,102.0,26.0,123.0,48.0,424.0,0.897113,1.0,0.2606632113456726,0.2587239742279053,-0.001939237117767334,0.648107,0.786486,0.309887,0.88035303,1.0,0.5933806,0.60691077
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/004.png,1,99.0,132.0,119.0,159.0,467.0,0.893599,1.0,0.261349081993103,0.27759698033332825,0.01624789834022522,0.663139,0.797455,1.0,0.84529245,1.0,0.6149543,0.9073478
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/005.png,1,80.0,27.0,101.0,52.0,439.0,0.892182,1.0,0.2570921778678894,0.26108911633491516,0.003996938467025757,0.300654,0.462312,0.53513587,0.8311549,1.0,0.6011446,0.6918298
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/007.png,1,49.0,136.0,73.0,159.0,481.0,0.891429,1.0,0.25534260272979736,0.25608307123184204,0.0007404685020446777,0.511278,0.676617,0.41156873,0.82364213,1.0,0.62155217,0.63563585
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/009.png,1,167.0,1.0,188.0,26.0,406.0,0.889803,1.0,0.26316922903060913,0.27082186937332153,0.007652640342712402,0.599174,0.749354,0.6738519,0.807419,1.0,0.5836936,0.74419934
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/001.png,1,151.0,9.0,192.0,32.0,820.0,0.90086,1.0,0.2628819942474365,0.2630673348903656,0.00018534064292907715,0.490762,0.658404,0.39050433,0.91773766,1.0,0.74076563,0.6710117
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/003.png,1,138.0,42.0,158.0,71.0,485.0,0.893562,1.0,0.2566687762737274,0.2489975094795227,-0.007671266794204712,0.402458,0.573932,0.09238444,0.84492373,1.0,0.6234021,0.49963647
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/003.png,2,147.0,209.0,156.0,218.0,79.0,0.818407,0.836525,0.26165086030960083,0.25319045782089233,-0.008460402488708496,0.090323,0.16568,0.062440597,0.095083274,0.10517345,0.21955064,0.09384982
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/004.png,1,87.0,37.0,111.0,60.0,464.0,0.894787,1.0,0.25491252541542053,0.2540338933467865,-0.0008786320686340332,0.357407,0.526603,0.35013178,0.85714585,1.0,0.6135147,0.61891186
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/005.png,1,123.0,35.0,148.0,61.0,551.0,0.894572,1.0,0.2507776618003845,0.24937312304973602,-0.0014045387506484985,0.398614,0.570012,0.33017617,0.8550008,1.0,0.651906,0.6130202
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/007.png,1,107.0,34.0,133.0,57.0,487.0,0.891228,1.0,0.2551852762699127,0.25379058718681335,-0.0013946890830993652,0.175,0.297872,0.33054993,0.82163686,1.0,0.62432134,0.5987525
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/008.png,1,53.0,28.0,80.0,56.0,609.0,0.900362,1.0,0.2595040500164032,0.2581416666507721,-0.0013623833656311035,0.208791,0.345455,0.33177578,0.912769,1.0,0.6742702,0.6361953
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/009.png,1,21.0,134.0,51.0,170.0,777.0,0.909105,1.0,0.2608424127101898,0.2585282325744629,-0.0023141801357269287,0.27451,0.430769,0.29565972,1.0,1.0,0.72872365,0.6559192
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/metal_contamination/010.png,1,177.0,5.0,204.0,30.0,537.0,0.894197,1.0,0.26272618770599365,0.2582917809486389,-0.004434406757354736,0.196232,0.328084,0.21520749,0.851259,1.0,0.6461556,0.55939955
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/001.png,1,165.0,135.0,192.0,165.0,694.0,0.895816,1.0,0.2576744556427002,0.2576860189437866,1.1563301086425781e-05,0.634953,0.776724,0.38391033,0.86741257,1.0,0.70347106,0.64670116
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/004.png,1,93.0,98.0,152.0,145.0,1951.0,0.899981,1.0,0.2925475835800171,0.29585281014442444,0.0033052265644073486,0.182625,0.308846,0.5088888,0.90896773,1.0,0.934632,0.74060184
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/004.png,2,183.0,118.0,200.0,130.0,177.0,0.826249,0.854227,0.2547655999660492,0.24959927797317505,-0.0051663219928741455,0.070077,0.130975,0.18743487,0.17332493,0.20207027,0.39856973,0.20507342
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/006.png,1,73.0,6.0,104.0,57.0,1207.0,0.895528,1.0,0.26185017824172974,0.25698429346084595,-0.004865884780883789,0.137681,0.242038,0.198835,0.864539,1.0,0.8272129,0.5747857
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/008.png,1,132.0,131.0,197.0,212.0,1323.0,0.874391,1.0,0.29174792766571045,0.28985244035720825,-0.0018954873085021973,0.294434,0.454923,0.31154707,0.65364987,1.0,0.8477373,0.55374736
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/009.png,1,67.0,10.0,162.0,132.0,2613.0,0.884402,1.0,0.2982523739337921,0.29891547560691833,0.0006631016731262207,0.162329,0.279317,0.40863305,0.7535317,1.0,1.0,0.64762104
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/009.png,2,200.0,189.0,210.0,203.0,87.0,0.810175,0.819645,0.2531675398349762,0.249613955616951,-0.0035535842180252075,0.048048,0.091691,0.24863039,0.012950575,0.012775802,0.24088505,0.14178246
