category,image_path,component_rank,x1,y1,x2,y2,area,mean_score,max_score,clip_max_normal,clip_max_defect,clip_semantic_score,gt_iou,gt_f1,clip_semantic_score_norm,mean_score_norm,max_score_norm,area_norm,combined_score
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,1,142.0,14.0,180.0,52.0,1158.0,0.83408,1.0,0.268954336643219,0.2630004584789276,-0.005953878164291382,0.204187,0.339128,0.19777362,0.7894139,1.0,0.5024503,0.515538
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,2,65.0,76.0,106.0,111.0,1092.0,0.768094,0.830248,0.28357619047164917,0.2783837616443634,-0.005192428827285767,0.387487,0.558545,0.21860416,0.34227574,0.3556992,0.49018258,0.30275655
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,1,102.0,117.0,139.0,159.0,1212.0,0.823134,0.985499,0.2903522551059723,0.29831668734550476,0.00796443223953247,0.059384,0.112111,0.5785291,0.71524113,0.94496095,0.5119788,0.6563664
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,2,23.0,46.0,55.0,84.0,995.0,0.835229,1.0,0.29721298813819885,0.3105064630508423,0.013293474912643433,0.075306,0.140065,0.7243128,0.79719985,1.0,0.47073728,0.7520344
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,3,128.0,32.0,154.0,58.0,580.0,0.77915,0.86848,0.25832563638687134,0.25716111063957214,-0.0011645257472991943,0.088353,0.162362,0.3287933,0.41719413,0.5008105,0.35795966,0.37985194
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,1,84.0,24.0,130.0,82.0,2025.0,0.823388,1.0,0.29492825269699097,0.3032341003417969,0.008305847644805908,0.165979,0.284704,0.58786905,0.71696216,1.0,0.6193101,0.6774088
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,2,164.0,113.0,198.0,152.0,1077.0,0.817488,0.964641,0.2626126706600189,0.2592023015022278,-0.0034103691577911377,0.261826,0.414996,0.267355,0.67698246,0.86579335,0.4872912,0.49256206
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,3,38.0,138.0,66.0,168.0,660.0,0.753697,0.809479,0.287341833114624,0.2820899188518524,-0.0052519142627716064,0.15927,0.274776,0.21697685,0.24471773,0.27686962,0.38495177,0.24947293
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/008.png,1,0.0,20.0,34.0,62.0,1156.0,0.800265,0.917593,0.3036005198955536,0.31205442547798157,0.008453905582427979,0.067841,0.127063,0.59191936,0.5602749,0.6872208,0.5020889,0.58139086
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/008.png,2,56.0,120.0,89.0,161.0,1087.0,0.83644,1.0,0.2649466395378113,0.262249618768692,-0.0026970207691192627,0.165686,0.284272,0.28686967,0.8054062,1.0,0.48922315,0.5599058
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/008.png,3,165.0,176.0,200.0,207.0,892.0,0.823165,0.96433,0.268041729927063,0.26495370268821716,-0.003088027238845825,0.083896,0.154804,0.2761731,0.7154512,0.8646131,0.44789693,0.5059368
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/003.png,1,53.0,17.0,92.0,58.0,1283.0,0.835174,1.0,0.2810124158859253,0.2934775650501251,0.012465149164199829,0.230317,0.374403,0.70165277,0.7968275,1.0,0.52388084,0.74702144
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/003.png,2,172.0,120.0,199.0,153.0,747.0,0.768184,0.846746,0.25993645191192627,0.2626228630542755,0.002686411142349243,0.228707,0.372272,0.43414122,0.3428856,0.41831818,0.41082367,0.3982877
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/003.png,3,24.0,194.0,42.0,213.0,278.0,0.738285,0.778386,0.2708549499511719,0.2723451554775238,0.0014902055263519287,0.133195,0.235078,0.4014173,0.14028218,0.15885484,0.20447658,0.26606968
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/005.png,1,84.0,88.0,125.0,214.0,3331.0,0.804068,0.94178,0.2895192503929138,0.2879325747489929,-0.0015866756439208984,0.127735,0.226534,0.31724477,0.58604515,0.77902347,0.72340715,0.49811903
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/005.png,2,20.0,136.0,57.0,176.0,1162.0,0.815394,1.0,0.2596421539783478,0.26151329278945923,0.0018711388111114502,0.0,0.0,0.41183826,0.66279274,1.0,0.50317127,0.5676218
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/005.png,3,73.0,13.0,98.0,46.0,663.0,0.780579,0.872314,0.2783510386943817,0.2778055667877197,-0.0005454719066619873,0.079377,0.147079,0.3457284,0.42687714,0.5153624,0.38589922,0.39511093
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/007.png,1,146.0,95.0,179.0,132.0,988.0,0.827984,1.0,0.3036557734012604,0.31165820360183716,0.008002430200576782,0.091038,0.166884,0.5795686,0.7481058,1.0,0.46926153,0.6695691
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/007.png,2,56.0,28.0,74.0,48.0,304.0,0.731456,0.763108,0.2674098014831543,0.26505398750305176,-0.002355813980102539,0.416667,0.588235,0.29620388,0.09400694,0.10086662,0.22311951,0.19859278
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/008.png,1,31.0,54.0,66.0,94.0,1198.0,0.829393,1.0,0.2798805236816406,0.2874816358089447,0.007601112127304077,0.096552,0.176101,0.56859,0.75765395,1.0,0.50954974,0.6719994
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/008.png,2,181.0,147.0,195.0,164.0,202.0,0.724336,0.75374,0.27395138144493103,0.26565319299697876,-0.00829818844795227,0.294643,0.455172,0.13364162,0.045760278,0.06530999,0.13793825,0.09647965
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/009.png,1,20.0,36.0,53.0,75.0,1033.0,0.82817,1.0,0.2673603594303131,0.29073143005371094,0.023371070623397827,0.2792,0.436523,1.0,0.7493664,1.0,0.47857174,0.86013544
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/001.png,1,102.0,61.0,216.0,117.0,4742.0,0.830276,1.0,0.28151920437812805,0.2803674042224884,-0.0011518001556396484,0.535369,0.697382,0.3291414,0.76363724,1.0,0.7972879,0.5951155
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/002.png,1,60.0,160.0,100.0,205.0,1473.0,0.843793,1.0,0.2818680703639984,0.27779632806777954,-0.004071742296218872,0.288729,0.448083,0.24926217,0.85523176,1.0,0.55275536,0.56677467
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/002.png,2,163.0,30.0,193.0,76.0,1170.0,0.788593,0.891147,0.27239105105400085,0.2697352170944214,-0.0026558339595794678,0.259952,0.412638,0.28799638,0.48118225,0.58684397,0.50460553,0.4071571
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/002.png,3,32.0,58.0,63.0,93.0,923.0,0.789518,0.886459,0.2667348086833954,0.2630152106285095,-0.0037195980548858643,0.147342,0.25684,0.25889558,0.48745033,0.5690504,0.4550372,0.3895194
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/003.png,1,45.0,137.0,80.0,184.0,1364.0,0.839774,1.0,0.2779383957386017,0.2768701910972595,-0.001068204641342163,0.276401,0.433094,0.3314283,0.8279982,1.0,0.53668076,0.5926102
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/003.png,2,84.0,47.0,110.0,79.0,695.0,0.810578,0.939031,0.28004002571105957,0.27911990880966187,-0.0009201169013977051,0.154741,0.26801,0.33547944,0.6301583,0.7685896,0.39574748,0.48795488
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/003.png,3,133.0,131.0,155.0,157.0,497.0,0.753777,0.810985,0.27927663922309875,0.2792871594429016,1.0520219802856445e-05,0.22277,0.364369,0.36093837,0.24526018,0.28258583,0.32570565,0.3090925
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/004.png,1,88.0,48.0,120.0,89.0,1059.0,0.834177,1.0,0.2782927453517914,0.2756642699241638,-0.0026284754276275635,0.365754,0.535608,0.2887448,0.7900715,1.0,0.48376796,0.554837
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/004.png,2,173.0,142.0,195.0,165.0,415.0,0.768826,0.843019,0.2824214994907379,0.27812978625297546,-0.004291713237762451,0.208955,0.345679,0.24324454,0.347236,0.40417212,0.288061,0.30021596
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/006.png,1,44.0,132.0,104.0,201.0,3353.0,0.844921,1.0,0.27949318289756775,0.2743998169898987,-0.005093365907669067,0.597273,0.747866,0.22131418,0.86287546,1.0,0.724784,0.5740762
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/008.png,1,86.0,64.0,208.0,151.0,5617.0,0.865157,1.0,0.27321329712867737,0.27827197313308716,0.00505867600440979,0.645663,0.784684,0.49903795,1.0,1.0,0.8327128,0.75783837
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/009.png,1,80.0,91.0,130.0,144.0,2117.0,0.839334,1.0,0.2769628167152405,0.284150093793869,0.00718727707862854,0.590992,0.742922,0.5572689,0.8250166,1.0,0.628602,0.70238703
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/009.png,2,31.0,96.0,41.0,107.0,104.0,0.717583,0.736533,0.258999764919281,0.2541482448577881,-0.00485152006149292,0.042272,0.081115,0.22793022,0.0,0.0,0.0,0.1025686
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/001.png,1,9.0,15.0,181.0,211.0,12496.0,0.800773,0.975342,0.2854246497154236,0.2722412645816803,-0.013183385133743286,0.006972,0.013848,0.0,0.5637173,0.90640944,1.0,0.387942
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/001.png,2,131.0,18.0,175.0,98.0,2616.0,0.81892,1.0,0.29478803277015686,0.2943633198738098,-0.0004247128963470459,0.037604,0.072482,0.34903193,0.6866861,1.0,0.6728673,0.5646912
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/002.png,1,8.0,89.0,185.0,169.0,5513.0,0.83038,1.0,0.29623979330062866,0.2932180166244507,-0.0030217766761779785,0.493524,0.660886,0.27798548,0.76434207,1.0,0.8288032,0.57549345
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/003.png,1,77.0,34.0,114.0,77.0,1254.0,0.842225,1.0,0.2749622166156769,0.27919140458106995,0.004229187965393066,0.199448,0.332566,0.4763461,0.8446068,1.0,0.51910096,0.6618783
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/003.png,2,185.0,40.0,217.0,79.0,960.0,0.81362,0.932855,0.26217031478881836,0.26214271783828735,-2.759695053100586e-05,0.27427,0.430474,0.35989562,0.65077156,0.7451484,0.4632523,0.51056314
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/008.png,1,69.0,106.0,136.0,158.0,2283.0,0.833253,1.0,0.2779616117477417,0.27232831716537476,-0.005633294582366943,0.128251,0.227345,0.20654364,0.7838103,1.0,0.64439017,0.53171724
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/008.png,2,10.0,129.0,46.0,205.0,1814.0,0.777685,0.891899,0.28538915514945984,0.2815602421760559,-0.0038289129734039307,0.254269,0.405446,0.25590512,0.40726674,0.58969814,0.59629875,0.37630036
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/009.png,1,131.0,119.0,212.0,163.0,2551.0,0.853652,1.0,0.26766034960746765,0.26512041687965393,-0.0025399327278137207,0.182715,0.308976,0.29116702,0.9220391,1.0,0.66760474,0.6204993
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/010.png,1,58.0,13.0,184.0,95.0,4145.0,0.831557,1.0,0.26277828216552734,0.2669599950313568,0.004181712865829468,0.11159,0.200776,0.47504738,0.7723174,1.0,0.7691401,0.66099644
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/011.png,1,184.0,70.0,223.0,134.0,2088.0,0.848368,1.0,0.2597702741622925,0.24869100749492645,-0.011079266667366028,0.363669,0.533368,0.057561204,0.8862332,1.0,0.6257173,0.4986559
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/scratch/012.png,1,63.0,23.0,114.0,71.0,1819.0,0.834094,0.963681,0.274582177400589,0.27068832516670227,-0.0038938522338867188,0.344798,0.512788,0.2541286,0.7895089,0.86214966,0.5968743,0.5365884
