strategy,category,num_images,num_defect_types,top1_accuracy,top2_accuracy,macro_f1
generic,grid,57,5,0.19298245614035087,0.40350877192982454,0.06666666666666667
generic,leather,92,5,0.2608695652173913,0.41304347826086957,0.16813779128672746
generic,screw,119,5,0.226890756302521,0.453781512605042,0.14503091111786764
generic,wood,60,5,0.4,0.5166666666666667,0.21818181818181817
generic,MEAN,328,20,0.2701856944150658,0.4467501073656007,0.14950429681327
category_aware,grid,57,5,0.24561403508771928,0.43859649122807015,0.1781818181818182
category_aware,leather,92,5,0.21739130434782608,0.391304347826087,0.09739130434782609
category_aware,screw,119,5,0.21008403361344538,0.3865546218487395,0.08308823529411766
category_aware,wood,60,5,0.4,0.5,0.22896129211918687
category_aware,MEAN,328,20,0.2682723432622477,0.42911386522572414,0.14690566248573722
manufacturing_aware,grid,57,5,0.14035087719298245,0.43859649122807015,0.10713286713286714
manufacturing_aware,leather,92,5,0.20652173913043478,0.41304347826086957,0.07450980392156863
manufacturing_aware,screw,119,5,0.19327731092436976,0.4117647058823529,0.07929678464029609
manufacturing_aware,wood,60,5,0.5333333333333333,0.5833333333333334,0.377037037037037
manufacturing_aware,MEAN,328,20,0.26837081514528005,0.46168450217615653,0.1594941231829422
