defect_type,support,tp,fp,fn,precision,recall,f1,strategy,category
bent,12,0,0,12,0.0,0.0,0.0,generic,grid
broken,12,0,2,12,0.0,0.0,0.0,generic,grid
glue,11,0,0,11,0.0,0.0,0.0,generic,grid
metal_contamination,11,0,0,11,0.0,0.0,0.0,generic,grid
thread,11,11,44,0,0.2,1.0,0.3333333333333333,generic,grid
color,19,18,38,1,0.32142857142857145,0.9473684210526315,0.48,generic,leather
cut,19,4,24,15,0.14285714285714285,0.21052631578947367,0.1702127659574468,generic,leather
fold,17,0,0,17,0.0,0.0,0.0,generic,leather
glue,19,0,5,19,0.0,0.0,0.0,generic,leather
poke,18,2,1,16,0.6666666666666666,0.1111111111111111,0.19047619047619047,generic,leather
manipulated_front,24,0,0,24,0.0,0.0,0.0,generic,screw
scratch_head,24,0,0,24,0.0,0.0,0.0,generic,screw
scratch_neck,25,11,29,14,0.275,0.44,0.3384615384615385,generic,screw
thread_side,23,1,9,22,0.1,0.043478260869565216,0.06060606060606061,generic,screw
thread_top,23,15,54,8,0.21739130434782608,0.6521739130434783,0.32608695652173914,generic,screw
color,8,3,0,5,1.0,0.375,0.5454545454545454,generic,wood
combined,11,0,0,11,0.0,0.0,0.0,generic,wood
hole,10,0,1,10,0.0,0.0,0.0,generic,wood
liquid,10,0,0,10,0.0,0.0,0.0,generic,wood
scratch,21,21,35,0,0.375,1.0,0.5454545454545454,generic,wood
