category,image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1,visual_path
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/001.png,1,0.9,151,85,168,102,159.58,93.42,260,0.948958,1.000000,0.232919,0.377834,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0001_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/002.png,1,0.9,152,182,168,199,160.16,190.53,241,0.949748,1.000000,0.544757,0.705298,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0002_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/003.png,1,0.9,112,43,128,65,120.13,54.34,298,0.949325,1.000000,0.388889,0.560000,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0003_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/004.png,1,0.9,79,161,95,178,86.88,169.46,233,0.948626,1.000000,0.347222,0.515464,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0004_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/005.png,1,0.9,189,108,203,121,195.89,114.57,167,0.946883,1.000000,0.370892,0.541096,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0005_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/006.png,1,0.9,51,46,68,62,59.31,54.03,232,0.947739,1.000000,0.254310,0.405498,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0006_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/008.png,1,0.9,162,110,181,134,171.63,121.95,364,0.948719,1.000000,0.438026,0.609205,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0007_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/011.png,1,0.9,60,147,75,170,67.34,158.48,296,0.949174,1.000000,0.315029,0.479121,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0008_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/014.png,1,0.9,111,13,125,27,118.11,19.81,175,0.948240,1.000000,0.314655,0.478689,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0009_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/017.png,1,0.9,150,98,166,117,158.07,107.48,276,0.949092,1.000000,0.438202,0.609375,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0010_candidates.png
