category,threshold,mean_pixel_f1,num_samples
wood,0.05,0.08314963580516599,30
wood,0.1,0.08723690139099563,30
wood,0.15,0.09636920106305438,30
wood,0.2,0.1193701707871017,30
wood,0.25,0.155374603419948,30
wood,0.3,0.20341350229789085,30
wood,0.35,0.25446426177851783,30
wood,0.39999999999999997,0.3095252205253267,30
wood,0.44999999999999996,0.36012639341097763,30
wood,0.49999999999999994,0.39839576128873555,30
wood,0.5499999999999999,0.43304774830051046,30
wood,0.6,0.4617638206527188,30
wood,0.65,0.4835981506582437,30
wood,0.7,0.496406699478708,30
wood,0.75,0.48867635346850563,30
wood,0.7999999999999999,0.4615995086413774,30
wood,0.85,0.4092704118777125,30
wood,0.9,0.318755153010882,30
wood,0.95,0.19474285997620297,30
