strategy,eval_mode,category,num_images_total,num_images_used,num_defect_types,covered_count,fallback_count,skipped_count,coverage_ratio,top1_accuracy,top2_accuracy,macro_f1
generic_label,full_all,grid,57,57,5,57,0,0,1.0,0.19298245614035087,0.40350877192982454,0.06470588235294118
generic_label,full_all,leather,92,92,5,92,0,0,1.0,0.33695652173913043,0.5217391304347826,0.25868210642404194
generic_label,full_all,screw,119,119,5,119,0,0,1.0,0.226890756302521,0.48739495798319327,0.13314641744548286
generic_label,full_all,wood,60,60,5,60,0,0,1.0,0.38333333333333336,0.5833333333333334,0.16057233704292528
generic_label,crop_or_full,grid,57,57,5,28,29,0,0.49122807017543857,0.2631578947368421,0.45614035087719296,0.16420361247947454
generic_label,crop_or_full,leather,92,92,5,46,46,0,0.5,0.2717391304347826,0.4673913043478261,0.1888852684551609
generic_label,crop_or_full,screw,119,119,5,60,59,0,0.5042016806722689,0.20168067226890757,0.46218487394957986,0.1533281018881813
generic_label,crop_or_full,wood,60,60,5,30,30,0,0.5,0.43333333333333335,0.5833333333333334,0.21907692307692309
generic_label,crop_only,grid,57,28,5,28,0,29,0.49122807017543857,0.32142857142857145,0.5,0.18067632850241547
generic_label,crop_only,leather,92,46,5,46,0,46,0.5,0.15217391304347827,0.3695652173913043,0.07368421052631578
generic_label,crop_only,screw,119,60,5,60,0,59,0.5042016806722689,0.25,0.5166666666666667,0.18137735849056602
generic_label,crop_only,wood,60,30,5,30,0,30,0.5,0.5666666666666667,0.6333333333333333,0.2642424242424243
generic_label,crop_topk_ensemble,grid,57,57,5,28,29,0,0.49122807017543857,0.2631578947368421,0.43859649122807015,0.16420361247947454
generic_label,crop_topk_ensemble,leather,92,92,5,46,46,0,0.5,0.2717391304347826,0.4673913043478261,0.1888852684551609
generic_label,crop_topk_ensemble,screw,119,119,5,60,59,0,0.5042016806722689,0.19327731092436976,0.46218487394957986,0.14074750830564783
generic_label,crop_topk_ensemble,wood,60,60,5,30,30,0,0.5,0.43333333333333335,0.5833333333333334,0.21907692307692309
generic_label,crop_topk_only,grid,57,28,5,28,0,29,0.49122807017543857,0.32142857142857145,0.4642857142857143,0.18067632850241547
generic_label,crop_topk_only,leather,92,46,5,46,0,46,0.5,0.15217391304347827,0.3695652173913043,0.07368421052631578
generic_label,crop_topk_only,screw,119,60,5,60,0,59,0.5042016806722689,0.23333333333333334,0.5166666666666667,0.1633281972265023
generic_label,crop_topk_only,wood,60,30,5,30,0,30,0.5,0.5666666666666667,0.6333333333333333,0.2642424242424243
short_visual,full_all,grid,57,57,5,57,0,0,1.0,0.19298245614035087,0.40350877192982454,0.06470588235294118
short_visual,full_all,leather,92,92,5,92,0,0,1.0,0.2826086956521739,0.5,0.15704225352112675
short_visual,full_all,screw,119,119,5,119,0,0,1.0,0.21008403361344538,0.4117647058823529,0.11070707070707071
short_visual,full_all,wood,60,60,5,60,0,0,1.0,0.43333333333333335,0.5666666666666667,0.3075043236333559
short_visual,crop_or_full,grid,57,57,5,28,29,0,0.49122807017543857,0.19298245614035087,0.45614035087719296,0.06769230769230769
short_visual,crop_or_full,leather,92,92,5,46,46,0,0.5,0.32608695652173914,0.5217391304347826,0.19594298245614034
short_visual,crop_or_full,screw,119,119,5,60,59,0,0.5042016806722689,0.19327731092436976,0.44537815126050423,0.09172932330827067
short_visual,crop_or_full,wood,60,60,5,30,30,0,0.5,0.4666666666666667,0.6,0.34382983710301185
short_visual,crop_only,grid,57,28,5,28,0,29,0.49122807017543857,0.17857142857142858,0.5,0.06666666666666667
short_visual,crop_only,leather,92,46,5,46,0,46,0.5,0.391304347826087,0.5652173913043478,0.2375
short_visual,crop_only,screw,119,60,5,60,0,59,0.5042016806722689,0.2,0.48333333333333334,0.10793650793650793
short_visual,crop_only,wood,60,30,5,30,0,30,0.5,0.5333333333333333,0.6333333333333333,0.32049127343244993
short_visual,crop_topk_ensemble,grid,57,57,5,28,29,0,0.49122807017543857,0.19298245614035087,0.45614035087719296,0.06666666666666667
short_visual,crop_topk_ensemble,leather,92,92,5,46,46,0,0.5,0.32608695652173914,0.5217391304347826,0.19594298245614034
short_visual,crop_topk_ensemble,screw,119,119,5,60,59,0,0.5042016806722689,0.17647058823529413,0.46218487394957986,0.061764705882352944
short_visual,crop_topk_ensemble,wood,60,60,5,30,30,0,0.5,0.4666666666666667,0.6,0.35408805031446533
short_visual,crop_topk_only,grid,57,28,5,28,0,29,0.49122807017543857,0.17857142857142858,0.5,0.06451612903225806
short_visual,crop_topk_only,leather,92,46,5,46,0,46,0.5,0.391304347826087,0.5652173913043478,0.2375
short_visual,crop_topk_only,screw,119,60,5,60,0,59,0.5042016806722689,0.16666666666666666,0.5166666666666667,0.06060606060606061
short_visual,crop_topk_only,wood,60,30,5,30,0,30,0.5,0.5333333333333333,0.6333333333333333,0.3316239316239316
category_visual,full_all,grid,57,57,5,57,0,0,1.0,0.21052631578947367,0.3157894736842105,0.13263157894736843
category_visual,full_all,leather,92,92,5,92,0,0,1.0,0.2826086956521739,0.5,0.19343434343434343
category_visual,full_all,screw,119,119,5,119,0,0,1.0,0.226890756302521,0.47058823529411764,0.14965986394557823
category_visual,full_all,wood,60,60,5,60,0,0,1.0,0.31666666666666665,0.5666666666666667,0.2669508551861493
category_visual,crop_or_full,grid,57,57,5,28,29,0,0.49122807017543857,0.3333333333333333,0.42105263157894735,0.27498125656020395
category_visual,crop_or_full,leather,92,92,5,46,46,0,0.5,0.2608695652173913,0.45652173913043476,0.16464146414641462
category_visual,crop_or_full,screw,119,119,5,60,59,0,0.5042016806722689,0.226890756302521,0.48739495798319327,0.2207910750507099
category_visual,crop_or_full,wood,60,60,5,30,30,0,0.5,0.35,0.5833333333333334,0.2852991452991453
category_visual,crop_only,grid,57,28,5,28,0,29,0.49122807017543857,0.4642857142857143,0.6071428571428571,0.30030769230769233
category_visual,crop_only,leather,92,46,5,46,0,46,0.5,0.2391304347826087,0.41304347826086957,0.08
category_visual,crop_only,screw,119,60,5,60,0,59,0.5042016806722689,0.23333333333333334,0.48333333333333334,0.2
category_visual,crop_only,wood,60,30,5,30,0,30,0.5,0.4666666666666667,0.5666666666666667,0.29063938618925833
category_visual,crop_topk_ensemble,grid,57,57,5,28,29,0,0.49122807017543857,0.3333333333333333,0.42105263157894735,0.27498125656020395
category_visual,crop_topk_ensemble,leather,92,92,5,46,46,0,0.5,0.2608695652173913,0.45652173913043476,0.16464146414641462
category_visual,crop_topk_ensemble,screw,119,119,5,60,59,0,0.5042016806722689,0.2184873949579832,0.4957983193277311,0.21063427800269902
category_visual,crop_topk_ensemble,wood,60,60,5,30,30,0,0.5,0.3333333333333333,0.5666666666666667,0.27565811965811965
category_visual,crop_topk_only,grid,57,28,5,28,0,29,0.49122807017543857,0.4642857142857143,0.6071428571428571,0.30030769230769233
category_visual,crop_topk_only,leather,92,46,5,46,0,46,0.5,0.2391304347826087,0.41304347826086957,0.08
category_visual,crop_topk_only,screw,119,60,5,60,0,59,0.5042016806722689,0.21666666666666667,0.5,0.17985347985347985
category_visual,crop_topk_only,wood,60,30,5,30,0,30,0.5,0.43333333333333335,0.5333333333333333,0.25652173913043474
visual_ensemble,full_all,grid,57,57,5,57,0,0,1.0,0.19298245614035087,0.40350877192982454,0.06470588235294118
visual_ensemble,full_all,leather,92,92,5,92,0,0,1.0,0.45652173913043476,0.532608695652174,0.3445141065830721
visual_ensemble,full_all,screw,119,119,5,119,0,0,1.0,0.20168067226890757,0.4117647058823529,0.11499999999999999
visual_ensemble,full_all,wood,60,60,5,60,0,0,1.0,0.4166666666666667,0.6166666666666667,0.24058680954203343
visual_ensemble,crop_or_full,grid,57,57,5,28,29,0,0.49122807017543857,0.17543859649122806,0.49122807017543857,0.06153846153846154
visual_ensemble,crop_or_full,leather,92,92,5,46,46,0,0.5,0.40217391304347827,0.5652173913043478,0.29945640512123595
visual_ensemble,crop_or_full,screw,119,119,5,60,59,0,0.5042016806722689,0.18487394957983194,0.46218487394957986,0.10147115756871856
visual_ensemble,crop_or_full,wood,60,60,5,30,30,0,0.5,0.4666666666666667,0.6666666666666666,0.3094126620900076
visual_ensemble,crop_only,grid,57,28,5,28,0,29,0.49122807017543857,0.14285714285714285,0.5714285714285714,0.05333333333333333
visual_ensemble,crop_only,leather,92,46,5,46,0,46,0.5,0.32608695652173914,0.5869565217391305,0.2341880341880342
visual_ensemble,crop_only,screw,119,60,5,60,0,59,0.5042016806722689,0.2,0.5166666666666667,0.11001821493624772
visual_ensemble,crop_only,wood,60,30,5,30,0,30,0.5,0.6333333333333333,0.7333333333333333,0.36
visual_ensemble,crop_topk_ensemble,grid,57,57,5,28,29,0,0.49122807017543857,0.17543859649122806,0.49122807017543857,0.06153846153846154
visual_ensemble,crop_topk_ensemble,leather,92,92,5,46,46,0,0.5,0.40217391304347827,0.5652173913043478,0.29945640512123595
visual_ensemble,crop_topk_ensemble,screw,119,119,5,60,59,0,0.5042016806722689,0.18487394957983194,0.453781512605042,0.10154074074074074
visual_ensemble,crop_topk_ensemble,wood,60,60,5,30,30,0,0.5,0.45,0.6666666666666666,0.30321637426900583
visual_ensemble,crop_topk_only,grid,57,28,5,28,0,29,0.49122807017543857,0.14285714285714285,0.5714285714285714,0.05333333333333333
visual_ensemble,crop_topk_only,leather,92,46,5,46,0,46,0.5,0.32608695652173914,0.5869565217391305,0.2341880341880342
visual_ensemble,crop_topk_only,screw,119,60,5,60,0,59,0.5042016806722689,0.2,0.5,0.11055088702147527
visual_ensemble,crop_topk_only,wood,60,30,5,30,0,30,0.5,0.6,0.7333333333333333,0.34
category_visual,crop_only,MEAN,328,164,20,164,0,164,0.5,0.35085403726708075,0.5175465838509317,0.21773676962423769
category_visual,crop_topk_only,MEAN,328,164,20,164,0,164,0.5,0.3383540372670808,0.513379917184265,0.20417072782290174
short_visual,crop_only,MEAN,328,164,20,164,0,164,0.5,0.3258022774327122,0.5454710144927536,0.18314861200890614
visual_ensemble,crop_only,MEAN,328,164,20,164,0,164,0.5,0.3255693581780538,0.6020962732919255,0.1893848956144038
generic_label,crop_only,MEAN,328,164,20,164,0,164,0.5,0.3225672877846791,0.504891304347826,0.17499508044043038
