category,image_path,gt_mask_path,box_x1,box_y1,box_x2,box_y2,patchcore_top1_gt_iou,patchcore_top1_gt_f1,sam2_score,sam2_gt_iou,sam2_gt_f1,visual_path
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/004_mask.png,170.0,13.0,189.0,31.0,0.333333,0.5,0.00024638339527882636,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0001_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/009.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/009_mask.png,20.0,182.0,40.0,202.0,0.278057,0.435125,0.025782514363527298,0.004098360655737705,0.00816326530612245,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0002_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/010.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/010_mask.png,8.0,156.0,29.0,179.0,0.0,0.0,0.025864385068416595,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0003_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/011.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/011_mask.png,48.0,192.0,75.0,212.0,0.0,0.0,0.0002623576147016138,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0004_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/012.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/012_mask.png,25.0,16.0,45.0,34.0,0.0,0.0,0.19931825995445251,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0005_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/013.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/013_mask.png,32.0,171.0,74.0,203.0,0.0,0.0,0.005714621860533953,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0006_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/015.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/015_mask.png,6.0,124.0,21.0,141.0,0.342776,0.510549,0.02820044383406639,0.07020872865275142,0.13120567375886524,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0007_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/016.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/016_mask.png,77.0,192.0,94.0,214.0,0.333932,0.500673,0.0021879328414797783,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0008_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/020.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/020_mask.png,23.0,189.0,44.0,207.0,0.136499,0.240209,0.0019158909562975168,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0009_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/manipulated_front/022_mask.png,128.0,160.0,148.0,195.0,0.0,0.0,0.8759424090385437,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0010_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/001_mask.png,198.0,113.0,216.0,133.0,0.562112,0.719682,0.7236436605453491,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0011_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/007_mask.png,2.0,104.0,68.0,124.0,0.07533,0.140105,0.025037461891770363,0.03821656050955414,0.0736196319018405,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0012_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/009.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/009_mask.png,4.0,11.0,31.0,37.0,0.0,0.0,0.7404904961585999,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0013_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/012.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/012_mask.png,29.0,139.0,54.0,162.0,0.0,0.0,0.2515656054019928,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0014_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/014.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/014_mask.png,10.0,78.0,34.0,106.0,0.261628,0.414747,2.3175229216576554e-05,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0015_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/015.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/015_mask.png,82.0,11.0,106.0,33.0,0.439825,0.610942,0.03316512703895569,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0016_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/016.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/016_mask.png,193.0,119.0,214.0,144.0,0.292135,0.452174,0.839952290058136,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0017_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/018.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/018_mask.png,104.0,198.0,121.0,223.0,0.308789,0.471869,0.7984856963157654,0.003527336860670194,0.007029876977152899,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0018_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/020.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/020_mask.png,11.0,95.0,35.0,114.0,0.186099,0.3138,0.8027273416519165,0.14326647564469913,0.2506265664160401,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0019_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/022.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/022_mask.png,0.0,86.0,24.0,113.0,0.126016,0.223827,0.15503905713558197,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0020_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/023.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_head/023_mask.png,58.0,171.0,83.0,201.0,0.199662,0.332863,0.8606029152870178,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0021_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/000_mask.png,47.0,81.0,79.0,108.0,0.350598,0.519174,0.813330888748169,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0022_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/001_mask.png,64.0,84.0,87.0,103.0,0.692308,0.818182,0.8244545459747314,0.0025,0.004987531172069825,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0023_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/002_mask.png,79.0,100.0,113.0,124.0,0.334539,0.501355,0.657745897769928,0.07583774250440917,0.14098360655737704,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0024_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/005_mask.png,130.0,126.0,161.0,150.0,0.119221,0.213043,0.8650586009025574,0.10663983903420524,0.19272727272727272,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0025_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/009.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/009_mask.png,67.0,108.0,84.0,122.0,0.60177,0.751381,0.009785433299839497,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0026_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/010.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/010_mask.png,91.0,87.0,111.0,105.0,0.513228,0.678322,0.8180680274963379,0.2135678391959799,0.35196687370600416,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0027_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/011.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/011_mask.png,107.0,77.0,125.0,102.0,0.30117,0.462921,1.8565217487775953e-06,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0028_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/012.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/012_mask.png,83.0,97.0,106.0,117.0,0.619444,0.765009,0.7603071331977844,0.0020161290322580645,0.004024144869215292,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0029_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/015.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/015_mask.png,110.0,135.0,126.0,156.0,0.389535,0.560669,2.109783736159443e-06,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0030_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/016.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/016_mask.png,99.0,137.0,115.0,154.0,0.578431,0.732919,1.5010269635240547e-05,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0031_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/019.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/019_mask.png,132.0,99.0,155.0,115.0,0.480106,0.648746,0.7125301361083984,0.0041753653444676405,0.008316008316008316,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0032_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/020.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/020_mask.png,76.0,80.0,101.0,102.0,0.303318,0.465455,0.7552454471588135,0.3415061295971979,0.5091383812010444,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0033_sam2_box.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/021.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/ground_truth/scratch_neck/021_mask.png,121.0,103.0,154.0,124.0,0.207585,0.343802,0.0005497264792211354,0.0,0.0,results/analysis/sam2_prompt_feasibility/MVTecAD/screw/sam2_box_prompt/screw_0034_sam2_box.png
