category,image_path,gt_mask_path,box_x1,box_y1,box_x2,box_y2,patchcore_top1_gt_iou,patchcore_top1_gt_f1,sam2_score,sam2_gt_iou,sam2_gt_f1,visual_path
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/color/001_mask.png,142.0,14.0,180.0,52.0,0.204187,0.339128,0.744881808757782,0.08142567371776296,0.15058949624866025,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0001_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/combined/002_mask.png,102.0,117.0,139.0,159.0,0.059384,0.112111,0.6244005560874939,0.03675481846705513,0.07090358841331604,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0002_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/combined/007_mask.png,84.0,24.0,130.0,82.0,0.165979,0.284704,0.7744839787483215,0.16636528028933092,0.28527131782945736,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0003_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/008.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/combined/008_mask.png,0.0,20.0,34.0,62.0,0.067841,0.127063,0.7760563492774963,0.08417792792792793,0.15528434172942093,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0004_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/hole/003_mask.png,53.0,17.0,92.0,58.0,0.230317,0.374403,0.5887278914451599,0.18133935289691497,0.3070063694267516,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0005_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/hole/005_mask.png,84.0,88.0,125.0,214.0,0.127735,0.226534,0.00021803782146889716,0.07123203913176399,0.1329908675799087,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0006_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/hole/007_mask.png,146.0,95.0,179.0,132.0,0.091038,0.166884,0.7754632234573364,0.05355832721936904,0.10167130919220056,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0007_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/008.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/hole/008_mask.png,31.0,54.0,66.0,94.0,0.096552,0.176101,0.7728224992752075,0.12063492063492064,0.21529745042492918,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0008_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/hole/009.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/hole/009_mask.png,20.0,36.0,53.0,75.0,0.2792,0.436523,0.5790801644325256,0.03895747599451303,0.07499339846844467,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0009_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/liquid/001_mask.png,102.0,61.0,216.0,117.0,0.535369,0.697382,0.8478219509124756,0.49664229219519473,0.663675341509622,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0010_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/liquid/002_mask.png,60.0,160.0,100.0,205.0,0.288729,0.448083,0.8079960942268372,0.23685479980704294,0.3829953198127925,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0011_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/liquid/003_mask.png,45.0,137.0,80.0,184.0,0.276401,0.433094,0.6941871047019958,0.2916666666666667,0.45161290322580644,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0012_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/liquid/004_mask.png,88.0,48.0,120.0,89.0,0.365754,0.535608,0.6985366344451904,0.2888064316635745,0.44817658349328215,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0013_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/liquid/006_mask.png,44.0,132.0,104.0,201.0,0.597273,0.747866,0.7983911633491516,0.5923280423280424,0.7439774048845323,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0014_sam2_box.png
wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/liquid/008.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/ground_truth/liquid/008_mask.png,86.0,64.0,208.0,151.0,0.645663,0.784684,0.8732922673225403,0.7069159720657806,0.8282961594298535,results/analysis/sam2_prompt_feasibility/MVTecAD/wood/sam2_box_prompt/wood_0015_sam2_box.png
