target_panel,candidate_rank,case_type,selection_score_col,selection_score,candidate_strength,paper_purpose,backbone,dataset,strategy,eval_mode,category,image_key,is_anomaly_final,D,M,Q,K,delta_quality_minus_naive,delta_fixed_minus_quality,delta_adaptive_minus_quality,detector_vlm_disagreement,source_image_path,copied_image_path,asset_status,manual_decision,final_panel,paper_use_allowed,manual_notes
D_replacement,1,quality_boundary_normal_boost,delta_quality_minus_naive,0.0094182223511188,weak,Replacement for D: stronger normal boundary case where quality calibration boosts normal evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb2,datasets/VisA_anomalib_1cls/pcb2/test/good/pcb2_test_normal_0011.JPG,0,0.844451638543362,0.1111599205104074,0.0,0.1274347585715403,0.0094182223511188,-0.0751113691406004,-0.0155823811168728,0.7332917180329546,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb2/test/good/pcb2_test_normal_0011.JPG,docs/paper_p11b/replacement_candidate_assets/D_replacement_1_pcb2_test_normal_0011.JPG,resolved,drop_panel,,no,All D replacement candidates are weak; delta_quality_minus_naive is only about +0.01 or 0. Drop panel D instead of using an unconvincing boundary-normal-boost example.
D_replacement,2,quality_boundary_normal_boost,delta_quality_minus_naive,0.0080447365983803,weak,Replacement for D: stronger normal boundary case where quality calibration boosts normal evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb2,datasets/VisA_anomalib_1cls/pcb2/test/good/pcb2_test_normal_0024.JPG,0,1.0,0.1544503713000756,0.0,0.0891526442474034,0.0080447365983803,-0.0920500932208812,-0.0187180823390571,0.8455496286999244,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb2/test/good/pcb2_test_normal_0024.JPG,docs/paper_p11b/replacement_candidate_assets/D_replacement_2_pcb2_test_normal_0024.JPG,resolved,drop_panel,,no,All D replacement candidates are weak; delta_quality_minus_naive is only about +0.01 or 0. Drop panel D instead of using an unconvincing boundary-normal-boost example.
D_replacement,3,quality_boundary_normal_boost,delta_quality_minus_naive,0.0065378469214485,weak,Replacement for D: stronger normal boundary case where quality calibration boosts normal evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,macaroni2,datasets/VisA_anomalib_1cls/macaroni2/test/good/macaroni2_test_normal_0674.JPG,0,0.6285370464417752,0.0725025499490058,0.0,0.1556186986950694,0.0065378469214485,-0.0510173963305677,-0.0114194052129165,0.5560344964927694,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/macaroni2/test/good/macaroni2_test_normal_0674.JPG,docs/paper_p11b/replacement_candidate_assets/D_replacement_3_macaroni2_test_normal_0674.JPG,resolved,drop_panel,,no,All D replacement candidates are weak; delta_quality_minus_naive is only about +0.01 or 0. Drop panel D instead of using an unconvincing boundary-normal-boost example.
D_replacement,4,quality_boundary_normal_boost,delta_quality_minus_naive,0.0050926188693232,weak,Replacement for D: stronger normal boundary case where quality calibration boosts normal evidence.,FastFlow,VisA,inspection_binary,crop_topk_ensemble,capsules,datasets/VisA_anomalib_1cls/capsules/test/good/capsules_test_normal_377.JPG,0,0.5534931152540822,0.0,0.0,0.1235692433102067,0.0050926188693232,-0.0488307323530745,-0.0117631448325183,0.5534931152540822,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/good/capsules_test_normal_377.JPG,docs/paper_p11b/replacement_candidate_assets/D_replacement_4_capsules_test_normal_377.JPG,resolved,drop_panel,,no,All D replacement candidates are weak; delta_quality_minus_naive is only about +0.01 or 0. Drop panel D instead of using an unconvincing boundary-normal-boost example.
D_replacement,5,quality_boundary_normal_boost,delta_quality_minus_naive,0.0041209547342659,weak,Replacement for D: stronger normal boundary case where quality calibration boosts normal evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,candle,datasets/VisA_anomalib_1cls/candle/test/good/candle_test_normal_0730.JPG,0,0.2795670689845094,0.0,0.0,0.1007046614619599,0.0041209547342659,-0.0243610756569849,-0.0046023483796227,0.2795670689845094,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/candle/test/good/candle_test_normal_0730.JPG,docs/paper_p11b/replacement_candidate_assets/D_replacement_5_candle_test_normal_0730.JPG,resolved,drop_panel,,no,All D replacement candidates are weak; delta_quality_minus_naive is only about +0.01 or 0. Drop panel D instead of using an unconvincing boundary-normal-boost example.
E_replacement,1,fixed_consistency_boundary_normal_boost,delta_fixed_minus_quality,0.1218913002786462,strong,"Replacement for E: distinct fixed-consistency normal boost case, avoiding duplicate with B.",PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb1,datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_1000.JPG,0,0.0901909434424122,0.7840485280487178,0.0,0.1338208917174007,-0.181084646298738,0.1218913002786462,-0.0081885053438973,0.6938575846063056,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_1000.JPG,docs/paper_p11b/replacement_candidate_assets/E_replacement_1_pcb1_test_normal_1000.JPG,resolved,reject,,no,Rejected because these candidates are pcb1-like and likely duplicate the role of panel B.
E_replacement,2,fixed_consistency_boundary_normal_boost,delta_fixed_minus_quality,0.1194258900415353,strong,"Replacement for E: distinct fixed-consistency normal boost case, avoiding duplicate with B.",PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb1,datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_0923.JPG,0,0.1132745566768815,0.775248819349424,0.0,0.1501718846569868,-0.1778883782707073,0.1194258900415353,-0.0085191419465597,0.6619742626725426,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_0923.JPG,docs/paper_p11b/replacement_candidate_assets/E_replacement_2_pcb1_test_normal_0923.JPG,resolved,reject,,no,Rejected because these candidates are pcb1-like and likely duplicate the role of panel B.
E_replacement,3,fixed_consistency_boundary_normal_boost,delta_fixed_minus_quality,0.1189585567188182,strong,"Replacement for E: distinct fixed-consistency normal boost case, avoiding duplicate with B.",PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb1,datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_0952.JPG,0,0.0538881501891656,0.7417023436465471,0.0,0.1241860299978711,-0.17356309226459,0.1189585567188182,-0.0071713849871863,0.6878141934573815,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_0952.JPG,docs/paper_p11b/replacement_candidate_assets/E_replacement_3_pcb1_test_normal_0952.JPG,resolved,reject,,no,Rejected because these candidates are pcb1-like and likely duplicate the role of panel B.
E_replacement,4,fixed_consistency_boundary_normal_boost,delta_fixed_minus_quality,0.1181177269322182,strong,"Replacement for E: distinct fixed-consistency normal boost case, avoiding duplicate with B.",PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb1,datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_0187.JPG,0,0.0,0.7063242044401197,0.0,0.1037151613310758,-0.1685355253802942,0.1181177269322182,-0.0059047207722356,0.7063242044401197,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb1/test/good/pcb1_test_normal_0187.JPG,docs/paper_p11b/replacement_candidate_assets/E_replacement_4_pcb1_test_normal_0187.JPG,resolved,reject,,no,Rejected because these candidates are pcb1-like and likely duplicate the role of panel B.
E_replacement,5,fixed_consistency_boundary_normal_boost,delta_fixed_minus_quality,0.1001895687658122,strong,"Replacement for E: distinct fixed-consistency normal boost case, avoiding duplicate with B.",FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb3,datasets/VisA_anomalib_1cls/pcb3/test/good/pcb3_test_normal_0402.JPG,0,0.1251428486811802,0.6336533178682742,0.0,0.1864701859400115,-0.1552871907926146,0.1001895687658122,-0.0093537347063815,0.508510469187094,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb3/test/good/pcb3_test_normal_0402.JPG,docs/paper_p11b/replacement_candidate_assets/E_replacement_5_pcb3_test_normal_0402.JPG,resolved,keep,E,yes,Selected as final panel E: distinct fixed-consistency normal-boost case. It avoids duplicating panel B and has strong fixed-minus-quality delta.
E_alt_replacement,1,fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,-0.0908234731072181,inspect,Alternative E: fixed consistency suppresses true anomaly evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb3,datasets/VisA_anomalib_1cls/pcb3/test/anomaly/pcb3_test_anomaly_054.JPG,1,1.0,0.1464422548361547,0.0450456974140587,0.0839437944188259,0.0116582782473692,-0.0908234731072181,-0.018701249352486,0.8535577451638453,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb3/test/anomaly/pcb3_test_anomaly_054.JPG,docs/paper_p11b/replacement_candidate_assets/E_alt_replacement_1_pcb3_test_anomaly_054.JPG,resolved,reject,,no,Rejected for final Figure 2 because anomaly-suppression fixed-consistency cases overlap with panel F's detector-VLM disagreement role.
E_alt_replacement,2,fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,-0.0874203204985436,inspect,Alternative E: fixed consistency suppresses true anomaly evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb4,datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_035.JPG,1,1.0,0.1690295158740655,0.0228946080628674,0.0988002465553432,0.0058593278095929,-0.0874203204985436,-0.0188778618835752,0.8309704841259344,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pcb4/test/anomaly/pcb4_test_anomaly_035.JPG,docs/paper_p11b/replacement_candidate_assets/E_alt_replacement_2_pcb4_test_anomaly_035.JPG,resolved,reject,,no,Rejected for final Figure 2 because anomaly-suppression fixed-consistency cases overlap with panel F's detector-VLM disagreement role.
E_alt_replacement,3,fixed_consistency_boundary_anomaly_suppression,delta_fixed_minus_quality,-0.0860291256499338,inspect,Alternative E: fixed consistency suppresses true anomaly evidence.,PatchCore,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,datasets/VisA_anomalib_1cls/pipe_fryum/test/anomaly/pipe_fryum_test_anomaly_090.JPG,1,1.0,0.1231146965976833,0.1768720253403828,0.0691359625580115,0.0210676372450772,-0.0860291256499338,-0.0186235643813451,0.8768853034023167,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/pipe_fryum/test/anomaly/pipe_fryum_test_anomaly_090.JPG,docs/paper_p11b/replacement_candidate_assets/E_alt_replacement_3_pipe_fryum_test_anomaly_090.JPG,resolved,reject,,no,Rejected for final Figure 2 because anomaly-suppression fixed-consistency cases overlap with panel F's detector-VLM disagreement role.
