dataset,category,folder_root,source_split,source_image_path,source_mask_path,is_anomaly,anomaly_type,target_subset,target_label,target_image_path,target_mask_path,has_target_mask
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/000_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000000_000_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/001_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000001_001_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/002_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000002_002_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/003_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000003_003_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/004_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000004_004_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/005_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000005_005_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/006_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000006_006_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/007_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000007_007_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/008_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000008_008_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/009_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000009_009_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/010_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000010_010_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/011_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000011_011_regular.png,,False
MVTec AD 2,can,datasets/MVTec_AD_2_anomalib_all/can_folder,train,datasets/MVTec_AD_2/can/train/good/012_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib_all/can_folder/train/good/000012_012_regular.png,,False
