image_key,stage10_candidate_rank,stage10_bbox_x1,stage10_bbox_y1,stage10_bbox_x2,stage10_bbox_y2,stage10_bbox_area_ratio,stage10_context_area_ratio,stage10_tight_gt_coverage,stage10_context_gt_coverage,stage10_candidate_score,stage11_candidate_rank,stage11_bbox_x1,stage11_bbox_y1,stage11_bbox_x2,stage11_bbox_y2,stage11_bbox_area_ratio,stage11_context_area_ratio,stage11_tight_gt_coverage,stage11_context_gt_coverage,stage11_candidate_score,top1_bbox_iou
000_shift_4,1,599,1230,807,1688,0.035813533834586464,,,,1.0,0,678,1039,859,1515,0.032389473684210524,0.4292763157894737,,,1.0,0.2541564411876534
000_underexposed,1,618,1336,790,1654,0.020562406015037595,,,,1.0,0,628,1343,788,1641,0.017924812030075187,0.2415639097744361,0.8003075492615241,1.0,1.0,0.8717273658037151
001_regular,1,616,741,847,1174,0.03760263157894737,,,,0.3137954175472259,0,639,786,832,1151,0.026483082706766917,0.4245687969924812,,,1.0,0.7042880137568359
001_shift_1,1,611,1277,829,1677,0.032781954887218044,,,,1.0,0,623,1306,821,1656,0.02605263157894737,0.33317593984962407,0.8952346472371815,1.0,1.0,0.7947247706422018
001_shift_2,1,610,1291,831,1680,0.032319172932330824,,,,1.0,0,634,786,832,1143,0.026573684210526315,0.4254766917293233,,,1.0,0.0
001_shift_4,1,624,764,869,1207,0.04080263157894737,,,,0.5065314173698425,0,661,823,859,1188,0.027169172932330826,0.4350045112781955,,,1.0,0.6658681531303267
002_shift_1,1,611,1275,794,1683,0.028069172932330827,,,,1.0,0,617,1298,788,1678,0.024428571428571428,0.30093082706766916,0.9461128387383384,1.0,1.0,0.8702989392478303
002_shift_2,1,608,1278,796,1687,0.02890676691729323,,,,1.0,0,612,1298,793,1678,0.025857142857142856,0.3194360902255639,0.9733007552199022,1.0,1.0,0.894501378556937
002_shift_4,1,588,982,803,1497,0.04162593984962406,,,,0.5394501090049744,0,617,1306,788,1670,0.0234,0.2927142857142857,0.9461128387383384,1.0,1.0,0.23278073951592212
002_underexposed,1,846,1329,1198,1764,0.05756390977443609,,,,0.7277604341506958,0,623,1328,793,1678,0.02236842105263158,0.2804360902255639,0.9469124833407374,1.0,1.0,0.0
003_shift_1,1,611,706,818,1152,0.03470751879699248,,,,0.5427144169807434,0,557,712,804,1188,0.0442,0.705,,,1.0,0.6795013362779458
003_shift_2,1,595,1286,726,1688,0.019797744360902255,,,,0.4937856495380401,0,546,719,788,1181,0.04203157894736842,0.6725052631578947,,,1.0,0.0
004_regular,1,656,1245,842,1559,0.021956390977443608,,,,0.3565844297409057,0,601,1001,788,1425,0.02980751879699248,0.43106954887218046,0.9429426860564584,1.0,1.0,0.20854544816206158
004_shift_1,1,594,920,796,1465,0.041387218045112785,,,,0.9561101198196412,0,678,1321,815,1529,0.010712781954887217,0.1717172932330827,,,1.0,0.1397437373554616
004_shift_2,1,593,883,793,1470,0.04413533834586466,,,,0.9710062146186828,0,667,1298,832,1552,0.01575563909774436,0.2442718045112782,,,1.0,0.157456516369026
004_shift_3,1,582,940,795,1457,0.04139887218045113,,,,1.0,0,601,987,783,1411,0.029010526315789473,0.42393684210526317,0.92027373823781,1.0,1.0,0.7007564406425659
004_shift_4,1,586,955,796,1446,0.03876315789473684,,,,1.0,0,601,994,783,1403,0.02798421052631579,0.416,0.906672369546621,1.0,1.0,0.721928038017651
004_underexposed,1,606,993,777,1428,0.027964285714285716,,,,0.9396244287490844,0,612,1031,777,1403,0.02307518796992481,0.35460413533834584,0.8843455945252352,1.0,1.0,0.8251663641863279
005_shift_1,1,642,491,839,1085,0.04399172932330827,,,,1.0,0,661,534,810,1062,0.02957593984962406,0.4161045112781955,0.4936943331227116,1.0,1.0,0.6723068245910886
006_underexposed,1,888,1403,1207,1756,0.04233345864661654,,,,0.749924898147583,0,907,1521,1198,1730,0.022864285714285715,0.24202894736842107,0.0,0.3389018211693824,1.0,0.5400996385659861
007_shift_4,1,614,684,852,1183,0.04464736842105263,,,,0.6726963520050049,0,650,719,837,1151,0.030369924812030075,0.48526917293233085,0.1839920292261707,1.0,1.0,0.6802175780131692
008_shift_2,1,557,588,863,957,0.042448872180451125,,,,0.5401455163955688,0,590,623,848,906,0.02744887218045113,0.438793984962406,0.1646346059077601,0.716499985505986,1.0,0.6466337212391732
008_underexposed,1,886,1455,1209,1764,0.037521428571428574,,,,0.7723527550697327,0,935,1506,1204,1752,0.024877443609022557,0.24926578947368422,0.0,0.4698002724874627,1.0,0.6630196278818119
009_regular,1,655,690,849,1275,0.04266541353383459,,,,0.657276451587677,0,672,727,832,1203,0.02863157894736842,0.454015037593985,0.8988219164170009,1.0,1.0,0.6710723411754339
009_shift_1,1,656,688,851,1277,0.04317857142857143,,,,0.6787903904914856,0,678,712,832,1188,0.027557894736842104,0.44,0.9116183415426802,1.0,1.0,0.6382308127639197
010_regular,1,544,628,806,1059,0.04245187969924812,,,,0.9131321907043456,0,557,638,783,995,0.03033157894736842,0.4856451127819549,1.0,1.0,1.0,0.7144931899895504
010_shift_1,1,541,532,792,1026,0.04661428571428571,,,,0.9382249116897584,0,557,571,772,936,0.02950187969924812,0.47180413533834586,1.0,1.0,1.0,0.6328935271061503
010_underexposed,1,557,662,751,878,0.015753383458646616,,,,0.9752019643783568,0,574,667,733,854,0.01117781954887218,0.1783251879699248,0.946605795950774,1.0,1.0,0.7095504009163803
011_shift_1,1,550,903,844,1215,0.03448421052631579,,,,0.5492384433746338,0,563,912,843,1203,0.03063157894736842,0.4896842105263158,0.0,0.0,1.0,0.8882783882783882
011_shift_4,1,554,903,845,1219,0.03456992481203008,,,,0.5617029070854187,0,563,912,843,1203,0.03063157894736842,0.4896842105263158,0.0,0.0,1.0,0.8860759493670886
012_overexposed,1,570,1032,810,1615,0.052601503759398496,,,,0.9173431396484376,0,579,1194,777,1589,0.029402255639097746,0.3864721804511278,0.1364032629678062,1.0,1.0,0.5589622641509434
012_regular,1,573,1022,809,1611,0.052257142857142856,,,,0.9108120203018188,0,585,1091,777,1574,0.03486315789473684,0.44261052631578945,0.2095125786163522,1.0,1.0,0.6671462691721102
013_shift_1,1,618,993,828,1504,0.040342105263157894,,,,0.825670599937439,0,628,1053,815,1470,0.029315413533834586,0.41365827067669175,0.4024058593568923,1.0,1.0,0.7266703941850713
013_shift_3,1,623,985,829,1504,0.04019323308270677,,,,0.8227328062057495,0,634,1046,815,1470,0.02885112781954887,0.406109022556391,0.3982415748566837,1.0,1.0,0.7178105767252184
013_shift_4,1,619,980,827,1512,0.0416,,,,0.8169747591018677,0,628,1061,815,1477,0.029245112781954886,0.41085,0.3908478452338643,1.0,1.0,0.7030075187969925
014_overexposed,1,551,677,862,1247,0.06664285714285714,,,,0.5365769267082214,0,563,690,804,1225,0.048471804511278194,0.6892857142857143,0.1012969681804912,1.0,1.0,0.7273368308230383
014_regular,1,552,677,865,1230,0.06507105263157895,,,,0.5257679224014282,0,563,697,793,1218,0.04504887218045113,0.6571428571428571,0.1012969681804912,1.0,1.0,0.6923028037599154
014_shift_1,1,568,691,879,1223,0.0622,,,,0.545425295829773,0,585,727,865,1195,0.04926315789473684,0.7882105263157895,0.0530186135090426,1.0,1.0,0.7920121848028431
014_shift_4,1,568,691,878,1210,0.06048496240601504,,,,0.5450637936592102,0,590,727,865,1173,0.046109022556390974,0.7370736842105263,0.0474581925851787,1.0,1.0,0.7623220834110261
