backbone,dataset,strategy,eval_mode,variant_id,variant,num_images,num_normal,num_anomaly,has_both_classes,auroc,ap,best_f1,best_accuracy,best_threshold,rank_by_v5_auroc
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V5,quality_consistency_fusion,2162,962,1200,True,0.9841597366597367,0.9872752808038395,0.940347970173985,0.9333950046253469,0.3953121715913667,1
PatchCore,VisA,generic_binary,crop_topk_ensemble,V5,quality_consistency_fusion,2162,962,1200,True,0.977489604989605,0.9804845199584664,0.940935192780968,0.9333950046253469,0.3342631160465462,2
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V5,quality_consistency_fusion,2162,962,1200,True,0.9740081427581427,0.9784326509147248,0.9312344656172329,0.9232192414431082,0.340727709882288,3
FastFlow,VisA,inspection_binary,crop_or_full,V5,quality_consistency_fusion,2162,962,1200,True,0.9724358974358974,0.9784742971569157,0.9206477732793522,0.9093432007400555,0.3644622171682672,4
PatchCore,VisA,generic_binary,crop_or_full,V5,quality_consistency_fusion,2162,962,1200,True,0.9702286902286902,0.9758333137373332,0.9302325581395349,0.9222941720629048,0.3353310462481943,5
PatchCore,VisA,inspection_binary,crop_or_full,V5,quality_consistency_fusion,2162,962,1200,True,0.9664812889812889,0.9731272630307914,0.9163879598662208,0.9074930619796485,0.33812173639083987,6
PatchCore,VisA,category_binary,crop_topk_ensemble,V5,quality_consistency_fusion,2162,962,1200,True,0.9524922037422038,0.9573040292496207,0.9006727344677483,0.8839037927844589,0.3391337333336489,7
PatchCore,VisA,category_binary,crop_or_full,V5,quality_consistency_fusion,2162,962,1200,True,0.9439622314622315,0.9517729801977538,0.8909657320872274,0.8704902867715079,0.31079878367540625,8
FastFlow,VisA,inspection_binary,full_all,V5,quality_consistency_fusion,2162,962,1200,True,0.9086564449064449,0.9261103957173632,0.850565743269606,0.8228492136910268,0.36553400850255885,9
PatchCore,VisA,inspection_binary,full_all,V5,quality_consistency_fusion,2162,962,1200,True,0.8926697851697851,0.9089779744501656,0.8404883812524617,0.8126734505087881,0.30811370848795094,10
PatchCore,VisA,generic_binary,full_all,V5,quality_consistency_fusion,2162,962,1200,True,0.882168225918226,0.9105391998295901,0.8263473053892216,0.7987974098057354,0.338855920751293,11
PatchCore,VisA,category_binary,full_all,V5,quality_consistency_fusion,2162,962,1200,True,0.8802477477477477,0.9033965884083729,0.8276699029126214,0.8029602220166513,0.3556715549755466,12
