backbone,dataset,strategy,eval_mode,variant_id,variant,num_images,num_normal,num_anomaly,auroc,ap,best_f1,best_accuracy,best_threshold,primary_selection_note
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V0,detector_only,2162,962,1200,0.8954946292446292,0.9204672056891952,0.8445344129554656,0.8223866790009251,0.37988002077724603,VisA_inspection_binary_crop_topk_ensemble
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V2,crop_topk_vlm,2162,962,1200,0.9269204781704782,0.9484575079255336,0.8765331152902699,0.8603145235892692,0.35010516371045003,VisA_inspection_binary_crop_topk_ensemble
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V3,naive_detector_crop_fusion,2162,962,1200,0.9688244975744976,0.9750375137499012,0.9166666666666667,0.9047178538390379,0.38750823337478835,VisA_inspection_binary_crop_topk_ensemble
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V4,quality_weighted_crop,2162,962,1200,0.977797124047124,0.9822289124591168,0.9303849303849304,0.9213691026827012,0.3359956218921017,VisA_inspection_binary_crop_topk_ensemble
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V5,fixed_quality_consistency,2162,962,1200,0.9841597366597367,0.9872752808038395,0.940347970173985,0.9333950046253469,0.3953121715913667,VisA_inspection_binary_crop_topk_ensemble
FastFlow,VisA,inspection_binary,crop_topk_ensemble,V6,adaptive_qcru,2162,962,1200,0.978259702009702,0.9826510332086212,0.9312039312039312,0.9222941720629048,0.3223895852886451,VisA_inspection_binary_crop_topk_ensemble
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V0,detector_only,2162,962,1200,0.9131098406098406,0.9241804739546882,0.8605769230769231,0.8390379278445883,0.23408000453980998,VisA_inspection_binary_crop_topk_ensemble
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V2,crop_topk_vlm,2162,962,1200,0.8845556133056133,0.9095764785476439,0.8340425531914893,0.8015726179463459,0.3310249584707326,VisA_inspection_binary_crop_topk_ensemble
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V3,naive_detector_crop_fusion,2162,962,1200,0.9616450103950104,0.9680788502375994,0.9126760563380282,0.8996299722479186,0.3351076819928932,VisA_inspection_binary_crop_topk_ensemble
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V4,quality_weighted_crop,2162,962,1200,0.9718425155925156,0.975201229909239,0.9319026000825422,0.92368177613321,0.27931666967377927,VisA_inspection_binary_crop_topk_ensemble
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V5,fixed_quality_consistency,2162,962,1200,0.9740081427581427,0.9784326509147248,0.9312344656172329,0.9232192414431082,0.340727709882288,VisA_inspection_binary_crop_topk_ensemble
PatchCore,VisA,inspection_binary,crop_topk_ensemble,V6,adaptive_qcru,2162,962,1200,0.9721604296604297,0.9755509789672662,0.9319587628865978,0.92368177613321,0.2689284502684731,VisA_inspection_binary_crop_topk_ensemble
