backbone,dataset,strategy,eval_mode,category,V3,V4,V5,V6,delta_v4_quality_minus_v3_naive,delta_v6_adaptive_minus_v4_quality,delta_v5_fixed_minus_v4_quality,delta_v6_adaptive_minus_v5_fixed,boundary_label
FastFlow,VisA,inspection_binary,crop_topk_ensemble,capsules,0.9858333333333333,0.9766666666666667,0.995,0.9768333333333333,-0.009166666666666656,0.0001666666666666483,0.018333333333333313,-0.018166666666666664,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,cashew,0.9976,0.9946,0.9994,0.9946,-0.0030000000000000027,0.0,0.0047999999999999154,-0.0047999999999999154,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb2,0.992,0.9893,0.9969,0.9894,-0.0027000000000000357,9.999999999998899e-05,0.007600000000000051,-0.007500000000000062,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,fryum,1.0,0.9992,1.0,0.9992,-0.0008000000000000229,0.0,0.0008000000000000229,-0.0008000000000000229,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,candle,0.9937,0.9936,0.9973,0.9937,-9.999999999998899e-05,9.999999999998899e-05,0.0036999999999999256,-0.0035999999999999366,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,chewinggum,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,quality_not_helpful;adaptive_gain_negligible
FastFlow,VisA,inspection_binary,crop_topk_ensemble,macaroni1,0.9767,0.9779,0.9891,0.9786,0.0011999999999999789,0.0007000000000000339,0.011199999999999988,-0.010499999999999954,adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,0.9862,0.993,0.995,0.993,0.006800000000000028,0.0,0.0020000000000000018,-0.0020000000000000018,adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb4,0.9637623762376237,0.9797029702970297,0.9811881188118812,0.9807920792079208,0.015940594059405955,0.00108910891089109,0.0014851485148514865,-0.0003960396039603964,fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,macaroni2,0.8998,0.9191,0.9393,0.9204,0.019299999999999984,0.0012999999999999678,0.020199999999999996,-0.018900000000000028,fixed_consistency_can_peak_but_diagnostic
FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb1,0.8995,0.9487,0.9464,0.9495,0.04920000000000002,0.0008000000000000229,-0.0022999999999999687,0.0030999999999999917,adaptive_gain_negligible
FastFlow,VisA,inspection_binary,crop_topk_ensemble,pcb3,0.9167326732673268,0.9659405940594059,0.9702970297029703,0.9668316831683168,0.04920792079207914,0.0008910891089108919,0.00435643564356436,-0.0034653465346534684,adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
PatchCore,VisA,inspection_binary,crop_topk_ensemble,capsules,0.992,0.9788333333333333,0.9968333333333333,0.9788333333333333,-0.01316666666666666,0.0,0.018000000000000016,-0.018000000000000016,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
PatchCore,VisA,inspection_binary,crop_topk_ensemble,pcb2,0.9847,0.9803,0.989,0.9805,-0.0044000000000000705,0.000200000000000089,0.008700000000000041,-0.008499999999999952,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
PatchCore,VisA,inspection_binary,crop_topk_ensemble,cashew,1.0,0.9998,1.0,0.9998,-0.00019999999999997797,0.0,0.00019999999999997797,-0.00019999999999997797,quality_not_helpful;adaptive_gain_negligible;fixed_consistency_can_peak_but_diagnostic
PatchCore,VisA,inspection_binary,crop_topk_ensemble,chewinggum,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,quality_not_helpful;adaptive_gain_negligible
PatchCore,VisA,inspection_binary,crop_topk_ensemble,pipe_fryum,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,quality_not_helpful;adaptive_gain_negligible
