file,column,classified_as,dtype,non_null,unique_sample_count,numeric_min,numeric_max,numeric_mean,sample_values
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,dataset,other,str,543,1,,,,MVTec AD 2
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,category,key_or_geometry,str,543,8,,,,can; fabric; fruit_jelly; rice; sheet_metal
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,batch_idx,other,int64,543,11,0,10,3.89871,0; 1; 2; 3; 4
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,item_idx,other,int64,543,8,0,7,3.43094,0; 1; 2; 3; 4
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,image_path,key_or_geometry,str,543,543,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/test/bad/000530_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/test/bad/000532_000_shift_1.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/test/bad/000534_000_shift_3.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/test/bad/000538_001_shift_1.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/test/bad/000539_001_shift_2.png
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,mask_path,key_or_geometry,str,353,353,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/ground_truth/bad/000530_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/ground_truth/bad/000532_000_shift_1.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/ground_truth/bad/000534_000_shift_3.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/ground_truth/bad/000538_001_shift_1.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/can_folder/ground_truth/bad/000539_001_shift_2.png
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,gt_label,label,bool,543,2,0,1,0.650092,True; False
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,pred_label,label,bool,543,2,0,1,0.791897,True; False
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,pred_score,other,float64,543,469,0.199011,1,0.703549,0.7828669548034668; 0.8509536981582642; 0.834292471408844; 0.7424118518829346; 0.7462849617004395
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,anomaly_map_min,label,float64,543,243,0,0.171556,0.0323148,0.0407971441745758; 0.0781917572021484; 0.0755410492420196; 0.0457246303558349; 0.080530822277069
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,anomaly_map_max,label,float64,543,543,0.252419,0.984809,0.527482,0.6361971497535706; 0.6611812710762024; 0.6522154808044434; 0.6052501201629639; 0.5957792401313782
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,anomaly_map_mean,label,float64,543,543,0.0337437,0.423462,0.219208,0.3083318471908569; 0.3544228672981262; 0.3710822761058807; 0.348829448223114; 0.3354434370994568
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,anomaly_map_shape,label,str,543,1,,,,"[256, 256]"
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,dataset,other,str,8,1,,,,MVTec AD 2
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,category,key_or_geometry,str,8,8,,,,rice; wallplugs; can; sheet_metal; vial
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,image_AUROC,other,float64,8,8,0.390123,0.831482,0.672047,0.5629629492759705; 0.4625926613807678; 0.3901234865188598; 0.8314815163612366; 0.7987421751022339
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,image_F1Score,other,float64,8,8,0.644068,0.9,0.783156,0.8108108043670654; 0.7457627058029175; 0.6440678238868713; 0.8999999761581421; 0.8598130941390991
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,pixel_AUROC,other,float64,8,8,0.711855,0.948376,0.850613,0.7636728286743164; 0.8674933910369873; 0.7118551135063171; 0.859477162361145; 0.9483762979507446
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,pixel_F1Score,other,float64,8,8,0.000216285,0.49627,0.22153,0.0552441291511058; 0.0390747748315334; 0.000216285494389; 0.3764839768409729; 0.3366170227527618
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,success,other,bool,8,1,1,1,1,True
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,num_prediction_rows,other,int64,8,7,40,81,67.875,66; 75; 81; 57; 71
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,elapsed_sec,other,float64,8,8,382.245,963.318,716.263,730.172; 668.577; 922.054; 382.245; 618.359
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,error,other,float64,0,0,,,,
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,stage11_c_priority_group,other,str,8,3,,,,detector_risk; primary; secondary
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,stage11_c_interpretation,other,str,8,3,,,,"PatchCore image-level detection is weak; VLM crop results may mainly reflect detector failure.; Detector quality is sufficient for localization-guided crop/VLM reasoning.; Image-level detection is acceptable, but localization quality should be treated cautiously."
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,dataset,other,str,502,1,,,,MVTec AD 2
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,category,key_or_geometry,str,502,4,,,,sheet_metal; vial; fruit_jelly; walnuts
