category,variant_id,method,score_col,paper_role,num_images,num_normal,num_anomaly,image_auroc,average_precision,best_f1,best_accuracy,best_threshold
fruit_jelly,V0,Detector only,V0_detector_only,baseline_detector,40,10,30,0.7166666666666667,0.910461401382017,0.8695652173913043,0.775,0.1278374684040251
fruit_jelly,V1,Full-image VLM,V1_full_image_vlm,baseline_vlm,40,10,30,0.7533333333333334,0.899657746937724,0.9090909090909091,0.85,0.14383043149129524
fruit_jelly,V2,Crop top-k VLM,V2_crop_topk_vlm,baseline_crop_vlm,40,10,30,0.8566666666666668,0.955646842818689,0.8852459016393442,0.825,0.32907162090198144
fruit_jelly,V3,Naive detector-crop fusion,V3_naive_detector_crop_fusion,fusion_baseline,40,10,30,0.8766666666666668,0.9641684343877326,0.9,0.85,0.3751182874584773
fruit_jelly,V4,Quality-Calibrated QCR,V4_quality_calibrated_qcr,main_method_core,40,10,30,0.8833333333333333,0.9660999043192026,0.9,0.85,0.3628240301317742
fruit_jelly,V5,Fixed Q+C fusion,V5_fixed_qc_diagnostic,diagnostic_not_final,40,10,30,0.8800000000000001,0.9661470668663651,0.9,0.85,0.39900980129138125
fruit_jelly,V6,Quality-Calibrated QCR + adaptive refinement,V6_adaptive_qcr_refinement,final_refinement,40,10,30,0.8833333333333333,0.9660999043192026,0.9,0.85,0.3645849855944007
sheet_metal,V0,Detector only,V0_detector_only,baseline_detector,57,12,45,0.7462962962962963,0.9259539089335671,0.8910891089108911,0.8070175438596491,0.04066101075655078
sheet_metal,V1,Full-image VLM,V1_full_image_vlm,baseline_vlm,57,12,45,0.712962962962963,0.9025837307974744,0.9,0.8245614035087719,0.1905893432945969
sheet_metal,V2,Crop top-k VLM,V2_crop_topk_vlm,baseline_crop_vlm,57,12,45,0.587037037037037,0.8096274173023639,0.8823529411764706,0.7894736842105263,0.0
sheet_metal,V3,Naive detector-crop fusion,V3_naive_detector_crop_fusion,fusion_baseline,57,12,45,0.7425925925925927,0.9206733463382989,0.9,0.8245614035087719,0.3588119297288223
sheet_metal,V4,Quality-Calibrated QCR,V4_quality_calibrated_qcr,main_method_core,57,12,45,0.6537037037037037,0.886955109943296,0.9,0.8245614035087719,0.3014018745002888
sheet_metal,V5,Fixed Q+C fusion,V5_fixed_qc_diagnostic,diagnostic_not_final,57,12,45,0.6888888888888889,0.9036540616021488,0.8888888888888888,0.8070175438596491,0.3481630472152903
sheet_metal,V6,Quality-Calibrated QCR + adaptive refinement,V6_adaptive_qcr_refinement,final_refinement,57,12,45,0.6537037037037037,0.886955109943296,0.9,0.8245614035087719,0.30151652952415914
vial,V0,Detector only,V0_detector_only,baseline_detector,71,18,53,0.8731656184486374,0.9525488479575177,0.9298245614035088,0.8873239436619719,0.21489607991542423
vial,V1,Full-image VLM,V1_full_image_vlm,baseline_vlm,71,18,53,0.6876310272536689,0.873345318857808,0.8548387096774194,0.7464788732394366,0.0
vial,V2,Crop top-k VLM,V2_crop_topk_vlm,baseline_crop_vlm,71,18,53,0.5230607966457024,0.8041024863423215,0.8548387096774194,0.7464788732394366,0.0
vial,V3,Naive detector-crop fusion,V3_naive_detector_crop_fusion,fusion_baseline,71,18,53,0.9182389937106918,0.9722087689069248,0.9203539823008849,0.8732394366197183,0.39161272670619407
vial,V4,Quality-Calibrated QCR,V4_quality_calibrated_qcr,main_method_core,71,18,53,0.9475890985324947,0.9808282638604192,0.9454545454545454,0.9154929577464789,0.38407151519911925
vial,V5,Fixed Q+C fusion,V5_fixed_qc_diagnostic,diagnostic_not_final,71,18,53,0.9318658280922432,0.9743853773357762,0.9298245614035088,0.8873239436619719,0.39289282683410776
vial,V6,Quality-Calibrated QCR + adaptive refinement,V6_adaptive_qcr_refinement,final_refinement,71,18,53,0.9486373165618449,0.9811459056874949,0.9454545454545454,0.9154929577464789,0.38630984180532413
walnuts,V0,Detector only,V0_detector_only,baseline_detector,75,30,45,0.8051851851851852,0.8852999224044822,0.7962962962962963,0.7066666666666667,0.17325832100166666
walnuts,V1,Full-image VLM,V1_full_image_vlm,baseline_vlm,75,30,45,0.42962962962962964,0.6286138336672294,0.75,0.6,0.0
walnuts,V2,Crop top-k VLM,V2_crop_topk_vlm,baseline_crop_vlm,75,30,45,0.6429629629629628,0.7579855989513197,0.7563025210084033,0.6133333333333333,0.1224138392682448
walnuts,V3,Naive detector-crop fusion,V3_naive_detector_crop_fusion,fusion_baseline,75,30,45,0.777037037037037,0.8739369442687376,0.7758620689655172,0.6533333333333333,0.2085701960970101
walnuts,V4,Quality-Calibrated QCR,V4_quality_calibrated_qcr,main_method_core,75,30,45,0.7918518518518518,0.8833820432526954,0.7787610619469026,0.6666666666666666,0.21218131731623102
walnuts,V5,Fixed Q+C fusion,V5_fixed_qc_diagnostic,diagnostic_not_final,75,30,45,0.7896296296296296,0.8799979638436521,0.782608695652174,0.6666666666666666,0.25204048390509537
walnuts,V6,Quality-Calibrated QCR + adaptive refinement,V6_adaptive_qcr_refinement,final_refinement,75,30,45,0.7918518518518518,0.8833820432526954,0.7787610619469026,0.6666666666666666,0.21234990136359097
