selector,heldout_category,train_categories,selected_q_source,selected_q_direction,selected_eta,selected_gamma,train_mean_V3,train_mean_quality,train_mean_adaptive,train_delta_quality,train_delta_adaptive,train_wins_quality,train_wins_adaptive,train_worst_delta_quality,train_worst_delta_adaptive,test_V3,test_quality_qcr,test_adaptive_qcr,test_delta_quality_minus_V3,test_delta_adaptive_minus_V3,test_delta_adaptive_minus_quality,test_Q_alone
B5_baseline_max_train_adaptive_auroc,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.8126228744467738,0.8452783601211274,0.8452783601211274,0.032655485674353564,0.032655485674353564,2,2,-0.0031446540880504,-0.0031446540880504,0.8766666666666668,0.8699999999999999,0.8699999999999999,-0.0066666666666669,-0.0066666666666669,0.0,0.51
B5_baseline_max_train_adaptive_auroc,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_mean_max,direct,0.35,0.03,0.8573142324714652,0.880305147915211,0.8809014675052412,0.022990915443745635,0.023587235033775935,3,3,0.0133333333333333,0.0133333333333333,0.7425925925925927,0.6277777777777778,0.6277777777777778,-0.1148148148148149,-0.1148148148148149,0.0,0.3018518518518518
B5_baseline_max_train_adaptive_auroc,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.7987654320987655,0.8302469135802468,0.8302469135802468,0.031481481481481395,0.031481481481481395,2,2,-0.0066666666666669,-0.0066666666666669,0.9182389937106918,0.9150943396226414,0.9150943396226414,-0.0031446540880504,-0.0031446540880504,0.0,0.4570230607966457
B5_baseline_max_train_adaptive_auroc,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_min,inverted,0.3,0.0,0.8458327509899838,0.8691055206149545,0.8691055206149545,0.02327276962497073,0.02327276962497073,1,1,-0.0066666666666669,-0.0066666666666669,0.777037037037037,0.7985185185185186,0.7985185185185186,0.0214814814814816,0.0214814814814816,0.0,0.4444444444444445
max_train_delta_adaptive,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.8126228744467738,0.8452783601211274,0.8452783601211274,0.032655485674353564,0.032655485674353564,2,2,-0.0031446540880504,-0.0031446540880504,0.8766666666666668,0.8699999999999999,0.8699999999999999,-0.0066666666666669,-0.0066666666666669,0.0,0.51
max_train_delta_adaptive,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_mean_max,direct,0.35,0.03,0.8573142324714652,0.880305147915211,0.8809014675052412,0.022990915443745635,0.023587235033775935,3,3,0.0133333333333333,0.0133333333333333,0.7425925925925927,0.6277777777777778,0.6277777777777778,-0.1148148148148149,-0.1148148148148149,0.0,0.3018518518518518
max_train_delta_adaptive,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.7987654320987655,0.8302469135802468,0.8302469135802468,0.031481481481481395,0.031481481481481395,2,2,-0.0066666666666669,-0.0066666666666669,0.9182389937106918,0.9150943396226414,0.9150943396226414,-0.0031446540880504,-0.0031446540880504,0.0,0.4570230607966457
max_train_delta_adaptive,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_min,inverted,0.3,0.0,0.8458327509899838,0.8691055206149545,0.8691055206149545,0.02327276962497073,0.02327276962497073,1,1,-0.0066666666666669,-0.0066666666666669,0.777037037037037,0.7985185185185186,0.7985185185185186,0.0214814814814816,0.0214814814814816,0.0,0.4444444444444445
wins_then_delta_adaptive,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_min,inverted,0.25,0.0,0.8126228744467738,0.8443093407873281,0.8443093407873281,0.031686466340554297,0.031686466340554297,3,3,0.0020964360587002,0.0020964360587002,0.8766666666666668,0.8633333333333334,0.8633333333333334,-0.0133333333333334,-0.0133333333333334,0.0,0.51
wins_then_delta_adaptive,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_mean_max,direct,0.35,0.03,0.8573142324714652,0.880305147915211,0.8809014675052412,0.022990915443745635,0.023587235033775935,3,3,0.0133333333333333,0.0133333333333333,0.7425925925925927,0.6277777777777778,0.6277777777777778,-0.1148148148148149,-0.1148148148148149,0.0,0.3018518518518518
wins_then_delta_adaptive,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.7987654320987655,0.8302469135802468,0.8302469135802468,0.031481481481481395,0.031481481481481395,2,2,-0.0066666666666669,-0.0066666666666669,0.9182389937106918,0.9150943396226414,0.9150943396226414,-0.0031446540880504,-0.0031446540880504,0.0,0.4570230607966457
wins_then_delta_adaptive,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_min,inverted,0.25,0.0,0.8458327509899838,0.8661611926391801,0.8661611926391801,0.020328441649196265,0.020328441649196265,2,2,-0.0133333333333334,-0.0133333333333334,0.777037037037037,0.7977777777777777,0.7977777777777777,0.0207407407407407,0.0207407407407407,0.0,0.4444444444444445
worst_delta_then_mean_delta_adaptive,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_mean,inverted,0.15,0.03,0.8126228744467738,0.8332378290239925,0.8338551129746098,0.020614954577218635,0.02123223852783593,3,3,0.0062893081761006,0.0062893081761006,0.8766666666666668,0.8633333333333333,0.8633333333333333,-0.0133333333333335,-0.0133333333333335,0.0,0.51
worst_delta_then_mean_delta_adaptive,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_mean_max,direct,0.35,0.03,0.8573142324714652,0.880305147915211,0.8809014675052412,0.022990915443745635,0.023587235033775935,3,3,0.0133333333333333,0.0133333333333333,0.7425925925925927,0.6277777777777778,0.6277777777777778,-0.1148148148148149,-0.1148148148148149,0.0,0.3018518518518518
worst_delta_then_mean_delta_adaptive,vial,fruit_jelly;sheet_metal;walnuts,map_area_max,direct,0.1,0.0,0.7987654320987655,0.8108641975308641,0.8108641975308641,0.012098765432098625,0.012098765432098625,1,1,-0.0007407407407407,-0.0007407407407407,0.9182389937106918,0.9161425576519916,0.9161425576519916,-0.0020964360587001,-0.0020964360587001,0.0,0.5660377358490566
worst_delta_then_mean_delta_adaptive,walnuts,fruit_jelly;sheet_metal;vial,map_area_mean,direct,0.05,0.05,0.8458327509899838,0.8446401118099232,0.8461006289308176,-0.0011926391800606334,0.00026787794083382596,1,1,-0.0033333333333334,-0.00104821802935,0.777037037037037,0.7748148148148148,0.7755555555555556,-0.0022222222222221,-0.0014814814814814,0.0007407407407407,0.5762962962962963
robust_delta_score,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_min,inverted,0.25,0.0,0.8126228744467738,0.8443093407873281,0.8443093407873281,0.031686466340554297,0.031686466340554297,3,3,0.0020964360587002,0.0020964360587002,0.8766666666666668,0.8633333333333334,0.8633333333333334,-0.0133333333333334,-0.0133333333333334,0.0,0.51
robust_delta_score,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_mean_max,direct,0.35,0.03,0.8573142324714652,0.880305147915211,0.8809014675052412,0.022990915443745635,0.023587235033775935,3,3,0.0133333333333333,0.0133333333333333,0.7425925925925927,0.6277777777777778,0.6277777777777778,-0.1148148148148149,-0.1148148148148149,0.0,0.3018518518518518
robust_delta_score,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.7987654320987655,0.8302469135802468,0.8302469135802468,0.031481481481481395,0.031481481481481395,2,2,-0.0066666666666669,-0.0066666666666669,0.9182389937106918,0.9150943396226414,0.9150943396226414,-0.0031446540880504,-0.0031446540880504,0.0,0.4570230607966457
robust_delta_score,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_mean,inverted,0.25,0.0,0.8458327509899838,0.8640624272070813,0.8640624272070813,0.0182296762170975,0.0182296762170975,2,2,-0.0066666666666667,-0.0066666666666667,0.777037037037037,0.7955555555555556,0.7955555555555556,0.0185185185185186,0.0185185185185186,0.0,0.4444444444444445
robust_quality_score,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_min,inverted,0.25,0.0,0.8126228744467738,0.8443093407873281,0.8443093407873281,0.031686466340554297,0.031686466340554297,3,3,0.0020964360587002,0.0020964360587002,0.8766666666666668,0.8633333333333334,0.8633333333333334,-0.0133333333333334,-0.0133333333333334,0.0,0.51
robust_quality_score,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_mean_max,direct,0.35,0.0,0.8573142324714652,0.880305147915211,0.880305147915211,0.022990915443745635,0.022990915443745635,3,3,0.0133333333333333,0.0133333333333333,0.7425925925925927,0.6277777777777778,0.6277777777777778,-0.1148148148148149,-0.1148148148148149,0.0,0.3018518518518518
robust_quality_score,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.7987654320987655,0.8302469135802468,0.8302469135802468,0.031481481481481395,0.031481481481481395,2,2,-0.0066666666666669,-0.0066666666666669,0.9182389937106918,0.9150943396226414,0.9150943396226414,-0.0031446540880504,-0.0031446540880504,0.0,0.4570230607966457
robust_quality_score,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_mean,inverted,0.25,0.0,0.8458327509899838,0.8640624272070813,0.8640624272070813,0.0182296762170975,0.0182296762170975,2,2,-0.0066666666666667,-0.0066666666666667,0.777037037037037,0.7955555555555556,0.7955555555555556,0.0185185185185186,0.0185185185185186,0.0,0.4444444444444445
semantic_candidate_score_max_min_inverted,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_min,inverted,0.25,0.0,0.8126228744467738,0.8443093407873281,0.8443093407873281,0.031686466340554297,0.031686466340554297,3,3,0.0020964360587002,0.0020964360587002,0.8766666666666668,0.8633333333333334,0.8633333333333334,-0.0133333333333334,-0.0133333333333334,0.0,0.51
semantic_candidate_score_max_min_inverted,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_max_min,inverted,0.25,0.03,0.8573142324714652,0.8604821802935011,0.8608315863032844,0.0031679478220358326,0.0035173538318191994,2,2,-0.0133333333333334,-0.0133333333333334,0.7425925925925927,0.8148148148148148,0.8111111111111111,0.072222222222222,0.0685185185185184,-0.0037037037037036,0.6481481481481481
semantic_candidate_score_max_min_inverted,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_min,inverted,0.3,0.0,0.7987654320987655,0.8302469135802468,0.8302469135802468,0.031481481481481395,0.031481481481481395,2,2,-0.0066666666666669,-0.0066666666666669,0.9182389937106918,0.9150943396226414,0.9150943396226414,-0.0031446540880504,-0.0031446540880504,0.0,0.4570230607966457
semantic_candidate_score_max_min_inverted,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_min,inverted,0.25,0.0,0.8458327509899838,0.8661611926391801,0.8661611926391801,0.020328441649196265,0.020328441649196265,2,2,-0.0133333333333334,-0.0133333333333334,0.777037037037037,0.7977777777777777,0.7977777777777777,0.0207407407407407,0.0207407407407407,0.0,0.4444444444444445
semantic_candidate_score_max_mean_inverted,fruit_jelly,sheet_metal;vial;walnuts,candidate_score_max_mean,inverted,0.25,0.03,0.8126228744467738,0.8392476123922664,0.8392266480316795,0.0266247379454926,0.026603773584905635,3,3,0.0020964360587001,0.0031446540880503,0.8766666666666668,0.8700000000000001,0.8700000000000001,-0.0066666666666667,-0.0066666666666667,0.0,0.51
semantic_candidate_score_max_mean_inverted,sheet_metal,fruit_jelly;vial;walnuts,candidate_score_max_mean,inverted,0.25,0.03,0.8573142324714652,0.8619636617749826,0.8625599813650129,0.004649429303517334,0.005245748893547633,2,2,-0.0066666666666667,-0.0066666666666667,0.7425925925925927,0.8018518518518518,0.8,0.0592592592592591,0.0574074074074073,-0.0018518518518517,0.6574074074074074
semantic_candidate_score_max_mean_inverted,vial,fruit_jelly;sheet_metal;walnuts,candidate_score_max_mean,inverted,0.25,0.01,0.7987654320987655,0.8224691358024692,0.822716049382716,0.023703703703703668,0.023950617283950565,2,2,-0.0066666666666667,-0.0066666666666667,0.9182389937106918,0.920335429769392,0.920335429769392,0.0020964360587001,0.0020964360587001,0.0,0.450733752620545
semantic_candidate_score_max_mean_inverted,walnuts,fruit_jelly;sheet_metal;vial,candidate_score_max_mean,inverted,0.25,0.0,0.8458327509899838,0.8640624272070813,0.8640624272070813,0.0182296762170975,0.0182296762170975,2,2,-0.0066666666666667,-0.0066666666666667,0.777037037037037,0.7955555555555556,0.7955555555555556,0.0185185185185186,0.0185185185185186,0.0,0.4444444444444445
