dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/000.png,1,0.9130088090896606,1,1,0.7434815168380737,0.97,1024,1024,224,224,269,512,485,700,59,112,106,153,1506,40608,0.038726806640625,0.8564433455467224,1.0,1289.8037109375
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/001.png,1,0.9806257486343384,1,1,0.632470965385437,0.97,1024,1024,224,224,342,576,563,764,75,126,123,167,1506,41548,0.039623260498046875,0.7958993911743164,1.0,1198.62451171875
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/002.png,1,1.0,1,1,0.7667083144187927,0.97,1024,1024,224,224,333,196,576,357,73,43,126,78,1506,39123,0.03731060028076172,0.8789416551589966,1.0,1323.6861572265625
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/003.png,1,0.9087789058685303,1,1,0.6900941133499146,0.97,1024,1024,224,224,644,598,896,759,141,131,196,166,1506,40572,0.038692474365234375,0.835868775844574,1.0,1258.818359375
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/004.png,1,1.0,1,1,0.8623407483100891,0.97,1024,1024,224,224,489,603,691,718,107,132,151,157,852,23230,0.022153854370117188,0.92674720287323,1.0,789.588623046875
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/004.png,1,1.0,2,1,0.8623407483100891,0.97,1024,1024,224,224,763,470,938,608,167,103,205,133,654,24150,0.023031234741210938,0.8991796970367432,0.937324583530426,588.0635375976562
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/005.png,1,1.0,1,1,0.7923409938812256,0.97,1024,1024,224,224,374,251,512,554,82,55,112,121,1506,41814,0.03987693786621094,0.8913060426712036,1.0,1342.306884765625
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/006.png,1,0.9763062000274658,1,1,0.7886370420455933,0.97,1024,1024,224,224,132,612,339,842,29,134,74,184,1506,47610,0.04540443420410156,0.8804239630699158,1.0,1325.91845703125
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/007.png,1,0.9378888607025146,1,1,0.8426675796508789,0.97,1024,1024,224,224,443,228,682,499,97,50,149,109,1506,64769,0.061768531799316406,0.90059894323349,1.0,1356.302001953125
MVTec AD,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/008.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/bent_wire/008.png,1,0.6988102793693542,1,1,0.7984235286712646,0.97,1024,1024,224,224,246,242,480,426,54,53,105,93,1506,43056,0.0410614013671875,0.876582682132721,1.0,1320.133544921875
