dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/000.png,1,0.599102795124054,1,1,0.6859441995620728,0.97,1000,1000,224,224,290,142,469,304,65,32,105,68,1031,28998,0.028998,0.8192644119262695,1.0,844.66162109375
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/000.png,1,0.599102795124054,2,1,0.6859441995620728,0.97,1000,1000,224,224,812,575,929,684,182,129,208,153,475,12753,0.012753,0.7621859312057495,0.845621645450592,362.038330078125
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/001.png,1,1.0,1,1,0.8683860301971436,0.97,1000,1000,224,224,93,441,300,630,21,99,67,141,1506,39123,0.039123,0.9564772844314575,1.0,1440.454833984375
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/002.png,1,0.7317553162574768,1,1,0.6003744006156921,0.97,1000,1000,224,224,40,401,255,567,9,90,57,127,1383,35690,0.03569,0.7623399496078491,1.0,1054.316162109375
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/002.png,1,0.7317553162574768,2,1,0.6003744006156921,0.97,1000,1000,224,224,401,209,465,259,90,47,104,58,123,3200,0.0032,0.6143720149993896,0.6288273930549622,75.56775665283203
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/003.png,1,0.7257570028305054,1,1,0.5888686180114746,0.97,1000,1000,224,224,857,441,1000,603,192,99,224,135,903,23166,0.023166,0.7650178670883179,1.0,690.8111572265625
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/003.png,1,0.7257570028305054,2,1,0.5888686180114746,0.97,1000,1000,224,224,410,174,550,286,92,39,123,64,573,15680,0.01568,0.6396995186805725,0.7075870037078857,366.5478210449219
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/003.png,1,0.7257570028305054,3,1,0.5888686180114746,0.97,1000,1000,224,224,290,508,322,536,65,114,72,120,30,896,0.000896,0.5943225026130676,0.6000749468803406,17.829675674438477
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/004.png,1,0.8995434045791626,1,1,0.6751420497894287,0.97,1000,1000,224,224,562,303,768,447,126,68,172,100,1110,29664,0.029664,0.8129348158836365,1.0,902.357666015625
MVTec AD,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/004.png,1,0.8995434045791626,2,1,0.6751420497894287,0.97,1000,1000,224,224,330,763,434,862,74,171,97,193,396,10296,0.010296,0.7322763800621033,0.7986811995506287,289.9814453125
