dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/000.png,1,1.0,1,1,0.894411027431488,0.97,1024,1024,224,224,169,562,334,805,37,123,73,176,1506,40095,0.038237571716308594,0.9434269666671753,1.0,1420.801025390625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/001.png,1,1.0,1,1,0.6820692420005798,0.97,1024,1024,224,224,301,608,503,810,66,133,110,177,1506,40804,0.038913726806640625,0.832991361618042,1.0,1254.4849853515625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/002.png,1,0.7717245817184448,1,1,0.7416767477989197,0.97,1024,1024,224,224,219,219,403,448,48,48,88,98,1506,42136,0.04018402099609375,0.8651471734046936,1.0,1302.91162109375
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/003.png,1,0.8704246282577515,1,1,0.6209786534309387,0.97,1024,1024,224,224,100,310,288,526,22,68,63,115,1506,40608,0.038726806640625,0.785431981086731,1.0,1182.860595703125
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/004.png,1,1.0,1,1,0.7068349719047546,0.97,1024,1024,224,224,754,288,933,508,165,63,204,111,1506,39380,0.037555694580078125,0.8436317443847656,1.0,1270.5093994140625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/005.png,1,0.6247507929801941,1,1,0.6645708084106445,0.97,1024,1024,224,224,132,210,316,435,29,46,69,95,1506,41400,0.03948211669921875,0.8120291233062744,1.0,1222.9158935546875
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/006.png,1,0.6866273283958435,1,1,0.7504361271858215,0.97,1024,1024,224,224,443,644,659,832,97,141,144,182,1506,40608,0.038726806640625,0.8708001375198364,1.0,1311.425048828125
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/007.png,1,1.0,1,1,0.6757538318634033,0.97,1024,1024,224,224,580,539,764,759,127,118,167,166,1506,40480,0.038604736328125,0.8289690613746643,1.0,1248.4273681640625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/008.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/008.png,1,1.0,1,1,0.9019434452056885,0.97,1024,1024,224,224,402,416,595,636,88,91,130,139,1506,42460,0.040493011474609375,0.953994870185852,1.0,1436.71630859375
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/009.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/009.png,1,0.8511067032814026,1,1,0.7503124475479126,0.97,1024,1024,224,224,118,219,352,389,26,48,77,85,1506,39780,0.037937164306640625,0.8666034936904907,1.0,1305.1048583984375
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/010.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/010.png,1,0.872992992401123,1,1,0.672454833984375,0.97,1024,1024,224,224,22,566,192,805,5,124,42,176,1506,40630,0.03874778747558594,0.8205146789550781,1.0,1235.695068359375
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/011.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/011.png,1,0.756324291229248,1,1,0.5875908732414246,0.97,1024,1024,224,224,640,196,842,394,140,43,184,86,1506,39996,0.038143157958984375,0.7635163068771362,1.0,1149.8555908203125
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/012.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/012.png,1,0.8264330625534058,1,1,0.60444575548172,0.97,1024,1024,224,224,370,768,581,965,81,168,127,211,1506,41567,0.039641380310058594,0.780322253704071,1.0,1175.165283203125
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/013.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/013.png,1,0.5983355045318604,1,1,0.579783022403717,0.97,1024,1024,224,224,0,566,165,805,0,124,36,176,1506,39435,0.03760814666748047,0.7666409611701965,1.0,1154.561279296875
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/014.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/014.png,1,0.5226194858551025,1,1,0.7636754512786865,0.97,1024,1024,224,224,594,475,736,654,130,104,161,143,968,25418,0.024240493774414062,0.871615469455719,1.0,843.7237548828125
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/014.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/014.png,1,0.5226194858551025,2,1,0.7636754512786865,0.97,1024,1024,224,224,827,123,965,224,181,27,211,49,538,13938,0.013292312622070312,0.8037193417549133,0.854714572429657,432.4010009765625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/015.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/015.png,1,0.9059029817581177,1,1,0.5928323268890381,0.97,1024,1024,224,224,534,192,723,407,117,42,158,89,1506,40635,0.03875255584716797,0.7720335125923157,1.0,1162.6824951171875
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/016.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/016.png,1,0.6730309128761292,1,1,0.7722408771514893,0.97,1024,1024,224,224,329,598,586,764,72,131,128,167,1506,42662,0.04068565368652344,0.8871930837631226,1.0,1336.11279296875
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/017.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/017.png,1,0.7050123810768127,1,1,0.6421151161193848,0.97,1024,1024,224,224,301,521,522,723,66,114,114,158,1506,44642,0.04257392883300781,0.796268880367279,1.0,1199.180908203125
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/018.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/color/018.png,1,0.7646369934082031,1,1,0.5855997800827026,0.97,1024,1024,224,224,178,557,375,759,39,122,82,166,1506,39794,0.03795051574707031,0.7582458257675171,1.0,1141.918212890625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/000.png,1,1.0,1,1,0.8107726573944092,0.97,1024,1024,224,224,146,393,330,645,32,86,72,141,1506,46368,0.044219970703125,0.8928806781768799,1.0,1344.6783447265625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/001.png,1,0.992971658706665,1,1,0.7173796892166138,0.97,1024,1024,224,224,640,516,823,741,140,113,180,162,1506,41175,0.039267539978027344,0.8488647937774658,1.0,1278.390380859375
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/002.png,1,1.0,1,1,0.6994421482086182,0.97,1024,1024,224,224,534,352,727,567,117,77,159,124,1506,41495,0.039572715759277344,0.8310045003890991,1.0,1251.4927978515625
MVTec AD,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/cut/003.png,1,1.0,1,1,0.7171252965927124,0.97,1024,1024,224,224,379,443,590,631,83,97,129,138,1506,39668,0.037830352783203125,0.846320390701294,1.0,1274.5584716796875
