dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,1,0.6596925854682922,1,1,0.6627107262611389,0.97,1024,1024,224,224,269,772,403,910,59,169,88,199,702,18492,0.017635345458984375,0.8155348896980286,1.0,572.5054931640625
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,1,0.6596925854682922,2,1,0.6627107262611389,0.97,1024,1024,224,224,192,256,302,357,42,56,66,78,420,11110,0.010595321655273438,0.7387173175811768,0.8303999304771423,310.2612609863281
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,1,0.6596925854682922,3,1,0.6627107262611389,0.97,1024,1024,224,224,777,397,883,480,170,87,193,105,341,8798,0.008390426635742188,0.7324925661087036,0.806846022605896,249.77996826171875
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/001.png,1,0.9637159109115601,1,1,0.5637885332107544,0.97,1024,1024,224,224,406,786,581,970,89,172,127,212,1202,32200,0.03070831298828125,0.7634762525558472,1.0,917.698486328125
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/001.png,1,0.9637159109115601,2,1,0.5637885332107544,0.97,1024,1024,224,224,713,443,814,526,156,97,178,115,304,8383,0.007994651794433594,0.6250265836715698,0.6916792392730713,190.00808715820312
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,1,0.7709393501281738,1,1,0.5760358572006226,0.97,1024,1024,224,224,379,164,540,325,83,36,118,71,930,25921,0.024720191955566406,0.7696308493614197,1.0,715.7567138671875
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,1,0.7709393501281738,2,1,0.5760358572006226,0.97,1024,1024,224,224,388,800,512,924,85,175,112,202,576,15376,0.0146636962890625,0.6890289783477783,0.8227126002311707,396.8807067871094
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,1,1.0,1,1,0.6068511605262756,0.97,1024,1024,224,224,480,50,659,229,105,11,144,50,1179,32041,0.030556678771972656,0.7838040590286255,1.0,924.10498046875
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,1,1.0,2,1,0.6068511605262756,0.97,1024,1024,224,224,192,480,288,572,42,105,63,125,327,8832,0.0084228515625,0.6519595980644226,0.7007395625114441,213.1907958984375
MVTec AD,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,1,0.7624783515930176,1,1,0.6762464046478271,0.97,1024,1024,224,224,690,777,819,938,151,170,179,205,776,20769,0.019806861877441406,0.8216853141784668,1.0,637.6278076171875
