dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/000.png,1,0.9602025747299194,1,1,0.8635095357894897,0.97,700,700,224,224,618,175,700,407,198,56,224,130,1310,19024,0.03882448979591837,0.9229918122291565,1.0,1209.1192626953125
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/000.png,1,0.9602025747299194,2,1,0.8635095357894897,0.97,700,700,224,224,293,31,360,69,94,10,115,22,196,2546,0.005195918367346938,0.884306788444519,0.9044303894042969,173.32412719726562
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/001.png,1,0.9905632138252258,1,1,0.7328574061393738,0.97,700,700,224,224,440,596,582,700,141,191,186,224,1026,14768,0.03013877551020408,0.849051296710968,1.0,871.1266479492188
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/001.png,1,0.9905632138252258,2,1,0.7328574061393738,0.97,700,700,224,224,446,103,516,200,143,33,165,64,480,6790,0.013857142857142858,0.7659804821014404,0.7915002703666687,367.6706237792969
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/002.png,1,0.815402626991272,1,1,0.6450637578964233,0.97,700,700,224,224,9,384,150,541,3,123,48,173,1506,22137,0.045177551020408165,0.7780630588531494,1.0,1171.762939453125
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/003.png,1,0.8661733865737915,1,1,0.7838245630264282,0.97,700,700,224,224,609,187,700,379,195,60,224,121,1506,17472,0.03565714285714286,0.8933414816856384,1.0,1345.372314453125
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/004.png,1,0.9801329374313354,1,1,0.6743712425231934,0.97,700,700,224,224,381,15,560,141,122,5,179,45,1506,22554,0.046028571428571426,0.8033512234687805,1.0,1209.846923828125
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/005.png,1,0.951223611831665,1,1,0.7708876132965088,0.97,700,700,224,224,0,337,91,469,0,108,29,150,870,12012,0.024514285714285714,0.8673781752586365,0.9851253628730774,754.6190185546875
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/005.png,1,0.951223611831665,2,1,0.7708876132965088,0.97,700,700,224,224,331,618,435,700,106,198,139,224,636,8528,0.01740408163265306,0.8667836785316467,1.0,551.2744140625
MVTec AD,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/bent/006.png,1,0.7673009634017944,1,1,0.6203998327255249,0.97,700,700,224,224,0,400,119,557,0,128,38,178,1506,18683,0.03812857142857143,0.7755363583564758,1.0,1167.957763671875
