dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/000.png,0,0.46808144450187683,1,1,0.7514705657958984,0.97,1024,1024,224,224,187,182,320,366,41,40,70,80,765,24472,0.02333831787109375,0.8164554238319397,0.9071681499481201,624.58837890625
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/000.png,0,0.46808144450187683,2,1,0.7514705657958984,0.97,1024,1024,224,224,589,109,736,256,129,24,161,56,741,21609,0.020607948303222656,0.8633135557174683,1.0,639.71533203125
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/001.png,0,0.4182932376861572,1,1,0.819435179233551,0.97,1024,1024,224,224,448,493,864,618,98,108,189,135,1435,52000,0.049591064453125,0.8873006105422974,1.0,1273.2763671875
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/001.png,0,0.4182932376861572,2,1,0.819435179233551,0.97,1024,1024,224,224,502,260,549,307,110,57,120,67,71,2209,0.0021066665649414062,0.8377060294151306,0.8562304377555847,59.47712707519531
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/002.png,0,0.39880049228668213,1,1,0.8236442804336548,0.97,1024,1024,224,224,617,502,791,586,135,110,173,128,478,14616,0.01393890380859375,0.8854362368583679,0.9750532507896423,423.238525390625
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/002.png,0,0.39880049228668213,2,1,0.8236442804336548,0.97,1024,1024,224,224,589,86,709,211,129,19,155,46,437,15000,0.01430511474609375,0.8453587293624878,0.8827025294303894,369.4217529296875
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/002.png,0,0.39880049228668213,3,1,0.8236442804336548,0.97,1024,1024,224,224,886,297,988,375,194,65,216,82,287,7956,0.007587432861328125,0.9031678438186646,1.0,259.20916748046875
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/003.png,0,0.4653303921222687,1,1,0.8031505346298218,0.97,1024,1024,224,224,553,283,727,503,121,62,159,110,801,38280,0.03650665283203125,0.8730528354644775,1.0,699.3153076171875
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/003.png,0,0.4653303921222687,2,1,0.8031505346298218,0.97,1024,1024,224,224,233,685,389,864,51,150,85,189,669,27924,0.026630401611328125,0.8772264719009399,0.9595005512237549,586.864501953125
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/003.png,0,0.4653303921222687,3,1,0.8031505346298218,0.97,1024,1024,224,224,790,228,823,261,173,50,180,57,36,1089,0.0010385513305664062,0.8129324316978455,0.8227295875549316,29.265567779541016
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/004.png,0,0.5202003717422485,1,1,0.6236533522605896,0.97,1024,1024,224,224,315,694,549,837,69,152,120,183,1210,33462,0.03191184997558594,0.7668209075927734,1.0,927.853271484375
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/004.png,0,0.5202003717422485,2,1,0.6236533522605896,0.97,1024,1024,224,224,841,854,928,938,184,187,203,205,208,7308,0.006969451904296875,0.6430222988128662,0.6737014055252075,133.74864196777344
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/004.png,0,0.5202003717422485,3,1,0.6236533522605896,0.97,1024,1024,224,224,77,900,128,951,17,197,28,208,88,2601,0.0024805068969726562,0.6441714763641357,0.6665833592414856,56.68708801269531
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/005.png,0,0.670479416847229,1,1,0.668114185333252,0.97,1024,1024,224,224,397,571,654,823,87,125,143,180,1488,64764,0.061763763427734375,0.7663317322731018,1.0,1140.3016357421875
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/006.png,0,0.3793111741542816,1,1,0.7891452312469482,0.97,1024,1024,224,224,402,676,604,915,88,148,132,200,1467,48278,0.04604148864746094,0.851200520992279,1.0,1248.711181640625
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/006.png,0,0.3793111741542816,2,1,0.7891452312469482,0.97,1024,1024,224,224,882,516,919,544,193,113,201,119,39,1036,0.000988006591796875,0.7981899380683899,0.8080870509147644,31.12940788269043
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/007.png,0,0.42502540349960327,1,1,0.7386502623558044,0.97,1024,1024,224,224,713,228,915,416,156,50,200,91,1237,37976,0.03621673583984375,0.8564537763595581,1.0,1059.433349609375
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/007.png,0,0.42502540349960327,2,1,0.7386502623558044,0.97,1024,1024,224,224,836,882,942,942,183,193,206,206,228,6360,0.00606536865234375,0.7702010273933411,0.8038632869720459,175.6058349609375
MVTec AD,screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/good/007.png,0,0.42502540349960327,3,1,0.7386502623558044,0.97,1024,1024,224,224,516,365,549,403,113,80,120,88,41,1254,0.0011959075927734375,0.7584015727043152,0.7804747223854065,31.094465255737305
