dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/000.png,1,1.0,1,1,0.8047698736190796,0.97,840,840,224,224,420,521,589,728,112,139,157,194,1506,34983,0.04957908163265306,0.8887184262275696,1.0,1338.409912109375
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/001.png,1,1.0,1,1,0.8101383447647095,0.97,840,840,224,224,363,442,477,717,97,118,127,191,1506,31350,0.04443027210884354,0.8850077986717224,1.0,1332.82177734375
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/002.png,1,1.0,1,1,0.8105813264846802,0.97,840,840,224,224,405,90,567,259,108,24,151,69,1506,27378,0.038801020408163266,0.9264096021652222,1.0,1395.1728515625
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/003.png,1,1.0,1,1,0.7470752000808716,0.97,840,840,224,224,131,210,300,379,35,56,80,101,1506,28561,0.04047760770975057,0.8567976355552673,1.0,1290.3372802734375
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/004.png,1,0.9953406453132629,1,1,0.8214733600616455,0.97,840,840,224,224,281,116,387,417,75,31,103,111,1506,31906,0.04521825396825397,0.8959956169128418,1.0,1349.369384765625
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/005.png,1,0.8909290432929993,1,1,0.7041385173797607,0.97,840,840,224,224,45,30,225,188,12,8,60,50,1506,28440,0.04030612244897959,0.8420342206954956,1.0,1268.103515625
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/006.png,1,1.0,1,1,0.8485304117202759,0.97,840,840,224,224,573,412,735,597,153,110,196,159,1506,29970,0.04247448979591837,0.9514563679695129,1.0,1432.893310546875
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/007.png,1,0.9295579195022583,1,1,0.8707911968231201,0.97,840,840,224,224,333,228,409,436,89,61,109,116,741,15808,0.022403628117913833,0.917092502117157,1.0,679.5655517578125
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/007.png,1,0.9295579195022583,2,1,0.8707911968231201,0.97,840,840,224,224,198,56,297,177,53,15,79,47,457,11979,0.01697704081632653,0.9063494205474854,0.94649738073349,414.2016906738281
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/007.png,1,0.9295579195022583,3,1,0.8707911968231201,0.97,840,840,224,224,446,648,503,762,119,173,134,203,308,6498,0.009209183673469387,0.895559549331665,0.9198580384254456,275.83233642578125
MVTec AD,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/008.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/crack/008.png,1,0.9607856273651123,1,1,0.7947412729263306,0.97,840,840,224,224,525,588,720,780,140,157,192,208,1506,37440,0.053061224489795916,0.8835974335670471,1.0,1330.69775390625
