dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/000.png,1,1.0,1,1,0.6514993906021118,0.97,1024,1024,224,224,265,196,439,371,58,43,96,81,1151,30450,0.029039382934570312,0.8027642965316772,1.0,923.981689453125
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/000.png,1,1.0,2,1,0.6514993906021118,0.97,1024,1024,224,224,228,685,339,773,50,150,74,169,355,9768,0.00931549072265625,0.6939942836761475,0.7386747598648071,246.36798095703125
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,1,0.7868611812591553,1,1,0.7550659775733948,0.97,1024,1024,224,224,662,73,819,224,145,16,179,49,861,23707,0.02260875701904297,0.8676380515098572,1.0,747.036376953125
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/001.png,1,0.7868611812591553,2,1,0.7550659775733948,0.97,1024,1024,224,224,315,365,467,499,69,80,102,109,645,20368,0.0194244384765625,0.7922635674476624,0.8243032097816467,511.010009765625
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/002.png,1,0.8454203605651855,1,1,0.7444533705711365,0.97,1024,1024,224,224,246,406,494,576,54,89,108,126,1506,42160,0.0402069091796875,0.8635328412055969,1.0,1300.48046875
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/003.png,1,0.9916239976882935,1,1,0.8291374444961548,0.97,1024,1024,224,224,708,219,814,343,155,48,178,75,504,13144,0.01253509521484375,0.9099104404449463,1.0,458.5948486328125
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/003.png,1,0.9916239976882935,2,1,0.8291374444961548,0.97,1024,1024,224,224,50,283,147,394,11,62,32,86,383,10767,0.010268211364746094,0.899829089641571,0.9795299768447876,344.6345520019531
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/003.png,1,0.9916239976882935,3,1,0.8291374444961548,0.97,1024,1024,224,224,397,644,485,746,87,141,106,163,333,8976,0.0085601806640625,0.8827387094497681,0.9386117458343506,293.9519958496094
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/004.png,1,0.9259318709373474,1,1,0.672135591506958,0.97,1024,1024,224,224,164,420,307,567,36,92,67,124,795,21021,0.02004718780517578,0.8180137276649475,1.0,650.3209228515625
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/004.png,1,0.9259318709373474,2,1,0.672135591506958,0.97,1024,1024,224,224,736,722,869,869,161,158,190,190,711,19551,0.018645286560058594,0.7436949014663696,0.8290981650352478,528.76708984375
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/005.png,1,0.9706498384475708,1,1,0.7790064811706543,0.97,1024,1024,224,224,361,754,531,892,79,165,116,195,844,23460,0.022373199462890625,0.8854257464408875,1.0,747.29931640625
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/005.png,1,0.9706498384475708,2,1,0.7790064811706543,0.97,1024,1024,224,224,790,370,906,526,173,81,198,115,662,18096,0.0172576904296875,0.8594478368759155,0.9491186738014221,568.9544677734375
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/006.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/006.png,1,1.0,1,1,0.5872239470481873,0.97,1024,1024,224,224,603,722,796,942,132,158,174,206,1506,42460,0.040493011474609375,0.7722229361534119,1.0,1162.9677734375
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/007.png,1,1.0,1,1,0.7330215573310852,0.97,1024,1024,224,224,365,123,508,302,80,27,111,66,938,25597,0.02441120147705078,0.8603549599647522,1.0,807.012939453125
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/007.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/color/007.png,1,1.0,2,1,0.7330215573310852,0.97,1024,1024,224,224,690,763,796,910,151,167,174,199,568,15582,0.014860153198242188,0.7982790470123291,0.8726466298103333,453.4224853515625
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/000.png,1,1.0,1,1,0.6204663515090942,0.97,1024,1024,224,224,804,676,979,915,176,148,214,200,1506,41825,0.039887428283691406,0.7772229909896851,1.0,1170.497802734375
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/001.png,1,1.0,1,1,0.728473424911499,0.97,1024,1024,224,224,534,608,682,773,117,133,149,169,891,24420,0.023288726806640625,0.8481860160827637,1.0,755.7337646484375
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/001.png,1,1.0,2,1,0.728473424911499,0.97,1024,1024,224,224,178,329,293,476,39,72,64,104,615,16905,0.016121864318847656,0.7945417165756226,0.8687142133712769,488.6431579589844
MVTec AD,wood,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/wood/test/combined/002.png,1,0.7835595607757568,1,1,0.7931644916534424,0.97,1024,1024,224,224,489,553,618,704,107,121,135,154,702,19479,0.018576622009277344,0.87828129529953,0.986156702041626,616.553466796875
