category,num_test_images,num_normal,num_anomaly,image_auroc,image_ap,num_candidate_rows,num_images_with_candidates,candidate_coverage_rate,threshold_quantile,top_components,min_area,image_csv,candidate_csv,image_csv_rows,candidate_csv_rows,duplicate_paths
bottle,83,20,63,1.0,0.9999999999999997,140,83,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/bottle/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/bottle/candidate_regions.csv,83,140,0
cable,150,58,92,0.9853823088455772,0.9907141932740784,292,150,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/cable/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/cable/candidate_regions.csv,150,292,0
capsule,132,23,109,0.9804547267650578,0.9957108239840077,235,132,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/capsule/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/capsule/candidate_regions.csv,132,235,0
carpet,117,28,89,0.9907704654895666,0.9974808185873639,172,117,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/carpet/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/carpet/candidate_regions.csv,117,172,0
grid,78,21,57,0.9782790309106099,0.9934625348486719,167,78,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/grid/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/grid/candidate_regions.csv,78,167,0
hazelnut,110,40,70,1.0,0.9999999999999999,168,110,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/hazelnut/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/hazelnut/candidate_regions.csv,110,168,0
leather,124,32,92,1.0,1.0,184,124,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/leather/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/leather/candidate_regions.csv,124,184,0
metal_nut,115,22,93,0.9975562072336266,0.9994513934606101,226,115,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/metal_nut/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/metal_nut/candidate_regions.csv,115,226,0
pill,167,26,141,0.9424440807419531,0.989620321390541,326,167,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/pill/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/pill/candidate_regions.csv,167,326,0
screw,160,41,119,0.9833982373437179,0.9938951701714994,349,160,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/screw/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/screw/candidate_regions.csv,160,349,0
tile,117,33,84,0.9884559884559885,0.9965870558749815,205,117,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/tile/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/tile/candidate_regions.csv,117,205,0
toothbrush,42,12,30,1.0,1.0,72,42,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/toothbrush/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/toothbrush/candidate_regions.csv,42,72,0
transistor,100,60,40,0.9995833333333333,0.999390243902439,229,100,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/transistor/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/transistor/candidate_regions.csv,100,229,0
wood,79,19,60,0.986842105263158,0.9962783606851402,155,79,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/wood/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/wood/candidate_regions.csv,79,155,0
zipper,151,32,119,0.9900210084033614,0.9974809062551003,243,151,1.0,0.97,3,20,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/zipper/patchcore_image_predictions.csv,results/stage22_selective_qcr/mvtec15_rerun_patchcore/MVTecAD/zipper/candidate_regions.csv,151,243,0
