protocol,aggregation,comparison,claim_role,left_method,right_method,left_point_auroc,right_point_auroc,point_delta,iterations,bootstrap_mean_delta,bootstrap_median_delta,ci95_low,ci95_high,probability_delta_gt_zero,probability_delta_ge_zero,bootstrap_two_sided_p,ci_strictly_positive,ci_contains_zero,noninferior_at_minus_0_005
visa_patchcore_loco,mean_pooled_auc_over_backbones,SRB-QCR vs detector,reliability_mode_primary,S1,D0,0.9189405751905751,0.9131098406098406,0.005830734580734576,5000,0.005819916753291754,0.005806912681912524,0.004716292013167034,0.006984602390852298,1.0,1.0,0.0003999200159968006,True,False,True
visa_patchcore_loco,mean_pooled_auc_over_backbones,Quality QCR vs naive fusion,high_accuracy_mode_primary,V4,V3,0.9718425155925157,0.9616450103950103,0.010197505197505397,5000,0.01020308558558558,0.010199670824670826,0.008011889293139365,0.012442827442827323,1.0,1.0,0.0003999200159968006,True,False,True
visa_patchcore_loco,mean_pooled_auc_over_backbones,Adaptive QCR vs Quality QCR,adaptive_refinement_secondary,V6,V4,0.9721604296604296,0.9718425155925157,0.00031791406791392696,5000,0.0003177094594594605,0.0003161815661816836,0.00024341649341652616,0.00040107415107404343,1.0,1.0,0.0003999200159968006,True,False,True
visa_patchcore_loco,mean_pooled_auc_over_backbones,SRB-QCR vs Quality QCR,accuracy_efficiency_tradeoff,S1,V4,0.9189405751905751,0.9718425155925157,-0.05290194040194052,5000,-0.05295146162508662,-0.05293680699930697,-0.05981719941094943,-0.0465626082813581,0.0,0.0,0.0003999200159968006,False,False,False
visa_fastflow_frozen_transfer,mean_pooled_auc_over_backbones,SRB-QCR vs detector,reliability_mode_primary,S1,D0,0.9003248440748441,0.8954946292446293,0.004830214830214841,5000,0.00483328828828829,0.004825017325017333,0.003373494889119802,0.0063258619196120075,1.0,1.0,0.0003999200159968006,True,False,True
visa_fastflow_frozen_transfer,mean_pooled_auc_over_backbones,Quality QCR vs naive fusion,high_accuracy_mode_primary,V4,V3,0.9777971240471242,0.9688244975744976,0.008972626472626533,5000,0.009000553707553706,0.009003378378378446,0.006977607415107242,0.01116439275814257,1.0,1.0,0.0003999200159968006,True,False,True
visa_fastflow_frozen_transfer,mean_pooled_auc_over_backbones,Adaptive QCR vs Quality QCR,adaptive_refinement_secondary,V6,V4,0.978259702009702,0.9777971240471242,0.0004625779625778703,5000,0.0004635109147609145,0.00046171171171160985,0.0003594941094939852,0.000576056826056659,1.0,1.0,0.0003999200159968006,True,False,True
visa_fastflow_frozen_transfer,mean_pooled_auc_over_backbones,SRB-QCR vs Quality QCR,accuracy_efficiency_tradeoff,S1,V4,0.9003248440748441,0.9777971240471242,-0.07747227997228001,5000,-0.07757404556479557,-0.0776165107415106,-0.08649216042966028,-0.06829831514206533,0.0,0.0,0.0003999200159968006,False,False,False
ad2_frozen_transfer,mean_category_auc,SRB-QCR vs detector,reliability_mode_primary,S1,D0,0.7939220824598183,0.7853284416491964,0.008593640810621972,5000,0.008577125436757512,0.008238993710691755,-0.005713181341719137,0.024490609713487106,0.8756,0.8758,0.2491501699660068,False,True,False
ad2_frozen_transfer,mean_category_auc,Quality QCR vs naive fusion,high_accuracy_mode_primary,V4,V3,0.8191194968553459,0.828633822501747,-0.00951432564640109,5000,-0.009437180992313067,-0.009178895877009097,-0.031084337875611424,0.011271968902865255,0.1818,0.1818,0.3639272145570886,False,True,False
ad2_frozen_transfer,mean_category_auc,Adaptive QCR vs Quality QCR,adaptive_refinement_secondary,V6,V4,0.8193815513626834,0.8191194968553459,0.0002620545073375169,5000,0.00026137316561844893,0.0,-1.1102230246251565e-16,0.0015723270440251014,0.4334,0.9708,1.0,False,True,True
ad2_frozen_transfer,mean_category_auc,SRB-QCR vs Quality QCR,accuracy_efficiency_tradeoff,S1,V4,0.7939220824598183,0.8191194968553459,-0.025197414395527584,5000,-0.024716457023060804,-0.024578965758211058,-0.08586875436757503,0.03555407058001383,0.2074,0.2074,0.41511697660467906,False,True,False
