category,full_images,selective_images,calls_saved,selective_call_rate,unmatched_images,source_predictions,selective_predictions
candle,200,73,127,0.365,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/candle/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/candle/patchcore_image_predictions.csv
capsules,160,83,77,0.51875,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/capsules/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/capsules/patchcore_image_predictions.csv
cashew,150,36,114,0.24,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/cashew/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/cashew/patchcore_image_predictions.csv
chewinggum,150,99,51,0.66,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/chewinggum/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/chewinggum/patchcore_image_predictions.csv
fryum,150,84,66,0.56,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/fryum/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/fryum/patchcore_image_predictions.csv
macaroni1,200,95,105,0.475,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/macaroni1/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/macaroni1/patchcore_image_predictions.csv
macaroni2,200,97,103,0.485,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/macaroni2/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/macaroni2/patchcore_image_predictions.csv
pcb1,200,76,124,0.38,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/pcb1/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/pcb1/patchcore_image_predictions.csv
pcb2,200,21,179,0.105,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/pcb2/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/pcb2/patchcore_image_predictions.csv
pcb3,201,82,119,0.4079601990049751,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/pcb3/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/pcb3/patchcore_image_predictions.csv
pcb4,201,51,150,0.2537313432835821,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/pcb4/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/pcb4/patchcore_image_predictions.csv
pipe_fryum,150,93,57,0.62,0,/root/private_data/iad-vlm-anomaly/results/stage7_generalization/visa_patchcore/VisA/pipe_fryum/patchcore_image_predictions.csv,/root/private_data/iad-vlm-anomaly/results/stage22_selective_qcr/stage22_c2b_selective_runtime_view/VisA/pipe_fryum/patchcore_image_predictions.csv
