dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,1,0.928555673010209,70,45,88,64,78.54,55.36,254,0.958506,1.000000,0.149606,0.260274
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,2,0.928555673010209,62,138,70,145,66.16,141.33,55,0.939398,0.951833,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_000.JPG,3,0.928555673010209,180,149,185,157,182.55,153.23,47,0.939954,0.950550,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_001.JPG,1,0.928555673010209,61,161,82,189,71.10,176.26,456,0.965044,1.000000,0.105263,0.190476
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,1,0.928555673010209,78,56,94,66,86.71,60.96,141,0.961198,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,2,0.928555673010209,31,60,42,72,36.06,65.35,109,0.944945,0.963232,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_002.JPG,3,0.928555673010209,194,122,197,131,195.51,126.37,35,0.934742,0.940422,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,1,0.928555673010209,150,50,182,71,167.33,59.72,449,0.959532,0.994309,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,2,0.928555673010209,112,25,133,50,121.46,38.79,364,0.960996,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_003.JPG,3,0.928555673010209,198,169,204,179,201.58,174.00,59,0.944072,0.957925,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,1,0.928555673010209,163,165,199,194,183.21,176.45,634,0.959821,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,2,0.928555673010209,190,112,200,128,195.06,120.62,130,0.947825,0.968123,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_004.JPG,3,0.928555673010209,144,193,149,198,146.58,195.50,26,0.937375,0.945656,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,1,0.928555673010209,59,18,103,52,82.47,36.61,623,0.959344,1.000000,0.003044,0.006070
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,2,0.928555673010209,175,98,206,122,192.23,112.69,426,0.953386,0.995415,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_005.JPG,3,0.928555673010209,26,149,45,169,35.20,159.56,226,0.956896,0.980610,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_006.JPG,1,0.928555673010209,190,73,203,89,196.34,81.25,161,0.961671,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_006.JPG,2,0.928555673010209,193,104,201,125,197.42,115.00,146,0.944558,0.965340,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_006.JPG,3,0.928555673010209,50,56,63,71,57.07,64.07,124,0.942961,0.960548,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_007.JPG,1,0.928555673010209,52,16,86,54,68.24,35.29,733,0.959592,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_007.JPG,2,0.928555673010209,197,66,208,83,202.73,74.95,169,0.946721,0.965880,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_007.JPG,3,0.928555673010209,194,144,199,152,196.44,148.31,39,0.939068,0.950781,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_008.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_008.JPG,1,0.928555673010209,43,34,70,52,57.48,42.92,394,0.963239,1.000000,0.000000,0.000000
VisA,capsules,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_008.JPG,datasets/VisA_anomalib_1cls/capsules/test/anomaly/capsules_test_anomaly_008.JPG,2,0.928555673010209,30,103,36,112,33.13,107.58,55,0.939162,0.950405,0.000000,0.000000
