dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_000.JPG,1,0.8395644484781751,88,143,104,160,95.93,151.30,243,0.916562,1.000000,0.197605,0.330000
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_001.JPG,1,0.8395644484781751,108,140,125,157,116.62,148.95,225,0.914017,1.000000,0.123134,0.219269
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_002.JPG,1,0.8395644484781751,100,150,124,170,111.82,159.83,394,0.914753,1.000000,0.322134,0.487294
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_002.JPG,2,0.8395644484781751,201,198,209,209,204.92,203.77,87,0.864527,0.890659,0.000000,0.000000
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_003.JPG,1,0.8395644484781751,118,116,141,141,128.33,127.52,465,0.911340,1.000000,0.000000,0.000000
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_003.JPG,2,0.8395644484781751,77,133,88,142,82.69,137.74,89,0.863047,0.889932,0.307692,0.470588
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_004.JPG,1,0.8395644484781751,72,127,90,149,81.31,138.21,333,0.914869,1.000000,0.232955,0.377880
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_005.JPG,1,0.8395644484781751,144,81,167,111,154.63,95.45,562,0.915118,1.000000,0.173765,0.296081
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_006.JPG,1,0.8395644484781751,177,74,194,93,185.08,82.96,285,0.915245,1.000000,0.156658,0.270880
VisA,cashew,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/cashew/test/anomaly/cashew_test_anomaly_007.JPG,1,0.8395644484781751,89,135,107,154,97.76,144.56,295,0.914728,1.000000,0.176271,0.299712
