category,variant_id,method,num_images,auroc,ap,best_f1
fruit_jelly,D0,Detector only,40,0.7166666666666667,0.910461401382017,0.8695652173913043
fruit_jelly,M0,Crop VLM only,40,0.8566666666666668,0.955646842818689,0.8852459016393442
fruit_jelly,V3,Naive detector-crop fusion,40,0.8766666666666668,0.9641684343877326,0.9
fruit_jelly,V4,Old Quality-Calibrated QCR,40,0.8833333333333333,0.9660999043192026,0.9
fruit_jelly,V6,Old Adaptive QCR,40,0.8833333333333333,0.9660999043192026,0.9
fruit_jelly,S1,SRB-QCR frozen transfer,40,0.7466666666666667,0.9230399844813924,0.8695652173913043
sheet_metal,D0,Detector only,57,0.7462962962962963,0.9259539089335671,0.8910891089108911
sheet_metal,M0,Crop VLM only,57,0.587037037037037,0.8096274173023639,0.8823529411764706
sheet_metal,V3,Naive detector-crop fusion,57,0.7425925925925927,0.9206733463382989,0.9
sheet_metal,V4,Old Quality-Calibrated QCR,57,0.6537037037037037,0.886955109943296,0.9
sheet_metal,V6,Old Adaptive QCR,57,0.6537037037037037,0.886955109943296,0.9
sheet_metal,S1,SRB-QCR frozen transfer,57,0.7425925925925926,0.9269730554842409,0.8910891089108911
vial,D0,Detector only,71,0.8731656184486374,0.9525488479575177,0.9298245614035088
vial,M0,Crop VLM only,71,0.5230607966457024,0.8041024863423215,0.8548387096774194
vial,V3,Naive detector-crop fusion,71,0.9182389937106918,0.9722087689069248,0.9203539823008849
vial,V4,Old Quality-Calibrated QCR,71,0.9475890985324947,0.9808282638604192,0.9454545454545454
vial,V6,Old Adaptive QCR,71,0.9486373165618449,0.9811459056874949,0.9454545454545454
vial,S1,SRB-QCR frozen transfer,71,0.8805031446540881,0.9555590664326625,0.9298245614035088
walnuts,D0,Detector only,75,0.8051851851851852,0.8852999224044822,0.7962962962962963
walnuts,M0,Crop VLM only,75,0.6429629629629628,0.7579855989513197,0.7563025210084033
walnuts,V3,Naive detector-crop fusion,75,0.777037037037037,0.8739369442687376,0.7758620689655172
walnuts,V4,Old Quality-Calibrated QCR,75,0.7918518518518518,0.8833820432526954,0.7787610619469026
walnuts,V6,Old Adaptive QCR,75,0.7918518518518518,0.8833820432526954,0.7787610619469026
walnuts,S1,SRB-QCR frozen transfer,75,0.8059259259259259,0.8873657190602704,0.782608695652174
