dataset,category,split,label,source_image_path,view_image_path,source_mask_path,view_mask_path,image_status,mask_status
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0836.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0836.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0451.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0451.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0516.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0516.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0977.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0977.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0249.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0249.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0548.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0548.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0362.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0362.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0074.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0074.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0650.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0650.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0898.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0898.JPG,,,linked,
VisA,candle,train,normal,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0397.JPG,datasets/VisA_anomalib_1cls/candle/train/good/candle_train_normal_0397.JPG,,,linked,
