dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,candle,generic_binary,full_all,200,200,100,100,200,0,1.0,0.43990000000000007,0.45267190653545475,0.6736111111111112,0.53,-0.005718842148780823
VisA,capsules,generic_binary,full_all,160,160,60,100,160,0,1.0,0.563,0.7003018729846128,0.7692307692307693,0.625,-0.016416296362876892
VisA,cashew,generic_binary,full_all,150,150,50,100,150,0,1.0,0.7756,0.8671783254227351,0.825531914893617,0.7266666666666667,-0.010116010904312134
VisA,chewinggum,generic_binary,full_all,150,150,50,100,150,0,1.0,0.8294,0.91842699037118,0.835820895522388,0.78,-0.013767987489700317
VisA,fryum,generic_binary,full_all,150,150,50,100,150,0,1.0,0.5801999999999999,0.7840187966558099,0.8,0.6666666666666666,-0.020210519433021545
VisA,macaroni1,generic_binary,full_all,200,200,100,100,200,0,1.0,0.4729,0.5241222557290788,0.6666666666666666,0.5,-0.01621873676776886
VisA,macaroni2,generic_binary,full_all,200,200,100,100,200,0,1.0,0.5441,0.5538346375055951,0.6832740213523132,0.555,-0.009464934468269348
VisA,pcb1,generic_binary,full_all,200,200,100,100,200,0,1.0,0.4145,0.4421327037472195,0.6688963210702341,0.505,-0.011961102485656738
VisA,pcb2,generic_binary,full_all,200,200,100,100,200,0,1.0,0.4714,0.5084876648812413,0.6666666666666666,0.5,-0.012168347835540771
VisA,pcb3,generic_binary,full_all,201,201,101,100,201,0,1.0,0.5617821782178217,0.5755901216119562,0.6711409395973155,0.5124378109452736,-0.007043734192848206
VisA,pcb4,generic_binary,full_all,201,201,101,100,201,0,1.0,0.5102970297029703,0.5748256477155488,0.6644518272425249,0.4975124378109453,-0.009852185845375061
VisA,pipe_fryum,generic_binary,full_all,150,150,50,100,150,0,1.0,0.8862,0.9442681819854635,0.8613861386138614,0.8133333333333334,-0.015297263860702515
VisA,candle,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.8141,0.8501708339504639,0.7454545454545455,0.72,-0.0005828142166137695
VisA,capsules,generic_binary,crop_or_full,160,160,60,100,100,60,0.625,0.9994999999999999,0.9997087378640777,0.9949748743718593,0.99375,-0.007970064878463745
VisA,cashew,generic_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9932,0.9965960478311418,0.9705882352941176,0.96,-0.005492359399795532
VisA,chewinggum,generic_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.00819791853427887
VisA,fryum,generic_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.012840256094932556
VisA,macaroni1,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9968999999999999,0.9972118672860761,0.9797979797979798,0.98,-0.008468270301818848
VisA,macaroni2,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9101,0.9266409523974891,0.8275862068965517,0.825,-0.004274219274520874
VisA,pcb1,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.6617999999999999,0.776721360778416,0.6666666666666666,0.5,-0.01794704794883728
VisA,pcb2,generic_binary,crop_or_full,200,200,100,100,100,100,0.5,0.5357000000000001,0.6696565182565615,0.6666666666666666,0.5,-0.017492249608039856
VisA,pcb3,generic_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.6592079207920791,0.7771108299878668,0.6644518272425249,0.4975124378109453,-0.010052040219306946
VisA,pcb4,generic_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.8280198019801981,0.8652966035884389,0.7562189054726368,0.7562189054726368,-0.0036294907331466675
VisA,pipe_fryum,generic_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.01070353388786316
VisA,candle,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.8277000000000001,0.8600893345029246,0.7567567567567568,0.73,-0.0005828142166137695
VisA,capsules,generic_binary,crop_topk_ensemble,160,160,60,100,100,60,0.625,0.9994999999999999,0.9997087378640777,0.9949748743718593,0.99375,-0.00672873854637146
VisA,cashew,generic_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9958,0.9978621324652066,0.9801980198019802,0.9733333333333334,-0.004412055015563965
VisA,chewinggum,generic_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.00819791853427887
VisA,fryum,generic_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.012840256094932556
VisA,macaroni1,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9977,0.9979652292152292,0.9849246231155779,0.985,-0.008468270301818848
VisA,macaroni2,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9261,0.9408663854040582,0.8481675392670157,0.855,-0.0033810287714004517
VisA,pcb1,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.6909000000000001,0.7984145175825816,0.6888888888888889,0.72,-0.005165711045265198
VisA,pcb2,generic_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.5615999999999999,0.6889775072255524,0.6666666666666666,0.5,-0.017492249608039856
VisA,pcb3,generic_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.7189108910891089,0.8186091464808435,0.7150837988826816,0.746268656716418,-0.002299100160598755
