category,split,label,num_images,num_masks,num_missing_images
candle,test,anomaly,100,100,0
candle,test,normal,100,0,0
candle,train,normal,900,0,0
capsules,test,anomaly,100,100,0
capsules,test,normal,60,0,0
capsules,train,normal,542,0,0
cashew,test,anomaly,100,100,0
cashew,test,normal,50,0,0
cashew,train,normal,450,0,0
chewinggum,test,anomaly,100,100,0
chewinggum,test,normal,50,0,0
chewinggum,train,normal,453,0,0
fryum,test,anomaly,100,100,0
fryum,test,normal,50,0,0
fryum,train,normal,450,0,0
macaroni1,test,anomaly,100,100,0
macaroni1,test,normal,100,0,0
macaroni1,train,normal,900,0,0
macaroni2,test,anomaly,100,100,0
macaroni2,test,normal,100,0,0
macaroni2,train,normal,900,0,0
pcb1,test,anomaly,100,100,0
pcb1,test,normal,100,0,0
pcb1,train,normal,904,0,0
pcb2,test,anomaly,100,100,0
pcb2,test,normal,100,0,0
pcb2,train,normal,901,0,0
pcb3,test,anomaly,100,100,0
pcb3,test,normal,101,0,0
pcb3,train,normal,905,0,0
pcb4,test,anomaly,100,100,0
pcb4,test,normal,101,0,0
pcb4,train,normal,904,0,0
pipe_fryum,test,anomaly,100,100,0
pipe_fryum,test,normal,50,0,0
pipe_fryum,train,normal,450,0,0
