dataset,category,num_test_images,num_test_normal,num_test_anomaly,image_auroc,image_ap,image_best_f1,image_best_threshold,pixel_auroc,pixel_ap,pixel_best_f1,pixel_best_threshold
VisA,candle,200,100,100,0.9638,0.9659291762956388,0.9154228855721394,0.5,0.9825139634053389,0.15592726792782594,0.24525298135926826,0.7645455199129437
VisA,capsules,160,60,100,0.7574166666666666,0.8606336393834351,0.7747035573122529,0.5,0.9584680637800539,0.14442933706445177,0.2353510074231177,0.734467873152564
VisA,cashew,150,50,100,0.8922,0.9483757652879192,0.8815165876777251,0.5,0.944730136857049,0.17502939451813623,0.25787804499938255,0.6269269590284309
VisA,chewinggum,150,50,100,0.9898,0.9960090763761805,0.9847715736040609,0.5,0.9864846933546345,0.279498460072604,0.3963475109670036,0.7132553173046478
VisA,fryum,150,50,100,0.9496,0.9762500544261796,0.9178743961352657,0.5,0.7569139181200492,0.09793523189259425,0.17490558290495611,0.5808442213956045
VisA,macaroni1,200,100,100,0.8792,0.8623662248338239,0.8230088495575221,0.5,0.9822647115670049,0.1000850450813989,0.10508510789829784,0.6390218066234215
VisA,macaroni2,200,100,100,0.7208,0.7528116034031653,0.7121212121212122,0.5,0.9584062903307535,0.036539829087185074,0.05904499873293994,0.703982193329755
VisA,pcb1,200,100,100,0.8936000000000001,0.8922699141201902,0.8468468468468469,0.5,0.9883611783485767,0.3785010001711145,0.4487591098306823,0.70034660802168
VisA,pcb2,200,100,100,0.8775999999999999,0.909227954918177,0.8279569892473119,0.5,0.9669212309542216,0.12122269227516613,0.20718713800170577,0.7837759490106619
VisA,pcb3,201,101,100,0.8868316831683168,0.8924080114235599,0.8262910798122066,0.5,0.9695882008086232,0.15666350111397317,0.24381392279775652,0.7901314976168615
VisA,pcb4,201,101,100,0.9384158415841585,0.9187090870239387,0.909952606635071,0.5,0.9675419529580317,0.26072326703505977,0.3536159889702207,0.7576353211028903
VisA,pipe_fryum,150,50,100,0.9714,0.9861322585320341,0.9359605911330049,0.5,0.9512280937082426,0.26405821047642875,0.3608027841344904,0.6480520554617337
VisA,MEAN,2162,962,1200,0.8933886826182619,0.9134268971686867,0.8630355979712183,,0.9511185361827151,0.18088443639299487,0.25733701483498517,
