dataset,category,strategy,eval_mode,num_images_total,num_images_used,num_normal,num_anomaly,covered_count,fallback_count,coverage_ratio,auroc,ap,best_f1,best_accuracy,best_threshold
VisA,candle,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.8175,0.8339928724459613,0.7536231884057971,0.745,-0.002624005079269409
VisA,capsules,inspection_binary,full_all,160,160,60,100,160,0,1.0,0.5521666666666666,0.6769763233703319,0.7722007722007722,0.63125,-0.020163774490356445
VisA,cashew,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.5944999999999999,0.7697758487439564,0.8016528925619835,0.68,-0.015921473503112793
VisA,chewinggum,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.8287999999999999,0.9058927181697194,0.8436018957345972,0.78,-0.008862882852554321
VisA,fryum,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.487,0.7123898617480776,0.8,0.6666666666666666,-0.009056389331817627
VisA,macaroni1,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.5219,0.5705529412644721,0.6735395189003437,0.525,-0.009740173816680908
VisA,macaroni2,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.3939,0.45206667035402043,0.6666666666666666,0.5,-0.014641106128692627
VisA,pcb1,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.3715,0.4097810605576349,0.6688963210702341,0.505,-0.004331529140472412
VisA,pcb2,inspection_binary,full_all,200,200,100,100,200,0,1.0,0.564,0.5983078435298201,0.6666666666666666,0.5,-0.00888592004776001
VisA,pcb3,inspection_binary,full_all,201,201,101,100,201,0,1.0,0.5782178217821782,0.5841223526824348,0.6713286713286714,0.5323383084577115,-0.006357312202453613
VisA,pcb4,inspection_binary,full_all,201,201,101,100,201,0,1.0,0.8018811881188119,0.8347051577269312,0.7555555555555555,0.7263681592039801,-0.003113001585006714
VisA,pipe_fryum,inspection_binary,full_all,150,150,50,100,150,0,1.0,0.6285999999999999,0.8068344289490916,0.8,0.6666666666666666,-0.0005045831203460693
VisA,candle,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9571000000000001,0.9617792228338695,0.9073170731707317,0.905,-0.0017167627811431885
VisA,capsules,inspection_binary,crop_or_full,160,160,60,100,100,60,0.625,1.0,1.0,1.0,1.0,-0.011202365159988403
VisA,cashew,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.01002243161201477
VisA,chewinggum,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9966,0.9982977252446124,0.99,0.9866666666666667,-0.003937453031539917
VisA,fryum,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.9902000000000001,0.9959479591836735,0.98,0.9733333333333334,-0.0036062896251678467
VisA,macaroni1,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9640000000000001,0.9746151065646187,0.9346733668341709,0.935,-0.005643278360366821
VisA,macaroni2,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.8122,0.8449905844252583,0.7641509433962265,0.75,-0.0062580406665802
VisA,pcb1,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.5733,0.6395362453215383,0.6666666666666666,0.5,-0.006229430437088013
VisA,pcb2,inspection_binary,crop_or_full,200,200,100,100,100,100,0.5,0.9846,0.988775875468992,0.9591836734693877,0.96,-0.005246490240097046
VisA,pcb3,inspection_binary,crop_or_full,201,201,101,100,99,102,0.4925373134328358,0.6986138613861386,0.7604943301146301,0.6735751295336787,0.6865671641791045,-0.004628568887710571
VisA,pcb4,inspection_binary,crop_or_full,201,201,101,100,100,101,0.4975124378109453,0.7338613861386138,0.8200325424924906,0.735632183908046,0.7711442786069652,-0.002395719289779663
VisA,pipe_fryum,inspection_binary,crop_or_full,150,150,50,100,100,50,0.6666666666666666,0.7382,0.8730905015171623,0.8,0.6666666666666666,0.0010703206062316895
VisA,candle,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9661,0.9707877167393195,0.9230769230769231,0.92,-0.0017167627811431885
VisA,capsules,inspection_binary,crop_topk_ensemble,160,160,60,100,100,60,0.625,1.0,1.0,1.0,1.0,-0.010160267353057861
VisA,cashew,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.002856701612472534
VisA,chewinggum,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.9978,0.9989396506916816,0.99,0.9866666666666667,-0.003535747528076172
VisA,fryum,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,1.0,1.0,1.0,1.0,-0.0017547905445098877
VisA,macaroni1,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9931000000000001,0.9936005666935714,0.964824120603015,0.965,-0.005075633525848389
VisA,macaroni2,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.8886,0.9169178034424986,0.8282828282828283,0.83,-0.0054975152015686035
VisA,pcb1,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.7175,0.7256316349767247,0.710204081632653,0.645,-0.0017294585704803467
VisA,pcb2,inspection_binary,crop_topk_ensemble,200,200,100,100,100,100,0.5,0.9858,0.989987398342653,0.9644670050761421,0.965,-0.005240023136138916
VisA,pcb3,inspection_binary,crop_topk_ensemble,201,201,101,100,99,102,0.4925373134328358,0.7998019801980198,0.8390263629875714,0.7513812154696132,0.7761194029850746,-0.003946572542190552
VisA,pcb4,inspection_binary,crop_topk_ensemble,201,201,101,100,100,101,0.4975124378109453,0.8773267326732673,0.9206559967582821,0.8717948717948718,0.8756218905472637,-0.002392381429672241
VisA,pipe_fryum,inspection_binary,crop_topk_ensemble,150,150,50,100,100,50,0.6666666666666666,0.8402,0.9222877910683902,0.8468468468468469,0.7733333333333333,0.006092160940170288
VisA,MEAN,inspection_binary,crop_topk_ensemble,2162,2162,962,1200,1199,963,0.5545790934320074,0.9221857260726072,0.9398195768083911,0.9042398243985746,0.8947284411276949,
VisA,MEAN,inspection_binary,crop_or_full,2162,2162,962,1200,1199,963,0.5545790934320074,0.8703729372937294,0.904652046331397,0.8671811592792308,0.8439759535655057,
VisA,MEAN,inspection_binary,full_all,2162,2162,962,1200,2162,0,1.0,0.5949971397139714,0.6796165066285377,0.7394776790909408,0.6215241500829187,
