dataset,category,image_path,canonical_image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_000.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_000.JPG,1,0.8687816206146692,72,129,91,152,81.21,140.61,377,0.932452,1.000000,0.476648,0.645581
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_001.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_001.JPG,1,0.8687816206146692,71,99,98,118,84.21,108.58,421,0.930163,1.000000,0.325495,0.491130
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_002.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_002.JPG,1,0.8687816206146692,62,129,83,165,73.10,146.29,584,0.934917,1.000000,0.185941,0.313576
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_003.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_003.JPG,1,0.8687816206146692,101,158,118,179,109.94,168.59,303,0.929941,1.000000,0.544304,0.704918
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_004.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_004.JPG,1,0.8687816206146692,101,106,135,128,118.25,117.79,630,0.931260,1.000000,0.471831,0.641148
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_005.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_005.JPG,1,0.8687816206146692,88,92,116,112,101.73,101.96,470,0.930047,1.000000,0.445989,0.616864
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_006.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_006.JPG,1,0.8687816206146692,82,115,113,153,95.90,131.32,848,0.930924,1.000000,0.391304,0.562500
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_007.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_007.JPG,1,0.8687816206146692,89,151,116,174,102.50,162.92,497,0.933076,1.000000,0.606658,0.755180
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_008.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_008.JPG,1,0.8687816206146692,58,147,80,173,68.88,160.58,482,0.932539,1.000000,0.205357,0.340741
VisA,chewinggum,/root/private_data/iad-vlm-anomaly/datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_009.JPG,datasets/VisA_anomalib_1cls/chewinggum/test/anomaly/chewinggum_test_anomaly_009.JPG,1,0.8687816206146692,81,125,107,145,94.01,135.14,431,0.931217,1.000000,0.588968,0.741321
