dataset,category,num_test_images,num_test_normal,num_test_anomaly,image_auroc,image_ap,image_best_f1,image_best_threshold,pixel_auroc,pixel_ap,pixel_best_f1,pixel_best_threshold
VisA,candle,200,100,100,0.984,0.9848109252857524,0.945273631840796,0.5,0.9687165845474818,0.08924402870743386,0.17564793205706364,0.9126894020566756
VisA,capsules,160,60,100,0.6995,0.8378051471366801,0.7777777777777778,0.5,0.8909467537191353,0.06338748045570486,0.13696612665684832,0.928555673010209
VisA,cashew,150,50,100,0.966,0.9829735785810191,0.9313725490196079,0.5,0.7595604975733369,0.07603542168753255,0.14440869332899672,0.8395644484781751
VisA,chewinggum,150,50,100,0.9918,0.9963432307459067,0.9746192893401016,0.5,0.9663685546040528,0.31240309535038546,0.3928281376897607,0.8687816206146692
VisA,fryum,150,50,100,0.9543999999999999,0.9791647967969028,0.9148936170212766,0.5,0.7141199785247918,0.07860288059702965,0.1352833718790658,0.7466744170469397
VisA,macaroni1,200,100,100,0.8661000000000001,0.8558898153534567,0.8130841121495327,0.5,0.948624820717164,0.04240059297373037,0.08436657070970374,0.9206287928656036
VisA,macaroni2,200,100,100,0.7119,0.6993641602994669,0.72,0.5,0.9640521985576904,0.021923486407097542,0.05699206000138892,0.9140367919323503
VisA,pcb1,200,100,100,0.9436,0.9389364335340876,0.8771929824561403,0.5,0.9274319482884167,0.11992414403093608,0.22039501932159725,0.8944376592542616
VisA,pcb2,200,100,100,0.93045,0.9115434291637904,0.863849765258216,0.5,0.9148608259133388,0.06712714548516116,0.1465644264020448,0.9363853281619505
VisA,pcb3,201,101,100,0.933069306930693,0.9358632057164367,0.8571428571428571,0.5,0.9640900274763677,0.12807437191673593,0.22211537605399292,0.872686465581261
VisA,pcb4,201,101,100,0.9905940594059406,0.9904336260134786,0.9560975609756097,0.5,0.8709612503425691,0.14429573090870024,0.24571620562213015,0.8798982886707082
VisA,pipe_fryum,150,50,100,0.9936,0.9970635344852196,0.9801980198019802,0.5,0.8756602392069003,0.12719511651660514,0.21556728611014064,0.778431623589759
VisA,MEAN,2162,962,1200,0.9137511138613864,0.9258493235926832,0.8842918468986579,,0.8971161399559371,0.10588445791975441,0.1814042671527278,
