backbone,strategy,eval_mode,debiased_method,category,num_images,num_normal,num_anomaly,has_both_classes,candidate_coverage,auroc,ap,best_f1,best_accuracy,best_threshold,vlm_only_auroc,vlm_only_ap,vlm_only_best_f1,vlm_only_best_accuracy,delta_auroc_vs_vlm,delta_ap_vs_vlm,delta_best_f1_vs_vlm
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,candle,200,100,100,True,0.5,0.9977,0.9980634527089072,0.99,0.99,0.31217894951807645,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.04060000000000008,0.03628422987503788,0.08268292682926826
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,candle,200,100,100,True,0.5,0.995,1.0,0.9949748743718593,0.995,0.1719393430515501,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.037900000000000045,0.038220777166130704,0.08765780120112754
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,candle,200,100,100,True,0.5,0.9915,0.9944443938768078,0.9850746268656716,0.985,0.29592755803643994,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.0344000000000001,0.032665171042938534,0.07775755369493986
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,candle,200,100,100,True,0.5,0.9829,0.9867514633013303,0.96,0.96,0.3569492817592583,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.025800000000000045,0.02497224046746105,0.05268292682926823
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,candle,200,100,100,True,0.5,0.9824,0.9857846494936986,0.9595959595959596,0.96,0.32111292658125223,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.0253000000000001,0.0240054266598293,0.05227888642522782
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,candle,200,100,100,True,0.5,0.9689,0.9716138750366771,0.9306930693069307,0.93,0.33239400640576766,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.011800000000000033,0.00983465220280777,0.023375996136199007
FastFlow,inspection_binary,crop_or_full,detector_only,candle,200,100,100,True,0.5,0.9638,0.9659291762956387,0.9154228855721394,0.915,0.5039169373442006,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.006700000000000039,0.0041499534617693845,0.00810581240140762
FastFlow,inspection_binary,crop_or_full,vlm_only,candle,200,100,100,True,0.5,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.269991700224405,0.9571,0.9617792228338693,0.9073170731707317,0.905,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,candle,200,100,100,True,0.5,0.9522,0.958243276819008,0.8955223880597015,0.895,0.2732782035041388,0.9571,0.9617792228338693,0.9073170731707317,0.905,-0.004899999999999904,-0.003535946014861291,-0.011794685111030212
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,candle,200,100,100,True,0.5,0.67,0.820169553147701,0.8023952095808383,0.835,0.5022877692205029,0.9571,0.9617792228338693,0.9073170731707317,0.905,-0.2870999999999999,-0.14160966968616828,-0.10492186358989342
FastFlow,inspection_binary,crop_or_full,vlm_only,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.3860998126540172,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.41603466532248995,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.43551131234151497,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.41603466532248995,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.43551131234151497,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.38690404977606735,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,capsules,160,60,100,True,0.625,1.0,1.0,1.0,1.0,0.4081057424163792,1.0,1.0,1.0,1.0,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,capsules,160,60,100,True,0.625,0.995,1.0,0.9949748743718593,0.99375,0.0810847236964087,1.0,1.0,1.0,1.0,-0.0050000000000000044,0.0,-0.005025125628140725
FastFlow,inspection_binary,crop_or_full,candidate_quality_neutral,capsules,160,60,100,True,0.625,0.87,0.9493207185308442,0.93048128342246,0.91875,0.5035324270762164,1.0,1.0,1.0,1.0,-0.13,-0.05067928146915579,-0.06951871657754005
FastFlow,inspection_binary,crop_or_full,detector_only,capsules,160,60,100,True,0.625,0.7574166666666666,0.8703558616056573,0.7747035573122529,0.64375,0.1002806539074088,1.0,1.0,1.0,1.0,-0.24258333333333337,-0.12964413839434275,-0.22529644268774707
FastFlow,inspection_binary,crop_or_full,qcr_u_original_fixed,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.24665914438223743,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0041999999999999815,0.001735537190082681,0.005025125628140725
FastFlow,inspection_binary,crop_or_full,qcr_u_original_detector_aware,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3337245137991471,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0041999999999999815,0.001735537190082681,0.005025125628140725
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_detector_aware,cashew,150,50,100,True,0.6666666666666666,1.0,1.0,1.0,1.0,0.3337245137991471,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0041999999999999815,0.001735537190082681,0.005025125628140725
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_detector_aware,cashew,150,50,100,True,0.6666666666666666,0.9994,0.9997087378640777,0.9949748743718593,0.9933333333333333,0.3552109231714625,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0035999999999999366,0.0014442750541603377,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_neutral_q_fixed,cashew,150,50,100,True,0.6666666666666666,0.9986,0.9993457943925234,0.9949748743718593,0.9933333333333333,0.3538975883050806,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0028000000000000247,0.0010813315826060377,0.0
FastFlow,inspection_binary,crop_or_full,vlm_only,cashew,150,50,100,True,0.6666666666666666,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.2643005906028793,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,0.0,0.0,0.0
FastFlow,inspection_binary,crop_or_full,candidate_quality_original,cashew,150,50,100,True,0.6666666666666666,0.995,1.0,0.9949748743718593,0.9933333333333333,0.2404036964837383,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.0008000000000000229,0.001735537190082681,0.0
FastFlow,inspection_binary,crop_or_full,qcr_u_no_q_fixed,cashew,150,50,100,True,0.6666666666666666,0.9946,0.9978365079365079,0.99,0.9866666666666667,0.23999486705164827,0.9958,0.9982644628099173,0.9949748743718593,0.9933333333333333,-0.0011999999999999789,-0.0004279548734094085,-0.004974874371859284
