image_id,category,method,candidate,x,y,right,bottom,native_x,native_y,native_right,native_bottom
0230568537d49a20054718fc,capsules,top8,0,82,192,210,320,240,375,616,625
0230568537d49a20054718fc,capsules,top8,1,384,0,512,128,1125,0,1500,250
0230568537d49a20054718fc,capsules,top8,2,384,108,512,236,1125,210,1500,461
0230568537d49a20054718fc,capsules,top8,3,362,82,490,210,1060,160,1436,411
0230568537d49a20054718fc,capsules,top8,4,180,252,308,380,527,492,903,743
0230568537d49a20054718fc,capsules,top8,5,384,384,512,512,1125,750,1500,1000
0230568537d49a20054718fc,capsules,top8,6,224,34,352,162,656,66,1032,317
0230568537d49a20054718fc,capsules,top8,7,340,211,468,339,996,412,1372,663
0230568537d49a20054718fc,capsules,grid8,0,0,64,128,192,0,125,375,375
0230568537d49a20054718fc,capsules,grid8,1,128,64,256,192,375,125,750,375
0230568537d49a20054718fc,capsules,grid8,2,256,64,384,192,750,125,1125,375
0230568537d49a20054718fc,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0230568537d49a20054718fc,capsules,grid8,4,0,320,128,448,0,625,375,875
0230568537d49a20054718fc,capsules,grid8,5,128,320,256,448,375,625,750,875
0230568537d49a20054718fc,capsules,grid8,6,256,320,384,448,750,625,1125,875
0230568537d49a20054718fc,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0230568537d49a20054718fc,capsules,mixed8,0,82,192,210,320,240,375,616,625
0230568537d49a20054718fc,capsules,mixed8,1,384,0,512,128,1125,0,1500,250
0230568537d49a20054718fc,capsules,mixed8,2,384,108,512,236,1125,210,1500,461
0230568537d49a20054718fc,capsules,mixed8,3,362,82,490,210,1060,160,1436,411
0230568537d49a20054718fc,capsules,mixed8,4,64,64,192,192,187,125,563,375
0230568537d49a20054718fc,capsules,mixed8,5,320,64,448,192,937,125,1313,375
0230568537d49a20054718fc,capsules,mixed8,6,64,320,192,448,187,625,563,875
0230568537d49a20054718fc,capsules,mixed8,7,320,320,448,448,937,625,1313,875
034819db59fed268623329cd,capsules,top8,0,163,76,291,204,477,148,853,399
034819db59fed268623329cd,capsules,top8,1,85,39,213,167,249,76,625,327
034819db59fed268623329cd,capsules,top8,2,384,208,512,336,1125,406,1500,657
034819db59fed268623329cd,capsules,top8,3,280,198,408,326,820,386,1196,637
034819db59fed268623329cd,capsules,top8,4,118,209,246,337,345,408,721,659
034819db59fed268623329cd,capsules,top8,5,228,72,356,200,667,140,1043,391
034819db59fed268623329cd,capsules,top8,6,370,143,498,271,1083,279,1459,530
034819db59fed268623329cd,capsules,top8,7,27,151,155,279,79,294,455,545
