category,image_id,method,best_window_coverage,union_coverage,recalled50,recalled90
capsules,09dc9cfb0f5f0c6e5358d145,grid8,1.0,1.0,1.0,1.0
capsules,09dc9cfb0f5f0c6e5358d145,mixed8,1.0,1.0,1.0,1.0
capsules,09dc9cfb0f5f0c6e5358d145,top8,1.0,1.0,1.0,1.0
capsules,0d3deca4b0e32e2057cae97f,grid8,0.0,0.0,0.0,0.0
capsules,0d3deca4b0e32e2057cae97f,mixed8,1.0,1.0,1.0,1.0
capsules,0d3deca4b0e32e2057cae97f,top8,1.0,1.0,1.0,1.0
capsules,1105707fa54824973b85fcd2,grid8,0.9251748251748252,0.9251748251748252,1.0,0.6
capsules,1105707fa54824973b85fcd2,mixed8,1.0,1.0,1.0,1.0
capsules,1105707fa54824973b85fcd2,top8,1.0,1.0,1.0,1.0
capsules,25af3dad41b1dd1d352cfeb9,grid8,1.0,1.0,1.0,1.0
capsules,25af3dad41b1dd1d352cfeb9,mixed8,1.0,1.0,1.0,1.0
capsules,25af3dad41b1dd1d352cfeb9,top8,1.0,1.0,1.0,1.0
capsules,2dcba40fe36bbfa17f56a50c,grid8,1.0,1.0,1.0,1.0
capsules,2dcba40fe36bbfa17f56a50c,mixed8,1.0,1.0,1.0,1.0
capsules,2dcba40fe36bbfa17f56a50c,top8,1.0,1.0,1.0,1.0
capsules,30f48754fa679c36708dda03,grid8,1.0,1.0,1.0,1.0
capsules,30f48754fa679c36708dda03,mixed8,1.0,1.0,1.0,1.0
capsules,30f48754fa679c36708dda03,top8,1.0,1.0,1.0,1.0
capsules,346c5897461de3a44f7daf03,grid8,0.0,0.0,0.0,0.0
capsules,346c5897461de3a44f7daf03,mixed8,1.0,1.0,1.0,1.0
capsules,346c5897461de3a44f7daf03,top8,1.0,1.0,1.0,1.0
capsules,35ed1b29dc27265ecc7a2bb5,grid8,0.0,0.0,0.0,0.0
capsules,35ed1b29dc27265ecc7a2bb5,mixed8,1.0,1.0,1.0,1.0
capsules,35ed1b29dc27265ecc7a2bb5,top8,1.0,1.0,1.0,1.0
capsules,367825824fbf202a48c58ab2,grid8,0.0,0.0,0.0,0.0
capsules,367825824fbf202a48c58ab2,mixed8,1.0,1.0,1.0,1.0
capsules,367825824fbf202a48c58ab2,top8,1.0,1.0,1.0,1.0
capsules,37d915e603b9ccdd2eab691d,grid8,0.0,0.0,0.0,0.0
