scope,category,method,auroc,ap
all_source_fit,capsules,mixed8,0.9423333333333334,0.966373342917408
all_source_fit,capsules,top8,0.9271666666666667,0.9582841438345022
all_source_fit,capsules,grid8,0.8190000000000001,0.8977197578220883
all_source_fit,capsules,full_limited_bank,0.9168333333333332,0.9477579140580079
all_source_fit,capsules,D_z,0.9468333333333334,0.9725918821848262
all_source_fit,chewinggum,mixed8,0.7515999999999999,0.8578768997273412
all_source_fit,chewinggum,top8,0.6882,0.8337004438747662
all_source_fit,chewinggum,grid8,0.7978000000000001,0.8670646524520803
all_source_fit,chewinggum,full_limited_bank,0.992,0.9964278600172942
all_source_fit,chewinggum,D_z,0.9909999999999999,0.9960316881939906
all_source_fit,fryum,mixed8,0.6923999999999999,0.8359234478446018
all_source_fit,fryum,top8,0.6270000000000001,0.8047765550421506
all_source_fit,fryum,grid8,0.8522,0.9290492038772323
all_source_fit,fryum,full_limited_bank,0.9175999999999999,0.9598002047384535
all_source_fit,fryum,D_z,0.984,0.9919779086885728
all_source_fit,macaroni1,mixed8,0.8246,0.8376647783104935
all_source_fit,macaroni1,top8,0.7989999999999999,0.8224270481680208
all_source_fit,macaroni1,grid8,0.8866,0.8988398270149025
all_source_fit,macaroni1,full_limited_bank,0.88,0.8685504910935596
all_source_fit,macaroni1,D_z,0.9563999999999999,0.9504056665793419
all_source_fit,macaroni2,mixed8,0.6962,0.7332432197691734
all_source_fit,macaroni2,top8,0.692,0.7139019241569448
all_source_fit,macaroni2,grid8,0.6858,0.7232919970595524
all_source_fit,macaroni2,full_limited_bank,0.6305000000000001,0.6643659333633929
all_source_fit,macaroni2,D_z,0.8292,0.8272645759779061
all_source_fit,pcb2,mixed8,0.5509999999999999,0.5188823168582408
all_source_fit,pcb2,top8,0.4461,0.47212831492601937
all_source_fit,pcb2,grid8,0.7551,0.8050869194704867
all_source_fit,pcb2,full_limited_bank,0.8922,0.8797300005444662
all_source_fit,pcb2,D_z,0.9624999999999999,0.9688283370282473
all_source_fit,pcb3,mixed8,0.7248514851485149,0.7187850478149018
all_source_fit,pcb3,top8,0.5541584158415842,0.5864297835384069
all_source_fit,pcb3,grid8,0.7261386138613861,0.7138002573095339
