scope,category,method,auroc,ap
all_source_fit,capsules,D_z,0.9468333333333334,0.9725918821848262
all_source_fit,capsules,dino_max,0.9496666666666667,0.9730220265553026
all_source_fit,capsules,d_only_oof,0.9468333333333334,0.9725918821848262
all_source_fit,capsules,fusion_oof,0.9726666666666666,0.9855675332911484
all_source_fit,chewinggum,D_z,0.9909999999999999,0.9960316881939906
all_source_fit,chewinggum,dino_max,0.9954000000000001,0.9977212894307421
all_source_fit,chewinggum,d_only_oof,0.9909999999999999,0.9960316881939906
all_source_fit,chewinggum,fusion_oof,0.9970000000000001,0.9985967914438503
all_source_fit,fryum,D_z,0.984,0.9919779086885728
all_source_fit,fryum,dino_max,0.9732,0.9880963305413538
all_source_fit,fryum,d_only_oof,0.984,0.9919779086885728
all_source_fit,fryum,fusion_oof,0.9909999999999999,0.9956630384871902
all_source_fit,macaroni1,D_z,0.9563999999999999,0.9504056665793419
all_source_fit,macaroni1,dino_max,0.8738,0.8615031110604938
all_source_fit,macaroni1,d_only_oof,0.9563999999999999,0.9504056665793419
all_source_fit,macaroni1,fusion_oof,0.9511,0.9458883787044972
all_source_fit,macaroni2,D_z,0.8292,0.8272645759779061
all_source_fit,macaroni2,dino_max,0.8286,0.8013184526671254
all_source_fit,macaroni2,d_only_oof,0.8292,0.8272645759779061
all_source_fit,macaroni2,fusion_oof,0.8794000000000001,0.8792813735500553
all_source_fit,pcb2,D_z,0.9624999999999999,0.9688283370282473
all_source_fit,pcb2,dino_max,0.8701,0.8702888154785242
all_source_fit,pcb2,d_only_oof,0.9624999999999999,0.9688283370282473
all_source_fit,pcb2,fusion_oof,0.9541,0.963898782146106
all_source_fit,pcb3,D_z,0.985049504950495,0.9864242081134261
all_source_fit,pcb3,dino_max,0.9163366336633664,0.9273735012448757
all_source_fit,pcb3,d_only_oof,0.985049504950495,0.9864242081134261
all_source_fit,pcb3,fusion_oof,0.988019801980198,0.9901663230215093
all_source_fit,pcb4,D_z,0.9969306930693069,0.9966010519532534
all_source_fit,pcb4,dino_max,0.939009900990099,0.931251051831476
all_source_fit,pcb4,d_only_oof,0.9969306930693069,0.9966010519532534
all_source_fit,pcb4,fusion_oof,0.9981188118811881,0.9981115264709447
tiny_only_plus_all_normal,capsules,D_z,0.8680555555555555,0.8411876028168932
tiny_only_plus_all_normal,capsules,dino_max,0.8805555555555555,0.8569545181287219
tiny_only_plus_all_normal,capsules,d_only_oof,0.8680555555555555,0.8411876028168932
tiny_only_plus_all_normal,capsules,fusion_oof,0.9282407407407407,0.9086327726903439
tiny_only_plus_all_normal,chewinggum,D_z,0.8066666666666666,0.26666666666666666
tiny_only_plus_all_normal,chewinggum,dino_max,0.9866666666666666,0.8666666666666667
tiny_only_plus_all_normal,chewinggum,d_only_oof,0.8066666666666666,0.26666666666666666
tiny_only_plus_all_normal,chewinggum,fusion_oof,0.9666666666666666,0.6666666666666667
tiny_only_plus_all_normal,fryum,D_z,0.963076923076923,0.952520302473579
tiny_only_plus_all_normal,fryum,dino_max,0.938974358974359,0.9396034603382131
tiny_only_plus_all_normal,fryum,d_only_oof,0.963076923076923,0.952520302473579
tiny_only_plus_all_normal,fryum,fusion_oof,0.9794871794871794,0.9762434227544489
tiny_only_plus_all_normal,macaroni1,D_z,0.9535483870967743,0.9187378867205626
tiny_only_plus_all_normal,macaroni1,dino_max,0.8737096774193549,0.8008187735460817
tiny_only_plus_all_normal,macaroni1,d_only_oof,0.9535483870967743,0.9187378867205626
tiny_only_plus_all_normal,macaroni1,fusion_oof,0.9498387096774193,0.9132217493782396
tiny_only_plus_all_normal,macaroni2,D_z,0.8398507462686567,0.7906723348739646
tiny_only_plus_all_normal,macaroni2,dino_max,0.8267164179104478,0.7537332240703002
tiny_only_plus_all_normal,macaroni2,d_only_oof,0.8398507462686567,0.7906723348739646
tiny_only_plus_all_normal,macaroni2,fusion_oof,0.8813432835820896,0.8528779062317012
tiny_only_plus_all_normal,pcb2,D_z,0.7166666666666666,0.25241390659578744
tiny_only_plus_all_normal,pcb2,dino_max,0.59,0.10592673446202618
tiny_only_plus_all_normal,pcb2,d_only_oof,0.7166666666666666,0.25241390659578744
tiny_only_plus_all_normal,pcb2,fusion_oof,0.6488888888888888,0.23602296766700354
tiny_only_plus_all_normal,pcb3,D_z,0.8217821782178217,0.15001782531194296
tiny_only_plus_all_normal,pcb3,dino_max,0.7366336633663366,0.3938423645320197
tiny_only_plus_all_normal,pcb3,d_only_oof,0.8217821782178217,0.15001782531194296
tiny_only_plus_all_normal,pcb3,fusion_oof,0.8217821782178218,0.35088536558788275
tiny_only_plus_all_normal,pcb4,D_z,0.9768976897689768,0.5138888888888888
tiny_only_plus_all_normal,pcb4,dino_max,0.8745874587458746,0.13741765480895915
tiny_only_plus_all_normal,pcb4,d_only_oof,0.9768976897689768,0.5138888888888888
tiny_only_plus_all_normal,pcb4,fusion_oof,0.9834983498349834,0.7916666666666666
