scope,category,method,auroc,ap
AD2_public_all,can,D_z,0.5154320987654321,0.5872663847259421
AD2_public_all,can,dino_max,0.5402777777777779,0.5776961111754879
AD2_public_all,can,dino_top1,0.5640432098765432,0.6312504889001601
AD2_public_all,can,fusion_frozen,0.5243827160493827,0.5972822405164221
AD2_public_all,fabric,D_z,0.7856902356902357,0.8120076832795635
AD2_public_all,fabric,dino_max,0.6518518518518519,0.7765661281719931
AD2_public_all,fabric,dino_top1,0.6235690235690237,0.7224484996109539
AD2_public_all,fabric,fusion_frozen,0.7927609427609429,0.8376132159077249
AD2_public_all,fruit_jelly,D_z,0.9241666666666667,0.9749617300409257
AD2_public_all,fruit_jelly,dino_max,0.7241666666666666,0.8918091742224347
AD2_public_all,fruit_jelly,dino_top1,0.7508333333333332,0.913490959294936
AD2_public_all,fruit_jelly,fusion_frozen,0.9183333333333333,0.9736945263988758
AD2_public_all,rice,D_z,0.6812169312169313,0.81991662444153
AD2_public_all,rice,dino_max,0.8211640211640212,0.9250282926570286
AD2_public_all,rice,dino_top1,0.8428571428571429,0.9293076698927001
AD2_public_all,rice,fusion_frozen,0.7857142857142857,0.8967257214074645
AD2_public_all,sheet_metal,D_z,0.6532407407407408,0.8914405058310522
AD2_public_all,sheet_metal,dino_max,0.8625,0.9639704881525506
AD2_public_all,sheet_metal,dino_top1,0.8203703703703703,0.9510631867454334
AD2_public_all,sheet_metal,fusion_frozen,0.7851851851851852,0.9380717080929366
AD2_public_all,vial,D_z,0.868843537414966,0.9567267565366104
AD2_public_all,vial,dino_max,0.9545578231292517,0.9854785695696875
AD2_public_all,vial,dino_top1,0.9178231292517006,0.9733650323767656
AD2_public_all,vial,fusion_frozen,0.9213605442176871,0.9736083072462145
AD2_public_all,wallplugs,D_z,0.5625925925925926,0.6815126863081594
AD2_public_all,wallplugs,dino_max,0.39370370370370367,0.523630664903257
AD2_public_all,wallplugs,dino_top1,0.43074074074074076,0.5517996760900373
AD2_public_all,wallplugs,fusion_frozen,0.4824074074074074,0.5873781941364213
AD2_public_all,walnuts,D_z,0.8603703703703703,0.9160163649173206
AD2_public_all,walnuts,dino_max,0.8244444444444445,0.9033771169598324
AD2_public_all,walnuts,dino_top1,0.826851851851852,0.9015052622417636
AD2_public_all,walnuts,fusion_frozen,0.8562962962962963,0.9200189250207438
tiny_only_plus_all_normal,can,D_z,0.5192307692307693,0.5403738331534012
tiny_only_plus_all_normal,can,dino_max,0.5516381766381766,0.5479751171512667
tiny_only_plus_all_normal,can,dino_top1,0.5899216524216524,0.6172111479889777
tiny_only_plus_all_normal,can,fusion_frozen,0.5315170940170941,0.5587519152883448
tiny_only_plus_all_normal,fabric,D_z,0.7508417508417509,0.7037655356630482
tiny_only_plus_all_normal,fabric,dino_max,0.6050084175084174,0.6955931432626435
tiny_only_plus_all_normal,fabric,dino_top1,0.5597643097643098,0.5943646362795287
tiny_only_plus_all_normal,fabric,fusion_frozen,0.7634680134680135,0.7415443178763184
tiny_only_plus_all_normal,fruit_jelly,D_z,0.90625,0.8160037878787878
tiny_only_plus_all_normal,fruit_jelly,dino_max,0.41250000000000003,0.2933045195545196
tiny_only_plus_all_normal,fruit_jelly,dino_top1,0.41875,0.2605953768453768
tiny_only_plus_all_normal,fruit_jelly,fusion_frozen,0.71875,0.6822133458646616
tiny_only_plus_all_normal,rice,D_z,0.5976190476190477,0.5259199907562705
tiny_only_plus_all_normal,rice,dino_max,0.7714285714285715,0.7170685492672615
tiny_only_plus_all_normal,rice,dino_top1,0.8253968253968254,0.7614123583362385
tiny_only_plus_all_normal,rice,fusion_frozen,0.6563492063492063,0.6406209583576281
tiny_only_plus_all_normal,sheet_metal,D_z,0.7268518518518519,0.7386145053236508
tiny_only_plus_all_normal,sheet_metal,dino_max,0.8356481481481481,0.8574801456594936
tiny_only_plus_all_normal,sheet_metal,dino_top1,0.7384259259259259,0.7661607912020709
tiny_only_plus_all_normal,sheet_metal,fusion_frozen,0.8587962962962963,0.8443089831491161
tiny_only_plus_all_normal,wallplugs,D_z,0.5013888888888889,0.5461088023657994
tiny_only_plus_all_normal,wallplugs,dino_max,0.4013888888888889,0.4363263432733538
tiny_only_plus_all_normal,wallplugs,dino_top1,0.42694444444444446,0.4524672542960906
tiny_only_plus_all_normal,wallplugs,fusion_frozen,0.46027777777777773,0.4735160288878321
tiny_only_plus_all_normal,walnuts,D_z,0.6944444444444445,0.3438214812633196
tiny_only_plus_all_normal,walnuts,dino_max,0.45555555555555555,0.17338142248528224
tiny_only_plus_all_normal,walnuts,dino_top1,0.5208333333333333,0.20164028908793225
tiny_only_plus_all_normal,walnuts,fusion_frozen,0.6,0.2473454438826475
