image_id,dataset,category,original_split,role,path,width,height
008380bb2db12d5779483d41,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/117_regular.png,1400,1900
00b1a2ff003c73e8a23c1c02,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/021_regular.png,1400,1900
01102c47b0131f106ad3df82,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/268_regular.png,1400,1900
0128ae4af6d70641abdc4d9b,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/251_regular.png,1400,1900
027969ffd3085ad313996b2d,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/179_regular.png,1400,1900
028742d5536b4f71d237d61b,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/035_regular.png,1400,1900
04ef67bd3bfe59162eaa9c68,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/239_regular.png,1400,1900
05735387f506abe2a00cf6e8,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/018_regular.png,1400,1900
057a1713b564bb0adcc9c300,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/256_regular.png,1400,1900
05c22f8e61ceb761215cd2d9,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/022_regular.png,1400,1900
05c935159532149f0180a341,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/192_regular.png,1400,1900
0631b19cfd42109e2a0c3df9,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/078_regular.png,1400,1900
078a8b04462992ea8e27c413,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/107_regular.png,1400,1900
0854a129fc3532e9fca5dfbf,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/081_regular.png,1400,1900
086f4c50a9b1bb488bb484f6,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/014_regular.png,1400,1900
08c43918c7d03c3711b8dbfe,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/284_regular.png,1400,1900
08fe80a0ad34179cee9ef96b,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/216_regular.png,1400,1900
096ff9137ecb3e2e3f9df3c3,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/120_regular.png,1400,1900
0ae95a095eee86ea84f63ad8,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/269_regular.png,1400,1900
0e1fc593f9dcca476906ecaa,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/164_regular.png,1400,1900
0f2d29ca2e33ff43b6332f2e,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/028_regular.png,1400,1900
0f4c8664fb413873b9940d98,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/233_regular.png,1400,1900
0fb19d538c324a9109150579,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/273_regular.png,1400,1900
14481b3ba0735e0c780b1bca,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/226_regular.png,1400,1900
1581e180378ac7149ac7d517,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/254_regular.png,1400,1900
15ac8da78ff7300366c3eb21,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/068_regular.png,1400,1900
15c8b28c21dd173361a8c763,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/260_regular.png,1400,1900
15fb5d28fea499c3a96b27aa,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/243_regular.png,1400,1900
160eabba318df24bf2012c35,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/290_regular.png,1400,1900
16421963d42416c09c97a326,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/056_regular.png,1400,1900
16d99b8e3947b9174faed373,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/265_regular.png,1400,1900
1720a746028412d1d4b8f34a,AD2,vial,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/vial/train/good/095_regular.png,1400,1900
